prompt,label,competion-N2,completion-N3
AutomaticCrashNotificationId,N1,AutoCrshNotifID,A_CRS_NOT_ID
Author_phone,N1,Auth_Phn,Au_P
BACKLIGHT,N1,BackLt,BkLt
BELTUSE,N1,BLT_USE,B_USE
BACKPICKUP,N1,BackPkp,BK_PU
AutoReverseSystemId,N1,AutoRevSyst_ID,A_REV_ID
Address_Type,N1,Addrs_typ,Adr_t
Agriculture,N1,Aggrcltr,Agg
ADAPT,N1,ADPT,AD
AutomaticCrashNotification,N1,AutoCrshNotif,A_CRS_NOT
Activity,N1,Actvty,actv
AdaptiveCruiseControl,N1,AdaptvCrsCntrl,AdpCrs
Address,N1,Addrs,Adr
