TABLE_NAME,COLUMN_NAME,DATABASE_NAME
papers,title,icfp_1
authorship count,author id,icfp_1
authorship count,institution id,icfp_1
authorship count,paper id,icfp_1
authorship count,author count,icfp_1
body builder,body builder id,body_builder
body builder,people id,body_builder
body builder,snatch,body_builder
body builder,clean jerk,body_builder
body builder,total,body_builder
people,people id,body_builder
people,name,body_builder
people,height,body_builder
people,weight,body_builder
people,birth date,body_builder
people,birth place,body_builder
storm,storm id,storm_record
storm,name,storm_record
storm,dates active,storm_record
storm,max speed,storm_record
storm,damage millions usd,storm_record
storm,number deaths,storm_record
region,region id,storm_record
region,region code,storm_record
region,region name,storm_record
affected region,region id,storm_record
affected region,storm id,storm_record
affected region,number city affected,storm_record
aircraft,aircraft id,pilot_record
aircraft,order year,pilot_record
aircraft,manufacturer,pilot_record
aircraft,model,pilot_record
aircraft,fleet series,pilot_record
aircraft,powertrain,pilot_record
aircraft,fuel propulsion,pilot_record
pilot,pilot id,pilot_record
pilot,pilot name,pilot_record
pilot,rank,pilot_record
pilot,age,pilot_record
pilot,nationality,pilot_record
pilot,position,pilot_record
pilot,join year,pilot_record
pilot,team,pilot_record
pilot record,record id,pilot_record
pilot record,pilot id,pilot_record
pilot record,aircraft id,pilot_record
pilot record,date,pilot_record
race,race id,race_track
race,name,race_track
race,class,race_track
race,date,race_track
race,track id,race_track
track,track id,race_track
track,name,race_track
track,location,race_track
track,seating,race_track
track,year opened,race_track
author,aid,academic
author,homepage,academic
author,name,academic
author,oid,academic
conference,cid,academic
conference,homepage,academic
conference,name,academic
domain,did,academic
domain,name,academic
domain author,aid,academic
domain author,did,academic
domain conference,cid,academic
domain conference,did,academic
journal,homepage,academic
journal,jid,academic
journal,name,academic
domain journal,did,academic
domain journal,jid,academic
keyword,keyword,academic
keyword,kid,academic
domain keyword,did,academic
domain keyword,kid,academic
publication,abstract,academic
publication,cid,academic
publication,citation num,academic
publication,jid,academic
publication,pid,academic
publication,reference num,academic
publication,title,academic
publication,year,academic
domain publication,did,academic
domain publication,pid,academic
organization,continent,academic
organization,homepage,academic
organization,name,academic
organization,oid,academic
publication keyword,pid,academic
publication keyword,kid,academic
writes,aid,academic
writes,pid,academic
cite,cited,academic
cite,citing,academic
addresses,address id,department_store
addresses,address details,department_store
staff,staff id,department_store
staff,staff gender,department_store
staff,staff name,department_store
suppliers,supplier id,department_store
suppliers,supplier name,department_store
suppliers,supplier phone,department_store
department store chain,department store chain id,department_store
department store chain,department store chain name,department_store
customers,customer id,department_store
customers,payment method code,department_store
customers,customer code,department_store
customers,customer name,department_store
customers,customer address,department_store
customers,customer phone,department_store
customers,customer email,department_store
products,product id,department_store
products,product type code,department_store
products,product name,department_store
products,product price,department_store
supplier addresses,supplier id,department_store
supplier addresses,address id,department_store
supplier addresses,date from,department_store
supplier addresses,date to,department_store
customer addresses,customer id,department_store
customer addresses,address id,department_store
customer addresses,date from,department_store
customer addresses,date to,department_store
customer orders,order id,department_store
customer orders,customer id,department_store
customer orders,order status code,department_store
customer orders,order date,department_store
department stores,department store id,department_store
department stores,department store chain id,department_store
department stores,store name,department_store
department stores,store address,department_store
department stores,store phone,department_store
department stores,store email,department_store
departments,department id,department_store
departments,department store id,department_store
departments,department name,department_store
order items,order item id,department_store
order items,order id,department_store
order items,product id,department_store
product suppliers,product id,department_store
product suppliers,supplier id,department_store
product suppliers,date supplied from,department_store
product suppliers,date supplied to,department_store
product suppliers,total amount purchased,department_store
product suppliers,total value purchased,department_store
staff department assignments,staff id,department_store
staff department assignments,department id,department_store
staff department assignments,date assigned from,department_store
staff department assignments,job title code,department_store
staff department assignments,date assigned to,department_store
artist,artist id,music_4
artist,artist,music_4
artist,age,music_4
artist,famous title,music_4
artist,famous release date,music_4
volume,volume id,music_4
volume,volume issue,music_4
volume,issue date,music_4
volume,weeks on top,music_4
volume,song,music_4
volume,artist id,music_4
music festival,id,music_4
music festival,music festival,music_4
music festival,date of ceremony,music_4
music festival,category,music_4
music festival,volume,music_4
music festival,result,music_4
customers,customer id,insurance_fnol
customers,customer name,insurance_fnol
services,service id,insurance_fnol
services,service name,insurance_fnol
available policies,policy id,insurance_fnol
available policies,policy type code,insurance_fnol
available policies,customer phone,insurance_fnol
customers policies,customer id,insurance_fnol
customers policies,policy id,insurance_fnol
customers policies,date opened,insurance_fnol
customers policies,date closed,insurance_fnol
first notification of loss,fnol id,insurance_fnol
first notification of loss,customer id,insurance_fnol
first notification of loss,policy id,insurance_fnol
first notification of loss,service id,insurance_fnol
claims,claim id,insurance_fnol
claims,fnol id,insurance_fnol
claims,effective date,insurance_fnol
settlements,settlement id,insurance_fnol
settlements,claim id,insurance_fnol
settlements,effective date,insurance_fnol
settlements,settlement amount,insurance_fnol
film,film id,cinema
film,rank in series,cinema
film,number in season,cinema
film,title,cinema
film,directed by,cinema
film,original air date,cinema
film,production code,cinema
cinema,cinema id,cinema
cinema,name,cinema
cinema,openning year,cinema
cinema,capacity,cinema
cinema,location,cinema
schedule,cinema id,cinema
schedule,film id,cinema
schedule,date,cinema
schedule,show times per day,cinema
schedule,price,cinema
college,college id,decoration_competition
college,name,decoration_competition
college,leader name,decoration_competition
college,college location,decoration_competition
member,member id,decoration_competition
member,name,decoration_competition
member,country,decoration_competition
member,college id,decoration_competition
round,round id,decoration_competition
round,member id,decoration_competition
round,decoration theme,decoration_competition
round,rank in round,decoration_competition
phone,name,phone_market
phone,phone id,phone_market
phone,memory in g,phone_market
phone,carrier,phone_market
phone,price,phone_market
market,market id,phone_market
market,district,phone_market
market,num of employees,phone_market
market,num of shops,phone_market
market,ranking,phone_market
phone market,market id,phone_market
phone market,phone id,phone_market
phone market,num of stock,phone_market
product,product id,store_product
product,product,store_product
product,dimensions,store_product
product,dpi,store_product
product,pages per minute color,store_product
product,max page size,store_product
product,interface,store_product
store,store id,store_product
store,store name,store_product
store,type,store_product
store,area size,store_product
store,number of product category,store_product
store,ranking,store_product
district,district id,store_product
district,district name,store_product
district,headquartered city,store_product
district,city population,store_product
district,city area,store_product
store product,store id,store_product
store product,product id,store_product
store district,store id,store_product
store district,district id,store_product
third party companies,company id,assets_maintenance
third party companies,company type,assets_maintenance
third party companies,company name,assets_maintenance
third party companies,company address,assets_maintenance
third party companies,other company details,assets_maintenance
maintenance contracts,maintenance contract id,assets_maintenance
maintenance contracts,maintenance contract company id,assets_maintenance
maintenance contracts,contract start date,assets_maintenance
maintenance contracts,contract end date,assets_maintenance
maintenance contracts,other contract details,assets_maintenance
parts,part id,assets_maintenance
parts,part name,assets_maintenance
parts,chargeable yn,assets_maintenance
parts,chargeable amount,assets_maintenance
parts,other part details,assets_maintenance
skills,skill id,assets_maintenance
skills,skill code,assets_maintenance
skills,skill description,assets_maintenance
staff,staff id,assets_maintenance
staff,staff name,assets_maintenance
staff,gender,assets_maintenance
staff,other staff details,assets_maintenance
assets,asset id,assets_maintenance
assets,maintenance contract id,assets_maintenance
assets,supplier company id,assets_maintenance
assets,asset details,assets_maintenance
assets,asset make,assets_maintenance
assets,asset model,assets_maintenance
assets,asset acquired date,assets_maintenance
assets,asset disposed date,assets_maintenance
assets,other asset details,assets_maintenance
asset parts,asset id,assets_maintenance
asset parts,part id,assets_maintenance
maintenance engineers,engineer id,assets_maintenance
maintenance engineers,company id,assets_maintenance
maintenance engineers,first name,assets_maintenance
maintenance engineers,last name,assets_maintenance
maintenance engineers,other details,assets_maintenance
engineer skills,engineer id,assets_maintenance
engineer skills,skill id,assets_maintenance
fault log,fault log entry id,assets_maintenance
fault log,asset id,assets_maintenance
fault log,recorded by staff id,assets_maintenance
fault log,fault log entry datetime,assets_maintenance
fault log,fault description,assets_maintenance
fault log,other fault details,assets_maintenance
engineer visits,engineer visit id,assets_maintenance
engineer visits,contact staff id,assets_maintenance
engineer visits,engineer id,assets_maintenance
engineer visits,fault log entry id,assets_maintenance
engineer visits,fault status,assets_maintenance
engineer visits,visit start datetime,assets_maintenance
engineer visits,visit end datetime,assets_maintenance
engineer visits,other visit details,assets_maintenance
part faults,part fault id,assets_maintenance
part faults,part id,assets_maintenance
part faults,fault short name,assets_maintenance
part faults,fault description,assets_maintenance
part faults,other fault details,assets_maintenance
fault log parts,fault log entry id,assets_maintenance
fault log parts,part fault id,assets_maintenance
fault log parts,fault status,assets_maintenance
skills required to fix,part fault id,assets_maintenance
skills required to fix,skill id,assets_maintenance
addresses,address id,student_assessment
addresses,line 1,student_assessment
addresses,line 2,student_assessment
addresses,city,student_assessment
addresses,zip postcode,student_assessment
addresses,state province county,student_assessment
addresses,country,student_assessment
people,person id,student_assessment
people,first name,student_assessment
people,middle name,student_assessment
people,last name,student_assessment
people,cell mobile number,student_assessment
people,email address,student_assessment
people,login name,student_assessment
people,password,student_assessment
students,student id,student_assessment
students,student details,student_assessment
courses,course id,student_assessment
courses,course name,student_assessment
courses,course description,student_assessment
courses,other details,student_assessment
people addresses,person address id,student_assessment
people addresses,person id,student_assessment
people addresses,address id,student_assessment
people addresses,date from,student_assessment
people addresses,date to,student_assessment
student course registrations,student id,student_assessment
student course registrations,course id,student_assessment
student course registrations,registration date,student_assessment
student course attendance,student id,student_assessment
student course attendance,course id,student_assessment
student course attendance,date of attendance,student_assessment
candidates,candidate id,student_assessment
candidates,candidate details,student_assessment
candidate assessments,candidate id,student_assessment
candidate assessments,qualification,student_assessment
candidate assessments,assessment date,student_assessment
candidate assessments,asessment outcome code,student_assessment
breeds,breed code,dog_kennels
breeds,breed name,dog_kennels
charges,charge id,dog_kennels
charges,charge type,dog_kennels
charges,charge amount,dog_kennels
sizes,size code,dog_kennels
sizes,size description,dog_kennels
treatment types,treatment type code,dog_kennels
treatment types,treatment type description,dog_kennels
owners,owner id,dog_kennels
owners,first name,dog_kennels
owners,last name,dog_kennels
owners,street,dog_kennels
owners,city,dog_kennels
owners,state,dog_kennels
owners,zip code,dog_kennels
owners,email address,dog_kennels
owners,home phone,dog_kennels
owners,cell number,dog_kennels
dogs,dog id,dog_kennels
dogs,owner id,dog_kennels
dogs,abandoned yes or no,dog_kennels
dogs,breed code,dog_kennels
dogs,size code,dog_kennels
dogs,name,dog_kennels
dogs,age,dog_kennels
dogs,date of birth,dog_kennels
dogs,gender,dog_kennels
dogs,weight,dog_kennels
dogs,date arrived,dog_kennels
dogs,date adopted,dog_kennels
dogs,date departed,dog_kennels
professionals,professional id,dog_kennels
professionals,role code,dog_kennels
professionals,first name,dog_kennels
professionals,street,dog_kennels
professionals,city,dog_kennels
professionals,state,dog_kennels
professionals,zip code,dog_kennels
professionals,last name,dog_kennels
professionals,email address,dog_kennels
professionals,home phone,dog_kennels
professionals,cell number,dog_kennels
treatments,treatment id,dog_kennels
treatments,dog id,dog_kennels
treatments,professional id,dog_kennels
treatments,treatment type code,dog_kennels
treatments,date of treatment,dog_kennels
treatments,cost of treatment,dog_kennels
genre,genre name,music_1
genre,rating,music_1
genre,most popular in,music_1
artist,artist name,music_1
artist,country,music_1
artist,gender,music_1
artist,preferred genre,music_1
files,song id,music_1
files,artist name,music_1
files,file size,music_1
files,duration,music_1
files,formats,music_1
song,song name,music_1
song,artist name,music_1
song,country,music_1
song,song id,music_1
song,genre is,music_1
song,rating,music_1
song,languages,music_1
song,releasedate,music_1
song,resolution,music_1
people,people id,company_employee
people,age,company_employee
people,name,company_employee
people,nationality,company_employee
people,graduation college,company_employee
company,company id,company_employee
company,name,company_employee
company,headquarters,company_employee
company,industry,company_employee
company,sales in billion,company_employee
company,profits in billion,company_employee
company,assets in billion,company_employee
company,market value in billion,company_employee
employment,company id,company_employee
employment,people id,company_employee
employment,year working,company_employee
city,city id,farm
city,official name,farm
city,status,farm
city,area km 2,farm
city,population,farm
city,census ranking,farm
farm,farm id,farm
farm,year,farm
farm,total horses,farm
farm,working horses,farm
farm,total cattle,farm
farm,oxen,farm
farm,bulls,farm
farm,cows,farm
farm,pigs,farm
farm,sheep and goats,farm
farm competition,competition id,farm
farm competition,year,farm
farm competition,theme,farm
farm competition,host city id,farm
farm competition,hosts,farm
competition record,competition id,farm
competition record,farm id,farm
competition record,rank,farm
addresses,address id,solvency_ii
addresses,address details,solvency_ii
locations,location id,solvency_ii
locations,other details,solvency_ii
products,product id,solvency_ii
products,product type code,solvency_ii
products,product name,solvency_ii
products,product price,solvency_ii
parties,party id,solvency_ii
parties,party details,solvency_ii
assets,asset id,solvency_ii
assets,other details,solvency_ii
channels,channel id,solvency_ii
channels,other details,solvency_ii
finances,finance id,solvency_ii
finances,other details,solvency_ii
events,event id,solvency_ii
events,address id,solvency_ii
events,channel id,solvency_ii
events,event type code,solvency_ii
events,finance id,solvency_ii
events,location id,solvency_ii
products in events,product in event id,solvency_ii
products in events,event id,solvency_ii
products in events,product id,solvency_ii
parties in events,party id,solvency_ii
parties in events,event id,solvency_ii
parties in events,role code,solvency_ii
agreements,document id,solvency_ii
agreements,event id,solvency_ii
assets in events,asset id,solvency_ii
assets in events,event id,solvency_ii
city,city id,city_record
city,city,city_record
city,hanzi,city_record
city,hanyu pinyin,city_record
city,regional population,city_record
city,gdp,city_record
match,match id,city_record
match,date,city_record
match,venue,city_record
match,score,city_record
match,result,city_record
match,competition,city_record
temperature,city id,city_record
temperature,jan,city_record
temperature,feb,city_record
temperature,mar,city_record
temperature,apr,city_record
temperature,jun,city_record
temperature,jul,city_record
temperature,aug,city_record
temperature,sep,city_record
temperature,oct,city_record
temperature,nov,city_record
temperature,dec,city_record
hosting city,year,city_record
hosting city,match id,city_record
hosting city,host city,city_record
swimmer,id,swimming
swimmer,name,swimming
swimmer,nationality,swimming
swimmer,meter 100,swimming
swimmer,meter 200,swimming
swimmer,meter 300,swimming
swimmer,meter 400,swimming
swimmer,meter 500,swimming
swimmer,meter 600,swimming
swimmer,meter 700,swimming
swimmer,time,swimming
stadium,id,swimming
stadium,name,swimming
stadium,capacity,swimming
stadium,city,swimming
stadium,country,swimming
stadium,opening year,swimming
event,id,swimming
event,name,swimming
event,stadium id,swimming
event,year,swimming
record,id,swimming
record,result,swimming
record,swimmer id,swimming
record,event id,swimming
airlines,airline id,flight_2
airlines,airline name,flight_2
airlines,abbreviation,flight_2
airlines,country,flight_2
airports,city,flight_2
airports,airport code,flight_2
airports,airport name,flight_2
airports,country,flight_2
airports,country abbrev,flight_2
flights,airline,flight_2
flights,flight number,flight_2
flights,source airport,flight_2
flights,destination airport,flight_2
county,county id,election
county,county name,election
county,population,election
county,zip code,election
party,party id,election
party,year,election
party,party,election
party,governor,election
party,lieutenant governor,election
party,comptroller,election
party,attorney general,election
party,us senate,election
election,election id,election
election,counties represented,election
election,district,election
election,delegate,election
election,party,election
election,first elected,election
election,committee,election
manufacturers,code,manufactory_1
manufacturers,name,manufactory_1
manufacturers,headquarter,manufactory_1
manufacturers,founder,manufactory_1
manufacturers,revenue,manufactory_1
products,code,manufactory_1
products,name,manufactory_1
products,price,manufactory_1
products,manufacturer,manufactory_1
people,people id,debate
people,district,debate
people,name,debate
people,party,debate
people,age,debate
debate,debate id,debate
debate,date,debate
debate,venue,debate
debate,num of audience,debate
debate people,debate id,debate
debate people,affirmative,debate
debate people,negative,debate
debate people,if affirmative win,debate
person,name,network_2
person,age,network_2
person,city,network_2
person,gender,network_2
person,job,network_2
person friend,name,network_2
person friend,friend,network_2
person friend,year,network_2
services,service id,local_govt_in_alabama
services,service type code,local_govt_in_alabama
participants,participant id,local_govt_in_alabama
participants,participant type code,local_govt_in_alabama
participants,participant details,local_govt_in_alabama
events,event id,local_govt_in_alabama
events,service id,local_govt_in_alabama
events,event details,local_govt_in_alabama
participants in events,event id,local_govt_in_alabama
participants in events,participant id,local_govt_in_alabama
mountain,mountain id,climbing
mountain,name,climbing
mountain,height,climbing
mountain,prominence,climbing
mountain,range,climbing
mountain,country,climbing
climber,climber id,climbing
climber,name,climbing
climber,country,climbing
climber,time,climbing
climber,points,climbing
climber,mountain id,climbing
course authors and tutors,author id,e_learning
course authors and tutors,author tutor atb,e_learning
course authors and tutors,login name,e_learning
course authors and tutors,password,e_learning
course authors and tutors,personal name,e_learning
course authors and tutors,middle name,e_learning
course authors and tutors,family name,e_learning
course authors and tutors,gender mf,e_learning
course authors and tutors,address line 1,e_learning
students,student id,e_learning
students,date of registration,e_learning
students,date of latest logon,e_learning
students,login name,e_learning
students,password,e_learning
students,personal name,e_learning
students,middle name,e_learning
students,family name,e_learning
subjects,subject id,e_learning
subjects,subject name,e_learning
courses,course id,e_learning
courses,author id,e_learning
courses,subject id,e_learning
courses,course name,e_learning
courses,course description,e_learning
student course enrolment,registration id,e_learning
student course enrolment,student id,e_learning
student course enrolment,course id,e_learning
student course enrolment,date of enrolment,e_learning
student course enrolment,date of completion,e_learning
student tests taken,registration id,e_learning
student tests taken,date test taken,e_learning
student tests taken,test result,e_learning
scientists,ssn,scientist_1
scientists,name,scientist_1
projects,code,scientist_1
projects,name,scientist_1
projects,hours,scientist_1
assigned to,scientist,scientist_1
assigned to,project,scientist_1
captain,captain id,ship_1
captain,name,ship_1
captain,ship id,ship_1
captain,age,ship_1
captain,class,ship_1
captain,rank,ship_1
ship,ship id,ship_1
ship,name,ship_1
ship,type,ship_1
ship,built year,ship_1
ship,class,ship_1
ship,flag,ship_1
festival detail,festival id,entertainment_awards
festival detail,festival name,entertainment_awards
festival detail,chair name,entertainment_awards
festival detail,location,entertainment_awards
festival detail,year,entertainment_awards
festival detail,num of audience,entertainment_awards
artwork,artwork id,entertainment_awards
artwork,type,entertainment_awards
artwork,name,entertainment_awards
nomination,artwork id,entertainment_awards
nomination,festival id,entertainment_awards
nomination,result,entertainment_awards
allergy type,allergy name,allergy_1
allergy type,allergy type,allergy_1
has allergy,stuid,allergy_1
has allergy,allergy,allergy_1
student,stuid,allergy_1
student,last name,allergy_1
student,first name,allergy_1
student,age,allergy_1
student,sex,allergy_1
student,major,allergy_1
student,advisor,allergy_1
student,city code,allergy_1
actor,aid,imdb
actor,gender,imdb
actor,name,imdb
actor,nationality,imdb
actor,birth city,imdb
actor,birth year,imdb
copyright,id,imdb
copyright,msid,imdb
copyright,cid,imdb
cast,id,imdb
cast,msid,imdb
cast,aid,imdb
cast,role,imdb
genre,gid,imdb
genre,genre,imdb
classification,id,imdb
classification,msid,imdb
classification,gid,imdb
company,id,imdb
company,name,imdb
company,country code,imdb
director,did,imdb
director,gender,imdb
director,name,imdb
director,nationality,imdb
director,birth city,imdb
director,birth year,imdb
producer,pid,imdb
producer,gender,imdb
producer,name,imdb
producer,nationality,imdb
producer,birth city,imdb
producer,birth year,imdb
directed by,id,imdb
directed by,msid,imdb
directed by,did,imdb
keyword,id,imdb
keyword,keyword,imdb
made by,id,imdb
made by,msid,imdb
made by,pid,imdb
movie,mid,imdb
movie,title,imdb
movie,release year,imdb
movie,title aka,imdb
movie,budget,imdb
tags,id,imdb
tags,msid,imdb
tags,kid,imdb
tv series,sid,imdb
tv series,title,imdb
tv series,release year,imdb
tv series,num of seasons,imdb
tv series,num of episodes,imdb
tv series,title aka,imdb
tv series,budget,imdb
writer,wid,imdb
writer,gender,imdb
writer,name,imdb
writer,nationality,imdb
writer,num of episodes,imdb
writer,birth city,imdb
writer,birth year,imdb
written by,id,imdb
written by,msid,imdb
written by,wid,imdb
discount coupons,coupon id,products_for_hire
discount coupons,date issued,products_for_hire
discount coupons,coupon amount,products_for_hire
customers,customer id,products_for_hire
customers,coupon id,products_for_hire
customers,good or bad customer,products_for_hire
customers,first name,products_for_hire
customers,last name,products_for_hire
customers,gender,products_for_hire
customers,date became customer,products_for_hire
customers,date last hire,products_for_hire
bookings,booking id,products_for_hire
bookings,customer id,products_for_hire
bookings,booking status code,products_for_hire
bookings,returned damaged yes or no,products_for_hire
bookings,booking start date,products_for_hire
bookings,booking end date,products_for_hire
bookings,count hired,products_for_hire
bookings,amount payable,products_for_hire
bookings,amount of discount,products_for_hire
bookings,amount outstanding,products_for_hire
bookings,amount of refund,products_for_hire
products for hire,product id,products_for_hire
products for hire,product type code,products_for_hire
products for hire,daily hire cost,products_for_hire
products for hire,product name,products_for_hire
products for hire,product description,products_for_hire
payments,payment id,products_for_hire
payments,booking id,products_for_hire
payments,customer id,products_for_hire
payments,payment type code,products_for_hire
payments,amount paid in full yn,products_for_hire
payments,payment date,products_for_hire
payments,amount due,products_for_hire
payments,amount paid,products_for_hire
products booked,booking id,products_for_hire
products booked,product id,products_for_hire
products booked,returned yes or no,products_for_hire
products booked,returned late yes or no,products_for_hire
products booked,booked count,products_for_hire
products booked,booked amount,products_for_hire
view product availability,product id,products_for_hire
view product availability,booking id,products_for_hire
view product availability,status date,products_for_hire
view product availability,available yes or no,products_for_hire
candidate,candidate id,candidate_poll
candidate,people id,candidate_poll
candidate,poll source,candidate_poll
candidate,date,candidate_poll
candidate,support rate,candidate_poll
candidate,consider rate,candidate_poll
candidate,oppose rate,candidate_poll
candidate,unsure rate,candidate_poll
people,people id,candidate_poll
people,sex,candidate_poll
people,name,candidate_poll
people,date of birth,candidate_poll
people,height,candidate_poll
people,weight,candidate_poll
album,album id,chinook_1
album,title,chinook_1
album,artist id,chinook_1
artist,artist id,chinook_1
artist,name,chinook_1
customer,customer id,chinook_1
customer,first name,chinook_1
customer,last name,chinook_1
customer,company,chinook_1
customer,address,chinook_1
customer,city,chinook_1
customer,state,chinook_1
customer,country,chinook_1
customer,postal code,chinook_1
customer,phone,chinook_1
customer,fax,chinook_1
customer,email,chinook_1
customer,support representative id,chinook_1
employee,employee id,chinook_1
employee,last name,chinook_1
employee,first name,chinook_1
employee,title,chinook_1
employee,reports to,chinook_1
employee,birth date,chinook_1
employee,hire date,chinook_1
employee,address,chinook_1
employee,city,chinook_1
employee,state,chinook_1
employee,country,chinook_1
employee,postal code,chinook_1
employee,phone,chinook_1
employee,fax,chinook_1
employee,email,chinook_1
genre,genre id,chinook_1
genre,name,chinook_1
invoice,invoice id,chinook_1
invoice,customer id,chinook_1
invoice,invoice date,chinook_1
invoice,billing address,chinook_1
invoice,billing city,chinook_1
invoice,billing state,chinook_1
invoice,billing country,chinook_1
invoice,billing postal code,chinook_1
invoice,total,chinook_1
invoice line,invoice line id,chinook_1
invoice line,invoice id,chinook_1
invoice line,track id,chinook_1
invoice line,unit price,chinook_1
invoice line,quantity,chinook_1
media type,media type id,chinook_1
media type,name,chinook_1
playlist,play list id,chinook_1
playlist,name,chinook_1
playlist track,play list id,chinook_1
playlist track,track id,chinook_1
track,track id,chinook_1
track,name,chinook_1
track,album id,chinook_1
track,media type id,chinook_1
track,genre id,chinook_1
track,composer,chinook_1
track,milliseconds,chinook_1
track,bytes,chinook_1
track,unit price,chinook_1
routes,route id,flight_4
routes,destination airport id,flight_4
routes,destination airport,flight_4
routes,source airport id,flight_4
routes,source airport,flight_4
routes,airline id,flight_4
routes,airline,flight_4
routes,code share,flight_4
airports,airport id,flight_4
airports,name,flight_4
airports,city,flight_4
airports,country,flight_4
airports,x,flight_4
airports,y,flight_4
airports,elevation,flight_4
airports,iata,flight_4
airports,icao,flight_4
airlines,airline id,flight_4
airlines,name,flight_4
airlines,iata,flight_4
airlines,icao,flight_4
airlines,call sign,flight_4
airlines,country,flight_4
airlines,active,flight_4
student,student id,pets_1
student,last name,pets_1
student,first name,pets_1
student,age,pets_1
student,sex,pets_1
student,major,pets_1
student,advisor,pets_1
student,city code,pets_1
has pet,student id,pets_1
has pet,pet id,pets_1
pets,pet id,pets_1
pets,pet type,pets_1
pets,pet age,pets_1
pets,weight,pets_1
student,student id,dorm_1
student,last name,dorm_1
student,first name,dorm_1
student,age,dorm_1
student,sex,dorm_1
student,major,dorm_1
student,advisor,dorm_1
student,city code,dorm_1
dorm,dorm id,dorm_1
dorm,dorm name,dorm_1
dorm,student capacity,dorm_1
dorm,gender,dorm_1
dorm amenity,amenity id,dorm_1
dorm amenity,amenity name,dorm_1
has amenity,dorm id,dorm_1
has amenity,amenity id,dorm_1
lives in,student id,dorm_1
lives in,dorm id,dorm_1
lives in,room number,dorm_1
journal,journal id,journal_committee
journal,date,journal_committee
journal,theme,journal_committee
journal,sales,journal_committee
editor,editor id,journal_committee
editor,name,journal_committee
editor,age,journal_committee
journal committee,editor id,journal_committee
journal committee,journal id,journal_committee
journal committee,work type,journal_committee
flight,flight number,flight_1
flight,origin,flight_1
flight,destination,flight_1
flight,distance,flight_1
flight,departure date,flight_1
flight,arrival date,flight_1
flight,price,flight_1
flight,airline id,flight_1
aircraft,airline id,flight_1
aircraft,name,flight_1
aircraft,distance,flight_1
employee,employee id,flight_1
employee,name,flight_1
employee,salary,flight_1
certificate,employee id,flight_1
certificate,airline id,flight_1
medicine,id,medicine_enzyme_interaction
medicine,name,medicine_enzyme_interaction
medicine,trade name,medicine_enzyme_interaction
medicine,fda approved,medicine_enzyme_interaction
enzyme,id,medicine_enzyme_interaction
enzyme,name,medicine_enzyme_interaction
enzyme,location,medicine_enzyme_interaction
enzyme,product,medicine_enzyme_interaction
enzyme,chromosome,medicine_enzyme_interaction
enzyme,omim,medicine_enzyme_interaction
enzyme,porphyria,medicine_enzyme_interaction
medicine enzyme interaction,enzyme id,medicine_enzyme_interaction
medicine enzyme interaction,medicine id,medicine_enzyme_interaction
medicine enzyme interaction,interaction type,medicine_enzyme_interaction
customers,customer id,local_govt_and_lot
customers,customer details,local_govt_and_lot
properties,property id,local_govt_and_lot
properties,property type code,local_govt_and_lot
properties,property address,local_govt_and_lot
properties,other details,local_govt_and_lot
residents,resident id,local_govt_and_lot
residents,property id,local_govt_and_lot
residents,date moved in,local_govt_and_lot
residents,date moved out,local_govt_and_lot
residents,other details,local_govt_and_lot
organizations,organization id,local_govt_and_lot
organizations,parent organization id,local_govt_and_lot
organizations,organization details,local_govt_and_lot
services,service id,local_govt_and_lot
services,organization id,local_govt_and_lot
services,service type code,local_govt_and_lot
