TABLE_NAME,TABLE_SCORE,COLUMN_NAME,COLUMN_SCORE,MODEL,DATABASE_NAME
takes classes,N1,course id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
takes classes,N1,section id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
takes classes,N1,semester,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
takes classes,N1,year,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
takes classes,N1,grade,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
advisor,N1,student id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
advisor,N1,instructor id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
time slot,N1,time slot id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
time slot,N1,day,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
time slot,N1,start hour,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
time slot,N1,start minute,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
time slot,N1,end hour,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
time slot,N1,end minute,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
prerequisite,N1,course id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
prerequisite,N1,prerequisite id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,college_2
airport,N1,id,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
airport,N1,city,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
airport,N1,country,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
airport,N1,iata,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
airport,N1,icao,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
airport,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
operate company,N1,id,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
operate company,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
operate company,N1,type,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
operate company,N1,principal activities,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
operate company,N1,incorporated in,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
operate company,N1,group equity shareholding,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
flight,N1,id,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
flight,N1,vehicle flight number,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
flight,N1,date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
flight,N1,pilot,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
flight,N1,velocity,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
flight,N1,altitude,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
flight,N1,airport id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
flight,N1,company id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,flight_company
institution,N1,institution id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
institution,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
institution,N1,country,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
authors,N1,author id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
authors,N1,last name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
authors,N1,first name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
papers,N1,paper id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
papers,N1,title,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
authorship count,N1,author id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
authorship count,N1,institution id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
authorship count,N1,paper id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
authorship count,N1,author count,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,icfp_1
body builder,N1,body builder id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,body_builder
body builder,N1,people id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,body_builder
body builder,N1,snatch,N2,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,body_builder
body builder,N1,clean jerk,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,body_builder
body builder,N1,total,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,body_builder
people,N1,people id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,body_builder
people,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,body_builder
people,N1,height,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,body_builder
people,N1,weight,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,body_builder
people,N1,birth date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,body_builder
people,N1,birth place,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,body_builder
storm,N1,storm id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
storm,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
storm,N1,dates active,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
storm,N1,max speed,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
storm,N1,damage millions usd,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
storm,N1,number deaths,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
region,N1,region id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
region,N1,region code,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
region,N1,region name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
affected region,N1,region id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
affected region,N1,storm id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
affected region,N1,number city affected,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,storm_record
aircraft,N1,aircraft id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
aircraft,N1,order year,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
aircraft,N1,manufacturer,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
aircraft,N1,model,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
aircraft,N1,fleet series,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
aircraft,N1,powertrain,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
aircraft,N1,fuel propulsion,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot,N1,pilot id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot,N1,pilot name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot,N1,rank,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot,N1,age,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot,N1,nationality,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot,N1,position,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot,N1,join year,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot,N1,team,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot record,N1,record id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot record,N1,pilot id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot record,N1,aircraft id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
pilot record,N1,date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,pilot_record
race,N1,race id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,race_track
race,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,race_track
race,N1,class,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,race_track
race,N1,date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,race_track
race,N1,track id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,race_track
track,N1,track id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,race_track
track,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,race_track
track,N1,location,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,race_track
track,N1,seating,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,race_track
track,N1,year opened,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,race_track
author,N1,aid,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
author,N1,homepage,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
author,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
author,N1,oid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
conference,N1,cid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
conference,N1,homepage,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
conference,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain,N1,did,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain author,N1,aid,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain author,N1,did,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain conference,N1,cid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain conference,N1,did,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
journal,N1,homepage,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
journal,N1,jid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
journal,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain journal,N1,did,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain journal,N1,jid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
keyword,N1,keyword,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
keyword,N1,kid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain keyword,N1,did,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain keyword,N1,kid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
publication,N1,abstract,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
publication,N1,cid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
publication,N1,citation num,N2,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
publication,N1,jid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
publication,N1,pid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
publication,N1,reference num,N2,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
publication,N1,title,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
publication,N1,year,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain publication,N1,did,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
domain publication,N1,pid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
organization,N1,continent,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
organization,N1,homepage,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
organization,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
organization,N1,oid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
publication keyword,N1,pid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
publication keyword,N1,kid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
writes,N1,aid,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
writes,N1,pid,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
cite,N1,cited,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
cite,N1,citing,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,academic
addresses,N1,address id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
addresses,N1,address details,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
staff,N1,staff id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
staff,N1,staff gender,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
staff,N1,staff name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
suppliers,N1,supplier id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
suppliers,N1,supplier name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
suppliers,N1,supplier phone,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
department store chain,N1,department store chain id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
department store chain,N1,department store chain name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customers,N1,customer id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customers,N1,payment method code,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customers,N1,customer code,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customers,N1,customer name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customers,N1,customer address,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customers,N1,customer phone,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customers,N1,customer email,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
products,N1,product id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
products,N1,product type code,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
products,N1,product name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
products,N1,product price,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
supplier addresses,N1,supplier id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
supplier addresses,N1,address id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
supplier addresses,N1,date from,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
supplier addresses,N1,date to,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customer addresses,N1,customer id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customer addresses,N1,address id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customer addresses,N1,date from,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customer addresses,N1,date to,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customer orders,N1,order id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customer orders,N1,customer id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customer orders,N1,order status code,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
customer orders,N1,order date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
department stores,N1,department store id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
department stores,N1,department store chain id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
department stores,N1,store name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
department stores,N1,store address,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
department stores,N1,store phone,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
department stores,N1,store email,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
departments,N1,department id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
departments,N1,department store id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
departments,N1,department name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
order items,N1,order item id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
order items,N1,order id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
order items,N1,product id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
product suppliers,N1,product id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
product suppliers,N1,supplier id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
product suppliers,N1,date supplied from,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
product suppliers,N1,date supplied to,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
product suppliers,N1,total amount purchased,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
product suppliers,N1,total value purchased,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
staff department assignments,N1,staff id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
staff department assignments,N1,department id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
staff department assignments,N1,date assigned from,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
staff department assignments,N1,job title code,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
staff department assignments,N1,date assigned to,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,department_store
artist,N1,artist id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
artist,N1,artist,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
artist,N1,age,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
artist,N1,famous title,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
artist,N1,famous release date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
volume,N1,volume id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
volume,N1,volume issue,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
volume,N1,issue date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
volume,N1,weeks on top,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
volume,N1,song,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
volume,N1,artist id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
music festival,N1,id,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
music festival,N1,music festival,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
music festival,N1,date of ceremony,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
music festival,N1,category,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
music festival,N1,volume,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
music festival,N1,result,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,music_4
customers,N1,customer id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
customers,N1,customer name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
services,N1,service id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
services,N1,service name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
available policies,N1,policy id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
available policies,N1,policy type code,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
available policies,N1,customer phone,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
customers policies,N1,customer id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
customers policies,N1,policy id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
customers policies,N1,date opened,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
customers policies,N1,date closed,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
first notification of loss,N1,fnol id,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
first notification of loss,N1,customer id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
first notification of loss,N1,policy id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
first notification of loss,N1,service id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
claims,N1,claim id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
claims,N1,fnol id,N3,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
claims,N1,effective date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
settlements,N1,settlement id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
settlements,N1,claim id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
settlements,N1,effective date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
settlements,N1,settlement amount,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,insurance_fnol
film,N1,film id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
film,N1,rank in series,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
film,N1,number in season,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
film,N1,title,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
film,N1,directed by,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
film,N1,original air date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
film,N1,production code,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
cinema,N1,cinema id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
cinema,N1,name,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
cinema,N1,openning year,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
cinema,N1,capacity,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
cinema,N1,location,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
schedule,N1,cinema id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
schedule,N1,film id,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
schedule,N1,date,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
schedule,N1,show times per day,N1,canine-s-collection2-upperlower-sequence-tags-best-hyperparams,cinema
