TABLE_NAME,COLUMN_NAME
ABOE,Details
ABOE,TransRef
ABOE,PmntDate
ABOE,PmntNum
ABOE,BoeSum
ABOE,BoeSumSC
ABOE,BoeSumFC
ABOE,CardCode
ABOE,CardName
ABOE,BoeAcct
ABOE,Currency
ABOE,Printed
ABOE,TotalWords
ABOE,Signature
ABOE,TransNum
ABOE,LinesSum
ABOE,DdctPrcnt
ABOE,Address
ABOE,UpdateDate
ABOE,CreateDate
ABOE,VatTotal
ABOE,VatTotalSC
ABOE,VatTotalFC
ABOE,VatCalcult
ABOE,TaxDate
ABOE,DataSource
ABOE,SumRfndCln
ABOE,UserSign
ABOE,PrintedBy
ABOE,Transfered
ABOE,Instance
ABOE,LogInstanc
ABOE,BPBankCod
ABOE,BPBankNam
ABOE,BPBankAct
ABOE,BPBankBrnc
ABOE,BPBankCtr
ABOE,RefNum
ABOE,IsReconcld
ABOE,Comments
ABOE,PayMethCod
ABOE,DepositNum
ABOE,PymMethNam
ABOE,DeductSum
ABOE,ControlKey
ABOE,AgentCode
ABOE,ReconcilNu
ABOE,DepositTyp
ABOE,CreatStatu
ABOE,Ref2
ABOE,PayEngSt1
ABOE,PayEngSt2
ABOE,PayEngSt3
ABOE,StampTax
ABOE,StmpTxAmnt
ABOE,DpsActKey
ABOE,OutBnkKey
ABOE,Portfolio
ABOE,VndCodeCEE
ABOE,VndNameCEE
ABOE,OurNum
ABOE,BarcodeNum
ABOE,BarcodeRep
ABOE,OurNumChk
ABOE,FolioPref
ABOE,FolioNum
ABOE,LPgFolioN
ABOE,UserSign2
ABOE,IntrstAmnt
ABOE,DiscAmnt
ABOE,FineAmnt
ABOE,IntrstDate
ABOE,DiscDate
ABOE,FineDate
ABOE,PostType
ABOE,IOFAmnt
ABOE,ServFeeAm
ABOE,OtherExAm
ABOE,OtherInAm
ABOE,BPLId
ABOE,EnBPBnkAct
ABOE,EncryptIV
ABOE,DPPStatus
CHO1,CheckKey
CHO1,LineId
CHO1,LineDitail
CHO1,LineMoney
CHO1,LineCurr
CHO1,LineAcct
CHO1,Line_A_C
CHO1,Code
CHO1,CredAcct
CHO1,TotalLine
CHO1,VatPercent
CHO1,UserSign
CHO1,LogInstanc
CHO1,ObjType
CHO1,LineMnyLC
CHO1,LineMnySC
CHO1,LineMnyFC
CHO1,TotLineLC
CHO1,TotLineSC
CHO1,TotLineFC
CHO1,UserSign2
CHO1,UpdateDate
RIN19,DocEntry
RIN19,BinAllocSe
RIN19,LineNum
RIN19,SubLineNum
RIN19,SnBType
RIN19,SnBMDAbs
RIN19,BinAbs
RIN19,Quantity
RIN19,ItemCode
RIN19,WhsCode
RIN19,ObjType
RIN19,LogInstanc
RIN19,AllowNeg
RIN19,BinActTyp
OBSL,AbsEntry
OBSL,FldAbs
OBSL,SLCode
OBSL,Descr
OBSL,UserSign
OBSL,DataSource
OBSL,Transfered
OBSL,Instance
OBSL,LogInstanc
OBSL,CreateDate
OBSL,UserSign2
OBSL,UpdateDate
OBSL,Deleted
IGN19,DocEntry
IGN19,BinAllocSe
IGN19,LineNum
IGN19,SubLineNum
IGN19,SnBType
IGN19,SnBMDAbs
IGN19,BinAbs
IGN19,Quantity
IGN19,ItemCode
IGN19,WhsCode
IGN19,ObjType
IGN19,LogInstanc
IGN19,AllowNeg
IGN19,BinActTyp
SVR1,acctCode
SVR1,transID
SVR1,transLine
CIN5,AbsEntry
CIN5,WTCode
CIN5,Rate
CIN5,TaxbleAmnt
CIN5,TxblAmntSC
CIN5,TxblAmntFC
CIN5,WTAmnt
CIN5,WTAmntSC
CIN5,WTAmntFC
CIN5,ApplAmnt
CIN5,ApplAmntSC
CIN5,ApplAmntFC
CIN5,Category
CIN5,Criteria
CIN5,Account
CIN5,Type
CIN5,RoundType
CIN5,BaseType
CIN5,BaseAbsEnt
CIN5,BaseLine
CIN5,BaseNum
CIN5,LineNum
CIN5,BaseRef
CIN5,Status
CIN5,TrgType
CIN5,TrgAbsEntr
CIN5,LogInstanc
CIN5,ObjType
CIN5,Doc1LineNo
CIN5,WtLineType
CIN5,TxblCurr
CIN5,DtblCurr
CIN5,DtblRate
CIN5,txblRate
CIN5,DtblAmount
CIN5,TdsAcc
CIN5,SurAcc
CIN5,CessAcc
CIN5,HscAcc
CIN5,TdsRate
CIN5,SurRate
CIN5,CessRate
CIN5,HscRate
CIN5,TdsBAmt
CIN5,TdsBAmtSC
CIN5,TdsBAmtFC
CIN5,SurBAmt
CIN5,SurBAmtSC
CIN5,SurBAmtFC
CIN5,CessBAmt
CIN5,CessBAmtSC
CIN5,CessBAmtFC
CIN5,HscBAmt
CIN5,HscBAmtSC
CIN5,HscBAmtFC
CIN5,TdsAmnt
CIN5,TdsAmntSC
CIN5,TdsAmntFC
CIN5,SurAmnt
CIN5,SurAmntSC
CIN5,SurAmntFC
CIN5,CessAmnt
CIN5,CessAmntSC
CIN5,CessAmntFC
CIN5,HscAmnt
CIN5,HscAmntSC
CIN5,HscAmntFC
CIN5,TdsAppl
CIN5,TdsApplSC
CIN5,TdsApplFC
CIN5,SurAppl
CIN5,SurApplSC
CIN5,SurApplFC
CIN5,CessAppl
CIN5,CessApplSC
CIN5,CessApplFC
CIN5,HscAppl
CIN5,HscApplSC
CIN5,HscApplFC
CIN5,BatchNum
CIN5,InCSTCode
CIN5,OutCSTCode
CIN5,DpmWTApl
CIN5,DpmWTAplSC
CIN5,DpmWTAplFC
CIN5,WTTypeId
CIN5,LnBsAmt
CIN5,LnBsAmtSC
CIN5,LnBsAmtFC
CIN5,LnCmTAmt
CIN5,LnCmTAmtSC
CIN5,LnCmTAmtFC
CIN5,TDSType
CIN5,IgstAcc
CIN5,CgstAcc
CIN5,SgstAcc
CIN5,IgstAmnt
CIN5,IgstAmntSC
CIN5,IgstAmntFC
CIN5,CgstAmnt
CIN5,CgstAmntSC
CIN5,CgstAmntFC
CIN5,SgstAmnt
CIN5,SgstAmntSC
CIN5,SgstAmntFC
CIN5,IgstRate
CIN5,CgstRate
CIN5,SgstRate
CIN5,IgstBAmt
CIN5,IgstBAmtSC
CIN5,IgstBAmtFC
CIN5,CgstBAmt
CIN5,CgstBAmtSC
CIN5,CgstBAmtFC
CIN5,SgstBAmt
CIN5,SgstBAmtSC
CIN5,SgstBAmtFC
CIN5,IgstAppl
CIN5,IgstApplSC
CIN5,IgstApplFC
CIN5,CgstAppl
CIN5,CgstApplSC
CIN5,CgstApplFC
CIN5,SgstAppl
CIN5,SgstApplSC
CIN5,SgstApplFC
CIN5,UtgstAcc
CIN5,CsgstAcc
CIN5,UtgstAmt
CIN5,UtgstAmtSC
CIN5,UtgstAmtFC
CIN5,CsgstAmt
CIN5,CsgstAmtSC
CIN5,CsgstAmtFC
CIN5,UtgstRate
CIN5,CsgstRate
CIN5,UtgstBAmt
CIN5,UtgstBAmtS
CIN5,UtgstBAmtF
CIN5,CsgstBAmt
CIN5,CsgstBAmtS
CIN5,CsgstBAmtF
CIN5,UtgstAppl
CIN5,UtgstApplS
CIN5,UtgstApplF
CIN5,CsgstAppl
CIN5,CsgstApplS
CIN5,CsgstApplF
CIN5,EncryptIV
CIN5,TcsIntAcct
CIN5,SurIntAcct
CIN5,CesIntAcct
CIN5,HscIntAcct
CIN5,LnIntAcct
CIN5,FixedAmnt
CIN5,FixedAmtSC
CIN5,FixedAmtFC
CIN5,BaseQty
DRF9,DocEntry
DRF9,LineNum
DRF9,BaseAbs
DRF9,BaseLine
DRF9,TargetBase
DRF9,ObjType
DRF9,DrawnSum
DRF9,DrawnSumFc
DRF9,DrawnSumSc
DRF9,LogInstanc
DRF9,ObjCode
DRF9,ApplDrawn
DRF9,ApplDrawnF
DRF9,ApplDrawnS
DRF9,BaseDocNum
DRF9,BsDocDate
DRF9,BsDueDate
DRF9,BsCardName
DRF9,BsComments
DRF9,Posted
DRF9,Vat
DRF9,VatFc
DRF9,VatSc
DRF9,Gross
DRF9,GrossFc
DRF9,GrossSc
DRF9,IsGross
RRR16,AbsEntry
RRR16,LineNum
RRR16,SnBIndex
RRR16,ItemCode
RRR16,WhsCode
RRR16,ObjId
RRR16,ObjAbs
RRR16,DrfWObjAbs
RRR16,Quantity
RRR16,SubLineNum
RRR16,ObjType
RRR16,LogInstanc
OCPN,CpnNo
OCPN,Name
OCPN,Type
OCPN,TargetGrp
OCPN,Owner
OCPN,Status
OCPN,StartDate
OCPN,FinishDate
OCPN,Remarks
OCPN,WizardGen
OCPN,Template
OCPN,AtcEntry
OCPN,Attachment
OCPN,LogIns
OCPN,UserSign2
OCPN,UpdateDate
OCPN,UserSign
OCPN,CreateDate
OCPN,DataSource
OCPN,Transfered
OCPN,Instance
OCPN,Url
OCPN,TmplPath
OCPN,TargetType
OCPN,ExeOption
OCPN,Executed
OCPN,VersionNum
PMG9,AbsEntry
PMG9,LineID
PMG9,BWRefID
PMG9,TargetType
PMG9,TargetAbs
PMG9,TargetNum
PMG9,TargetLine
PMG9,SubProjID
PMG9,StageID
PMG9,SourceType
PMG9,SourceAbs
PMG9,SourceNum
PMG9,SourceLine
PMG9,Charged
PMG9,ChargedQty
PMG9,DestType
PMG9,DestArr
PMG9,DestAbs
PMG9,DestLine
FAM1,WizardId
FAM1,LineNum
FAM1,ObjectType
FAM1,ObjectCode
FAM1,ObjectName
FAM1,Status
FAM1,Message
ITT1,Father
ITT1,ChildNum
ITT1,VisOrder
ITT1,Code
ITT1,Quantity
ITT1,Warehouse
ITT1,Price
ITT1,Currency
ITT1,PriceList
ITT1,OrigPrice
ITT1,OrigCurr
ITT1,IssueMthd
ITT1,Uom
ITT1,Comment
ITT1,LogInstanc
ITT1,Object
ITT1,OcrCode
ITT1,OcrCode2
ITT1,OcrCode3
ITT1,OcrCode4
ITT1,OcrCode5
ITT1,PrncpInput
ITT1,Project
ITT1,Type
ITT1,WipActCode
ITT1,AddQuantit
ITT1,LineText
ITT1,StageId
ITT1,ItemName
DRF14,DocEntry
DRF14,LineNum
DRF14,ChildNum
DRF14,ItemCode
DRF14,WhsCode
DRF14,Quantity
DRF14,TotalQty
DRF14,OpenQty
DRF14,ObjectType
DRF14,LogInstanc
DRF14,BaseChildN
DRF14,EncryptIV
DRF16,AbsEntry
DRF16,LineNum
DRF16,SnBIndex
DRF16,ItemCode
DRF16,WhsCode
DRF16,ObjId
DRF16,ObjAbs
DRF16,DrfWObjAbs
DRF16,Quantity
DRF16,SubLineNum
DRF16,ObjType
DRF16,LogInstanc
RIN25,DocEntry
RIN25,VatGroup
RIN25,VatPrcnt
RIN25,BaseAmnt
RIN25,BaseAmntFC
RIN25,BaseAmntSC
RIN25,VatSum
RIN25,VatSumFrgn
RIN25,VatSumSy
RIN25,Type
RIN25,Currency
RIN25,Rate
RIN25,LogInstanc
RIN25,ObjType
INV17,DocEntry
INV17,LineNum
INV17,LogInstanc
INV17,ObjectType
INV17,ImpDocType
INV17,ImpDocNum
INV17,DateOfReg
INV17,CustClrDat
INV17,ConcActNum
INV17,AdditNum
INV17,AddItmDV
INV17,tpVTransp
INV17,DrawSReg
INV17,AddFrNavyA
INV17,TypeOfImp
INV17,nSeqAdic
IGN24,DocEntry
IGN24,LineNum
IGN24,ChildNum
IGN24,TrackingNt
IGN24,TrackiNtLn
IGN24,Quantity
IGN24,ItemCCDNum
IGN24,CntrOrigin
IGN24,LogInstanc
IGN24,ObjType
IGN24,SubLineNum
CPV26,DocEntry
CPV26,SuplyType
CPV26,SubSplyTyp
CPV26,DocType
CPV26,TransMode
CPV26,Distance
CPV26,TransDocNo
CPV26,TransDate
CPV26,VehicleTyp
CPV26,VehicleNo
CPV26,EWayBillNo
CPV26,EwbDate
CPV26,FrmTraName
CPV26,FrmAddres1
CPV26,FrmAddres2
CPV26,FrmZipCode
CPV26,ActFrmStat
CPV26,ToTraName
CPV26,ToAddres1
CPV26,ToAddres2
CPV26,ToZipCode
CPV26,ActToState
CPV26,FrmGSTN
CPV26,FrmState
CPV26,ToGSTN
CPV26,ToState
CPV26,MainHsnEnt
CPV26,FrmPlace
CPV26,ToPlace
CPV26,TransID
CPV26,TransName
CPV26,ExpireDate
CPV26,ObjectType
CPV26,LogInstanc
CPV26,TspEntry
CPV26,TspLine
CPV26,TransType
CPI22,DocEntry
CPI22,LineNum
CPI22,StdCostNum
CPI22,Price
CPI22,Total
CPI22,ObjectType
CPI22,LogInstanc
CPI27,DocEntry
CPI27,LineNum
CPI27,RelateType
CPI27,RelateLine
CPI27,GroupNum
CPI27,LineTotal
CPI27,LineTotalF
CPI27,LineTotalS
CPI27,InClassTyp
CPI27,InClassCat
CPI27,ExClassTyp
CPI27,ExClassCat
CPI27,VatCate
CPI27,NetValue
CPI27,NetValueFC
CPI27,NetValueSC
CPI27,VatAmount
CPI27,VatAmFC
CPI27,VatAmSC
CPI27,WtPercCat
CPI27,WtAmount
CPI27,WtAmountFC
CPI27,WtAmountSC
CPI27,ObjectType
CPI27,LogInstanc
CPI27,WtCategory
CPI27,VATClassTy
CPI27,VATClassCa
CPI27,EBVatExCau
OVEB,AbsEntry
OVEB,CardCode
OVEB,VersionNum
OVEB,UserSign
OVEB,UserSign2
OVEB,CreateDate
OVEB,UpdateDate
OVEB,LogInstanc
OVEB,DataSource
OVEB,UpdateTS
OVEB,Comments
GBI16,HistoryId
GBI16,RowId
GBI16,EmpNo
GBI16,EmpName
ODPI,DocEntry
ODPI,DocNum
ODPI,DocType
ODPI,CANCELED
ODPI,Handwrtten
ODPI,Printed
ODPI,DocStatus
ODPI,InvntSttus
ODPI,Transfered
ODPI,ObjType
ODPI,DocDate
ODPI,DocDueDate
ODPI,CardCode
ODPI,CardName
ODPI,Address
ODPI,NumAtCard
ODPI,VatPercent
ODPI,VatSum
ODPI,VatSumFC
ODPI,DiscPrcnt
ODPI,DiscSum
ODPI,DiscSumFC
ODPI,DocCur
ODPI,DocRate
ODPI,DocTotal
ODPI,DocTotalFC
ODPI,PaidToDate
ODPI,PaidFC
ODPI,GrosProfit
ODPI,GrosProfFC
ODPI,Ref1
ODPI,Ref2
ODPI,Comments
ODPI,JrnlMemo
ODPI,TransId
ODPI,ReceiptNum
ODPI,GroupNum
ODPI,DocTime
ODPI,SlpCode
ODPI,TrnspCode
ODPI,PartSupply
ODPI,Confirmed
ODPI,GrossBase
ODPI,ImportEnt
ODPI,CreateTran
ODPI,SummryType
ODPI,UpdInvnt
ODPI,UpdCardBal
ODPI,Instance
ODPI,Flags
ODPI,InvntDirec
ODPI,CntctCode
ODPI,ShowSCN
ODPI,FatherCard
ODPI,SysRate
ODPI,CurSource
ODPI,VatSumSy
ODPI,DiscSumSy
ODPI,DocTotalSy
ODPI,PaidSys
ODPI,FatherType
ODPI,GrosProfSy
ODPI,UpdateDate
ODPI,IsICT
ODPI,CreateDate
ODPI,Volume
ODPI,VolUnit
ODPI,Weight
ODPI,WeightUnit
ODPI,Series
ODPI,TaxDate
ODPI,Filler
ODPI,DataSource
ODPI,StampNum
ODPI,isCrin
ODPI,FinncPriod
ODPI,UserSign
ODPI,selfInv
ODPI,VatPaid
ODPI,VatPaidFC
ODPI,VatPaidSys
ODPI,UserSign2
ODPI,WddStatus
ODPI,draftKey
ODPI,TotalExpns
ODPI,TotalExpFC
ODPI,TotalExpSC
ODPI,DunnLevel
ODPI,Address2
ODPI,LogInstanc
ODPI,Exported
ODPI,StationID
ODPI,Indicator
ODPI,NetProc
ODPI,AqcsTax
ODPI,AqcsTaxFC
ODPI,AqcsTaxSC
ODPI,CashDiscPr
ODPI,CashDiscnt
ODPI,CashDiscFC
ODPI,CashDiscSC
ODPI,ShipToCode
ODPI,LicTradNum
ODPI,PaymentRef
ODPI,WTSum
ODPI,WTSumFC
ODPI,WTSumSC
ODPI,RoundDif
ODPI,RoundDifFC
ODPI,RoundDifSy
ODPI,CheckDigit
ODPI,Form1099
ODPI,Box1099
ODPI,submitted
ODPI,PoPrss
ODPI,Rounding
ODPI,RevisionPo
ODPI,Segment
ODPI,ReqDate
ODPI,CancelDate
ODPI,PickStatus
ODPI,Pick
ODPI,BlockDunn
ODPI,PeyMethod
ODPI,PayBlock
ODPI,PayBlckRef
ODPI,MaxDscn
ODPI,Reserve
ODPI,Max1099
ODPI,CntrlBnk
ODPI,PickRmrk
ODPI,ISRCodLine
ODPI,ExpAppl
ODPI,ExpApplFC
ODPI,ExpApplSC
ODPI,Project
ODPI,DeferrTax
ODPI,LetterNum
ODPI,FromDate
ODPI,ToDate
ODPI,WTApplied
ODPI,WTAppliedF
ODPI,BoeReserev
ODPI,AgentCode
ODPI,WTAppliedS
ODPI,EquVatSum
ODPI,EquVatSumF
ODPI,EquVatSumS
ODPI,Installmnt
ODPI,VATFirst
ODPI,NnSbAmnt
ODPI,NnSbAmntSC
ODPI,NbSbAmntFC
ODPI,ExepAmnt
ODPI,ExepAmntSC
ODPI,ExepAmntFC
ODPI,VatDate
ODPI,CorrExt
ODPI,CorrInv
ODPI,NCorrInv
ODPI,CEECFlag
ODPI,BaseAmnt
ODPI,BaseAmntSC
ODPI,BaseAmntFC
ODPI,CtlAccount
ODPI,BPLId
ODPI,BPLName
ODPI,VATRegNum
ODPI,TxInvRptNo
ODPI,TxInvRptDt
ODPI,KVVATCode
ODPI,WTDetails
ODPI,SumAbsId
ODPI,SumRptDate
ODPI,PIndicator
ODPI,ManualNum
ODPI,UseShpdGd
ODPI,BaseVtAt
ODPI,BaseVtAtSC
ODPI,BaseVtAtFC
ODPI,NnSbVAt
ODPI,NnSbVAtSC
ODPI,NbSbVAtFC
ODPI,ExptVAt
ODPI,ExptVAtSC
ODPI,ExptVAtFC
ODPI,LYPmtAt
ODPI,LYPmtAtSC
ODPI,LYPmtAtFC
ODPI,ExpAnSum
ODPI,ExpAnSys
ODPI,ExpAnFrgn
ODPI,DocSubType
ODPI,DpmStatus
ODPI,DpmAmnt
ODPI,DpmAmntSC
ODPI,DpmAmntFC
ODPI,DpmDrawn
ODPI,DpmPrcnt
ODPI,PaidSum
ODPI,PaidSumFc
ODPI,PaidSumSc
ODPI,FolioPref
ODPI,FolioNum
ODPI,DpmAppl
ODPI,DpmApplFc
ODPI,DpmApplSc
ODPI,LPgFolioN
ODPI,Header
ODPI,Footer
ODPI,Posted
ODPI,OwnerCode
ODPI,BPChCode
ODPI,BPChCntc
ODPI,PayToCode
ODPI,IsPaytoBnk
ODPI,BnkCntry
ODPI,BankCode
ODPI,BnkAccount
ODPI,BnkBranch
ODPI,isIns
ODPI,TrackNo
ODPI,VersionNum
ODPI,LangCode
ODPI,BPNameOW
ODPI,BillToOW
ODPI,ShipToOW
ODPI,RetInvoice
ODPI,ClsDate
ODPI,MInvNum
ODPI,MInvDate
ODPI,SeqCode
ODPI,Serial
ODPI,SeriesStr
ODPI,SubStr
ODPI,Model
ODPI,TaxOnExp
ODPI,TaxOnExpFc
ODPI,TaxOnExpSc
ODPI,TaxOnExAp
ODPI,TaxOnExApF
ODPI,TaxOnExApS
ODPI,LastPmnTyp
ODPI,LndCstNum
ODPI,UseCorrVat
ODPI,BlkCredMmo
ODPI,OpenForLaC
ODPI,Excised
ODPI,ExcRefDate
ODPI,ExcRmvTime
ODPI,SrvGpPrcnt
ODPI,DepositNum
ODPI,CertNum
ODPI,DutyStatus
ODPI,AutoCrtFlw
ODPI,FlwRefDate
ODPI,FlwRefNum
ODPI,VatJENum
ODPI,DpmVat
ODPI,DpmVatFc
ODPI,DpmVatSc
ODPI,DpmAppVat
ODPI,DpmAppVatF
ODPI,DpmAppVatS
ODPI,InsurOp347
ODPI,IgnRelDoc
ODPI,BuildDesc
ODPI,ResidenNum
ODPI,Checker
ODPI,Payee
ODPI,CopyNumber
ODPI,SSIExmpt
ODPI,PQTGrpSer
ODPI,PQTGrpNum
ODPI,PQTGrpHW
ODPI,ReopOriDoc
ODPI,ReopManCls
ODPI,DocManClsd
ODPI,ClosingOpt
ODPI,SpecDate
ODPI,Ordered
ODPI,NTSApprov
ODPI,NTSWebSite
ODPI,NTSeTaxNo
ODPI,NTSApprNo
ODPI,PayDuMonth
ODPI,ExtraMonth
ODPI,ExtraDays
ODPI,CdcOffset
ODPI,SignMsg
ODPI,SignDigest
ODPI,CertifNum
ODPI,KeyVersion
ODPI,EDocGenTyp
ODPI,ESeries
ODPI,EDocNum
ODPI,EDocExpFrm
ODPI,OnlineQuo
ODPI,POSEqNum
ODPI,POSManufSN
ODPI,POSCashN
ODPI,EDocStatus
ODPI,EDocCntnt
ODPI,EDocProces
ODPI,EDocErrCod
ODPI,EDocErrMsg
ODPI,EDocCancel
ODPI,EDocTest
ODPI,EDocPrefix
ODPI,CUP
ODPI,CIG
ODPI,DpmAsDscnt
ODPI,Attachment
ODPI,AtcEntry
ODPI,SupplCode
ODPI,GTSRlvnt
ODPI,BaseDisc
ODPI,BaseDiscSc
ODPI,BaseDiscFc
ODPI,BaseDiscPr
ODPI,CreateTS
ODPI,UpdateTS
ODPI,SrvTaxRule
ODPI,AnnInvDecR
ODPI,Supplier
ODPI,Releaser
ODPI,Receiver
ODPI,ToWhsCode
ODPI,AssetDate
ODPI,Requester
ODPI,ReqName
ODPI,Branch
ODPI,Department
ODPI,Email
ODPI,Notify
ODPI,ReqType
ODPI,OriginType
ODPI,IsReuseNum
ODPI,IsReuseNFN
ODPI,DocDlvry
ODPI,PaidDpm
ODPI,PaidDpmF
ODPI,PaidDpmS
ODPI,EnvTypeNFe
ODPI,AgrNo
ODPI,IsAlt
ODPI,AltBaseTyp
ODPI,AltBaseEnt
ODPI,AuthCode
ODPI,StDlvDate
ODPI,StDlvTime
ODPI,EndDlvDate
ODPI,EndDlvTime
ODPI,VclPlate
ODPI,ElCoStatus
ODPI,AtDocType
ODPI,ElCoMsg
ODPI,PrintSEPA
ODPI,FreeChrg
ODPI,FreeChrgFC
ODPI,FreeChrgSC
ODPI,NfeValue
ODPI,FiscDocNum
ODPI,RelatedTyp
ODPI,RelatedEnt
ODPI,CCDEntry
ODPI,NfePrntFo
ODPI,ZrdAbs
ODPI,POSRcptNo
ODPI,FoCTax
ODPI,FoCTaxFC
ODPI,FoCTaxSC
ODPI,TpCusPres
ODPI,ExcDocDate
ODPI,FoCFrght
ODPI,FoCFrghtFC
ODPI,FoCFrghtSC
ODPI,InterimTyp
ODPI,PTICode
ODPI,Letter
ODPI,FolNumFrom
ODPI,FolNumTo
ODPI,FolSeries
ODPI,SplitTax
ODPI,SplitTaxFC
ODPI,SplitTaxSC
ODPI,ToBinCode
ODPI,PriceMode
ODPI,PoDropPrss
ODPI,PermitNo
ODPI,MYFtype
ODPI,DocTaxID
ODPI,DateReport
ODPI,RepSection
ODPI,ExclTaxRep
ODPI,PosCashReg
ODPI,DmpTransID
ODPI,ECommerBP
ODPI,EComerGSTN
ODPI,Revision
ODPI,RevRefNo
ODPI,RevRefDate
ODPI,RevCreRefN
ODPI,RevCreRefD
ODPI,TaxInvNo
ODPI,FrmBpDate
ODPI,GSTTranTyp
ODPI,BaseType
ODPI,BaseEntry
ODPI,ComTrade
ODPI,UseBilAddr
ODPI,IssReason
ODPI,ComTradeRt
ODPI,SplitPmnt
ODPI,SOIWizId
ODPI,SelfPosted
ODPI,EnBnkAcct
ODPI,EncryptIV
ODPI,DPPStatus
ODPI,SAPPassprt
ODPI,EWBGenType
ODPI,CtActTax
ODPI,CtActTaxFC
ODPI,CtActTaxSC
ODPI,EDocType
ODPI,QRCodeSrc
ODPI,AggregDoc
ODPI,DataVers
ODPI,ShipState
ODPI,ShipPlace
ODPI,CustOffice
ODPI,FCI
ODPI,NnSbCuAmnt
ODPI,NnSbCuSC
ODPI,NnSbCuFC
ODPI,ExepCuAmnt
ODPI,ExepCuSC
ODPI,ExepCuFC
ODPI,AddLegIn
ODPI,LegTextF
ODPI,IndFinal
ODPI,DANFELgTxt
ODPI,PostPmntWT
ODPI,QRCodeSPGn
ODPI,FCEPmnMean
ODPI,ReqCode
ODPI,NotRel4MI
ODPI,Rel4PPTax
CIN26,DocEntry
CIN26,SuplyType
CIN26,SubSplyTyp
CIN26,DocType
CIN26,TransMode
CIN26,Distance
CIN26,TransDocNo
CIN26,TransDate
CIN26,VehicleTyp
CIN26,VehicleNo
CIN26,EWayBillNo
CIN26,EwbDate
CIN26,FrmTraName
CIN26,FrmAddres1
CIN26,FrmAddres2
CIN26,FrmZipCode
CIN26,ActFrmStat
CIN26,ToTraName
CIN26,ToAddres1
CIN26,ToAddres2
CIN26,ToZipCode
CIN26,ActToState
CIN26,FrmGSTN
CIN26,FrmState
CIN26,ToGSTN
CIN26,ToState
CIN26,MainHsnEnt
CIN26,FrmPlace
CIN26,ToPlace
CIN26,TransID
CIN26,TransName
CIN26,ExpireDate
CIN26,ObjectType
CIN26,LogInstanc
CIN26,TspEntry
CIN26,TspLine
CIN26,TransType
OFPR,AbsEntry
OFPR,Code
OFPR,Name
OFPR,F_RefDate
