Database,Table,Column,score
ASIS_20161108_HerpInv_Database,sysdiagrams,version,100.0
ASIS_20161108_HerpInv_Database,sysdiagrams,definition,100.0
ASIS_20161108_HerpInv_Database,tblAbundance_LU,AbundanceID,95.0
ASIS_20161108_HerpInv_Database,tblAbundance_LU,Abundance,100.0
ASIS_20161108_HerpInv_Database,tblAbundance_LU,AbundanceText,100.0
ASIS_20161108_HerpInv_Database,tblAbundance_LU,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblCultivation_LU,CultivationCode,100.0
ASIS_20161108_HerpInv_Database,tblCultivation_LU,Cultivation,100.0
ASIS_20161108_HerpInv_Database,tblCultivation_LU,CultivationText,100.0
ASIS_20161108_HerpInv_Database,tblCultivation_LU,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,EventID,95.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,ObsInits,70.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,AirTemp,80.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,WaterTemp,80.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,WindSpeed,100.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,WindDirection,100.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,Rain,100.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,Precipitation,100.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,Clouds,100.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,Weather,100.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,Habitat,100.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,Substrate Temperature,100.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,TripReport,100.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,ContactID,95.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,SiteDescription,100.0
ASIS_20161108_HerpInv_Database,tblEventDataHerps,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblEvents,EventID,95.0
ASIS_20161108_HerpInv_Database,tblEvents,Project,100.0
ASIS_20161108_HerpInv_Database,tblEvents,Year,100.0
ASIS_20161108_HerpInv_Database,tblEvents,StartDate,100.0
ASIS_20161108_HerpInv_Database,tblEvents,EndDate,100.0
ASIS_20161108_HerpInv_Database,tblEvents,StartTime,100.0
ASIS_20161108_HerpInv_Database,tblEvents,EndTime,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianCallCounts,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianCallCounts,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianCallCounts,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianCallCounts,Species Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianCallCounts,Call Index,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianCallCounts,Number Observed,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianCallCounts,Comments,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianCallCounts,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,Species Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,Count,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,Stage,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,Pct Mortality,60.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,Color,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,Clusters,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,Comments,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataAmphibianEggMassCounts,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataCoverBoard,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataCoverBoard,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataCoverBoard,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataCoverBoard,Board #,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataCoverBoard,Type,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataCoverBoard,Species Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataCoverBoard,SnakeID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataCoverBoard,Recapture,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataCoverBoard,Comments,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataCoverBoard,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataDriftFenceSurveys,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataDriftFenceSurveys,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataDriftFenceSurveys,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataDriftFenceSurveys,Trap #,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataDriftFenceSurveys,Species Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataDriftFenceSurveys,Number,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataDriftFenceSurveys,Stage,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataDriftFenceSurveys,Sex,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataDriftFenceSurveys,Comments,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataDriftFenceSurveys,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataGreenCardObservations,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataGreenCardObservations,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataGreenCardObservations,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataGreenCardObservations,Species Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataGreenCardObservations,Number,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataGreenCardObservations,Evidence Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataGreenCardObservations,Stage,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataGreenCardObservations,Comments,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataGreenCardObservations,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataMinnowTrapSurveys,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataMinnowTrapSurveys,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataMinnowTrapSurveys,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataMinnowTrapSurveys,Trap #,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataMinnowTrapSurveys,Species Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataMinnowTrapSurveys,Count,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataMinnowTrapSurveys,Stage,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataMinnowTrapSurveys,Comments,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataMinnowTrapSurveys,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,SnakeID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,CaptureMethod,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,Behavior,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,Species Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,Sex,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,SVL,20.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,TLength,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,Weight,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,Gravid,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,Notes,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataSnakeDataCollection,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataStreamSalamanderSurvey,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataStreamSalamanderSurvey,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataStreamSalamanderSurvey,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataStreamSalamanderSurvey,Species Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataStreamSalamanderSurvey,Stage,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataStreamSalamanderSurvey,Zone,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataStreamSalamanderSurvey,Substrate,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataStreamSalamanderSurvey,Comments,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataStreamSalamanderSurvey,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,Species Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,Sex,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,Stage,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,Number,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,Habitat,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,Notch Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,SnakeID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,Recapture,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,Call Index,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,Notes,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTimeConstrainedSearches,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Notch Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Tag#,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Capture Method,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Substrate Temperature,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Habitat,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Behavior,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Species Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Sex,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Age,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Carapace Length,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Carapace Width,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Plastron Length,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Plastron Width,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Weight,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Ectoparasites,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Gravid,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,Comments,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleMeasurements,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,Trap #,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,Trap Type,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,Species Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,Sex,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,Notch Code,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,Recapture,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,Comments,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataTurtleTrapSurveys,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblFieldDataWaterProperties,RecordID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataWaterProperties,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataWaterProperties,EventID,95.0
ASIS_20161108_HerpInv_Database,tblFieldDataWaterProperties,TempC,80.0
ASIS_20161108_HerpInv_Database,tblFieldDataWaterProperties,Salinity,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataWaterProperties,Conductivity,100.0
ASIS_20161108_HerpInv_Database,tblFieldDataWaterProperties,pH,80.0
ASIS_20161108_HerpInv_Database,tblFieldDataWaterProperties,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblLocations,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblLocations,ParkCode,100.0
ASIS_20161108_HerpInv_Database,tblLocations,Project,100.0
ASIS_20161108_HerpInv_Database,tblLocations,SiteID,95.0
ASIS_20161108_HerpInv_Database,tblLocations,StartUTMX,50.0
ASIS_20161108_HerpInv_Database,tblLocations,StartUTMY,50.0
ASIS_20161108_HerpInv_Database,tblLocations,StopUTMX,50.0
ASIS_20161108_HerpInv_Database,tblLocations,StopUTMY,50.0
ASIS_20161108_HerpInv_Database,tblLocations,UtmZone,70.0
ASIS_20161108_HerpInv_Database,tblLocations,StartLat,70.0
ASIS_20161108_HerpInv_Database,tblLocations,StartLon,70.0
ASIS_20161108_HerpInv_Database,tblLocations,StopLat,70.0
ASIS_20161108_HerpInv_Database,tblLocations,StopLon,70.0
ASIS_20161108_HerpInv_Database,tblLocations,Datum,100.0
ASIS_20161108_HerpInv_Database,tblLocations,EstHError,40.0
ASIS_20161108_HerpInv_Database,tblLocations,AccNotes,60.0
ASIS_20161108_HerpInv_Database,tblLocations,Elevation,100.0
ASIS_20161108_HerpInv_Database,tblLocations,EstVError,50.0
ASIS_20161108_HerpInv_Database,tblLocations,Aspect,100.0
ASIS_20161108_HerpInv_Database,tblLocations,Slope,100.0
ASIS_20161108_HerpInv_Database,tblLocations,Notes,100.0
ASIS_20161108_HerpInv_Database,tblLocations,Habitat,100.0
ASIS_20161108_HerpInv_Database,tblLocations,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,LocationID,65.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,PointID,65.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,UTMX,20.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,UTMY,20.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,LatY,40.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,LonX,40.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,EstHError,50.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,AccCategory,70.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,UtmZone,50.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,Datum,100.0
ASIS_20161108_HerpInv_Database,tblLocationsPoints,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblLocDataSearchArea,LocationID,95.0
ASIS_20161108_HerpInv_Database,tblLocDataSearchArea,PointNumber,100.0
ASIS_20161108_HerpInv_Database,tblLocDataSearchArea,StartUTMX,30.0
ASIS_20161108_HerpInv_Database,tblLocDataSearchArea,StartUTMY,30.0
ASIS_20161108_HerpInv_Database,tblLocDataSearchArea,EstHError,50.0
ASIS_20161108_HerpInv_Database,tblLocDataSearchArea,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblNativity_LU,NativityID,95.0
ASIS_20161108_HerpInv_Database,tblNativity_LU,Nativity,100.0
ASIS_20161108_HerpInv_Database,tblNativity_LU,NativityText,100.0
ASIS_20161108_HerpInv_Database,tblNativity_LU,SSMA_TimeStamp,95.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,ParkCode,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,TSN,20.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,ParkStatusID,95.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,StatusDetails,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,AbundanceID,95.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,AbundanceDetails,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,ResidencyID,95.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,ResidencyDetails,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,NativityID,95.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,NativityDetails,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,CultivationCode,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,Weedy,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,Comments,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,DataSource,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,EnteredBy,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,EnteredDate,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,MgmtPriority,70.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,MgmtPriorityDetails,80.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,ExploitConcern,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,ExploitConcernDetails,100.0
ASIS_20161108_HerpInv_Database,tblNPSpecies,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblParkStatus_LU,ParkStatusID,95.0
ASIS_20161108_HerpInv_Database,tblParkStatus_LU,ParkStatus,100.0
ASIS_20161108_HerpInv_Database,tblParkStatus_LU,ParkStatusText,100.0
ASIS_20161108_HerpInv_Database,tblParkStatus_LU,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tblResidency_LU,ResidencyID,95.0
ASIS_20161108_HerpInv_Database,tblResidency_LU,Residency,100.0
ASIS_20161108_HerpInv_Database,tblResidency_LU,ResidencyText,100.0
ASIS_20161108_HerpInv_Database,tblResidency_LU,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tlinkObservers,EventID,95.0
ASIS_20161108_HerpInv_Database,tlinkObservers,ObsInits,60.0
ASIS_20161108_HerpInv_Database,tluBehavior,Behavior,100.0
ASIS_20161108_HerpInv_Database,tluBehavior,Description,100.0
ASIS_20161108_HerpInv_Database,tluCallIndex,CallIndex,100.0
ASIS_20161108_HerpInv_Database,tluCallIndex,Description,100.0
ASIS_20161108_HerpInv_Database,tluCaptureMethod,CaptureMethod,100.0
ASIS_20161108_HerpInv_Database,tluCaptureMethod,Description,100.0
ASIS_20161108_HerpInv_Database,tluEggMassStages,StageCode,100.0
ASIS_20161108_HerpInv_Database,tluEggMassStages,Description,100.0
ASIS_20161108_HerpInv_Database,tluEggMassStages,GosnerStages,100.0
ASIS_20161108_HerpInv_Database,tluEggMassStages,SortOrder,100.0
ASIS_20161108_HerpInv_Database,tluEvidenceCode,Evidence Code,100.0
ASIS_20161108_HerpInv_Database,tluEvidenceCode,Text,100.0
ASIS_20161108_HerpInv_Database,tluHabitat,Habitat,100.0
ASIS_20161108_HerpInv_Database,tluHabitat,Description,100.0
ASIS_20161108_HerpInv_Database,tluHabitat,SortOrder,100.0
ASIS_20161108_HerpInv_Database,tluHabitat,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tluMicroHabitat,Habitat,100.0
ASIS_20161108_HerpInv_Database,tluMicroHabitat,Description,100.0
ASIS_20161108_HerpInv_Database,tluMicroHabitat,SortOrder,100.0
ASIS_20161108_HerpInv_Database,tluMicroHabitat,SSMA_TimeStamp,50.0
ASIS_20161108_HerpInv_Database,tluParkCode,PARKCODE,100.0
ASIS_20161108_HerpInv_Database,tluParkCode,PARKNAME,100.0
ASIS_20161108_HerpInv_Database,tluParkCode,PARKTYPE,100.0
ASIS_20161108_HerpInv_Database,tluProject,Project,100.0
ASIS_20161108_HerpInv_Database,tluProject,Description,100.0
ASIS_20161108_HerpInv_Database,tluSampleZone,SampleZone,100.0
ASIS_20161108_HerpInv_Database,tluSampleZone,Description,100.0
ASIS_20161108_HerpInv_Database,tluSpecies,Species Code,100.0
ASIS_20161108_HerpInv_Database,tluSpecies,Scientific Name,100.0
ASIS_20161108_HerpInv_Database,tluSpecies,Common Name,100.0
ASIS_20161108_HerpInv_Database,tluSpecies,TSN,20.0
ASIS_20161108_HerpInv_Database,tluStage,Stage,100.0
ASIS_20161108_HerpInv_Database,tluStage,Description,100.0
ASIS_20161108_HerpInv_Database,tluStage,SortOrder,100.0
ASIS_20161108_HerpInv_Database,tluSubstrate,Substrate,100.0
ASIS_20161108_HerpInv_Database,tluSubstrate,Description,100.0
ASIS_20161108_HerpInv_Database,tluWeather,Weather,100.0
ASIS_20161108_HerpInv_Database,tluWeather,SortID,95.0
ASIS_20161108_HerpInv_Database,tluWindSpeed,WindCode,100.0
ASIS_20161108_HerpInv_Database,tluWindSpeed,Description,100.0
ATBI,tbl_Deadwood,,100.0
ATBI,tbl_Events,,100.0
ATBI,tbl_Locations,,100.0
ATBI,tbl_Nests,,100.0
ATBI,tbl_Overstory,,100.0
ATBI,tbl_Saplings,,100.0
ATBI,tbl_Seedlings,,100.0
ATBI,tbl_Tree_Tags,,100.0
ATBI,tbl_WitnessTrees,,100.0
ATBI,tlu_Can_Pos,,51.0
ATBI,tlu_Cover_Cls,,40.0
ATBI,tlu_DecayStage,,100.0
ATBI,tlu_Live_Dead,,100.0
ATBI,tlu_Mod_Num,,50.0
ATBI,tlu_PlaceNames,,100.0
ATBI,tlu_PlantSpecies,,100.0
ATBI,tlu_Presence,,100.0
ATBI,tlu_R1_RestOfPlot,,70.0
ATBI,tlu_Roads_and_Trails,,100.0
ATBI,tlu_Slope_Shape,,100.0
ATBI,tlu_topo_position,,80.0
ATBI,tlu_Tree_Cond,,70.0
ATBI,tlu_Yes_No,,100.0
