IDENTIFIER,SCORE
activity_name,N1
ActivityID,N1
ActKey,N2
ActKeyLine,N2
ActLastBal,N2
ActMemo,N2
ActMessage,N2
ActName,N2
Actor_ID,N1
ActPrCost,N2
ActPrice,N2
ActRate,N2
ActRCCost,N2
ActRef1,N2
ActRef2,N2
ActRefDate,N2
ActRevCncl,N2
ActSegNum,N2
ActSep,N2
ActSoftNam,N2
ACTStamp,N2
ActStatus,N1
ActToCode,N1
ActToState,N2
ActType,N2
ActTypeID,N2
Actual_Delivery_Date,N1
Actual_Destruction_Date,N1
actual_order_date,N1
actual_order_id,N1
ActualDur,N2
ActualUnit,N2
ActuToDate,N2
ActWorkCod,N2
ActWorkSum,N2
ActYearCl,N2
ActZeroBln,N2
ADAPT,N1
ADAPTEQUIP,N2
AdaptiveCruiseControl,N1
AdaptiveCruiseControlId,N1
AdaptiveDrivingBeam,N1
AdaptiveDrivingBeamId,N1
AdBoardId,N1
AdCtTxIRWT,N3
AdCtTxIWTA,N3
ADD_NAME,N1
AddBas,N2
AddBasFc,N2
AddBasSc,N2
AddBPToEC,N2
AddBTF,N2
AddChecked,N1
AddCurr1,N2
AddCurr2,N2
AddDlnBlnc,N2
AddExpLC,N2
AddField,N1
AddFrNavyA,N2
AddiAmnt,N2
AddiCurr,N2
AddID,N1
AddIdNum,N2
AdditFilt,N2
Addition,N1
AddItmDV,N2
AdditNum,N2
AdditQty,N2
AddiUnit,N2
AddLegIn,N2
AddMUnit,N2
AddNum,N2
AddOnID,N2
AddOnIF,N2
AddonRun,N1
AddOnType,N1
AddPlat,N2
AddPmntSum,N2
AddPrice1,N1
AddPrice2,N1
AddQuantit,N2
Addr1_3p,N2
Addr2_3p,N2
Addr3_3p,N2
Addr4_3p,N2
ADDRESS,N1
address_content,N1
address_details,N1
address_id,N1
address_line_1,N1
address_line_2,N1
Address_road,N1
Address_Type,N1
address_type_code,N1
address_type_description,N1
ADDRESS2,N1
Address2B,N2
Address2S,N2
Address3,N2
Address3B,N2
Address3S,N2
AddressFr,N2
AddressID,N1
AddressType,N1
AddrFormat,N2
AddrFrom,N2
AddrName,N2
AddrType,N2
AddrTypeB,N2
AddrTypeBS,N2
AddrTypeF,N2
AddrTypeH,N2
AddrTypeS,N2
AddrTypeW,N2
AddtnlId,N2
AddTotalLC,N2
AddVat,N2
Adjacent,N1
AdjTran,N2
AdjTrans,N2
Adjustment,N1
AdjustNum,N2
AdmisDate,N2
ADMStamp,N3
AdresType,N2
AdRgTxIRPA,N3
AdRgTxIRPH,N3
AdrsFromWh,N2
Adtnl_Key,N2
Adults,N1
Advance,N1
Advanced,N1
AdvImagePr,N2
Advisor,N1
AdvRulCol,N2
AdvRules,N2
AdWrkOrdr,N2
AEquetyAct,N2
AExcBasSum,N3
Affiliate,N1
Affiliation,N1
Affirmative,N1
AftAppl,N2
After_Days,N1
After_Mnth,N2
AftLineNum,N2
AftScript,N2
AG,N3
AGCurrency,N2
Age,N1
Agency/Title,N1
Agent,N1
AgentCode,N1
AgentName,N1
AgentNum,N2
AggregDoc,N2
aggression,N1
AggrType,N2
agility,N1
agreed_selling_price,N1
AgreeNum,N2
AgrEfctNum,N2
Agreg2Type,N2
AgregType,N2
Agriculture,N1
AgrLineNum,N2
AgrLnNum,N2
AgrNo,N2
AgrNoFrom,N2
AgrNoTo,N2
AgrNum,N2
AgtCollect,N2
aid,N1
AIDFormat,N2
Air_Date,N1
AirBagLocCurtain,N2
AirBagLocCurtainId,N2
AirBagLocFront,N2
AirBagLocFrontId,N2
AirBagLocKnee,N2
AirBagLocKneeId,N2
AirBagLocSeatCushion,N2
AirBagLocSeatCushionId,N2
AirBagLocSide,N2
AirBagLocSideId,N2
Aircraft,N1
Aircraft_ID,N1
Aircraft_Movements,N1
Airline,N1
AirPlane,N1
AirPlanNum,N2
Airport_ID,N1
Airport_Name,N1
AirportCode,N1
AirportName,N1
AirTemp,N2
AIS,N3
AISCODE,N3
album_id,N1
AlbumId,N1
AlcCode,N2
ALCINV,N3
AlcName,N2
ALCTEST,N2
ALCTESTRESULT,N2
ALCTESTSRC,N2
Alert,N1
AlertCode,N1
Alerted,N1
AlertPolFr,N2
AlgnFooter,N2
Algo,N2
Alias,N1
AliasID,N1
AliasName,N1
AliasUpd,N2
alid,N2
ALIGNMENT,N1
AliqIcms,N3
AliveDurtn,N2
All_Games,N1
All_Games_Percent,N1
All_Home,N2
All_Neutral,N1
All_Road,N1
AllBrnchF,N2
Allergy,N1
AllergyType,N1
AllItems,N1
AllocAcct,N2
AllocAmnt,N2
AllocateLn,N2
AllocatEnt,N2
AllocateTp,N2
Allocation,N1
AllocBinC,N2
AllocQty,N2
AllowedTo,N1
AlloweFrom,N1
ALLOWENCES,N1
AllowFuPos,N2
AllowNeg,N2
AllowNegLt,N2
AllowPostZ,N2
AllowUncfm,N2
AllowUpdat,N2
AllTotalFC,N2
AllTotalLC,N2
AlocCstAct,N2
AlphaDoc,N2
alt,N2
AltBaseEnt,N2
AltBaseTyp,N2
AltBOEPost,N2
AltCrdNamB,N2
AltCrdName,N2
Alternate_Name,N1
Alternate_Type,N1
AltItem,N2
AltItems,N2
AltItmDocs,N2
Altitude,N1
AltQty,N2
AltRev,N2
AltSortCod,N2
AltSrtCodF,N2
AltSrtCodT,N2
AltTaxId,N2
AltTaxIdB,N2
AltType,N2
AltVal,N2
ALTVEH,N2
AlwBPNOwn,N3
AlwProcDoc,N2
AmendedTo,N1
amenid,N2
amenity_name,N1
Amerindian,N1
AmnFC,N3
AmntBase,N2
AmntFC,N3
AmntLC,N3
AmntPdA,N3
AmntPdB,N3
AmntPdBfBr,N3
AmntPdByTr,N3
AmntPdC,N3
AmntPdD,N3
AmntPdR,N3
AmntPdS,N3
AmntSC,N3
AmntsOnhld,N2
Amount,N1
Amount_Claimed,N1
amount_due,N1
amount_of_discount,N1
amount_of_refund,N1
amount_of_transaction,N1
amount_outstanding,N1
amount_paid,N1
amount_paid_in_full_yn,N2
amount_payable,N1
amount_payment,N1
Amount_Piad,N2
Amount_Settled,N1
AmountCat,N2
AmountDiff,N2
AmountFC,N2
AmountLC,N2
AmountSC,N2
AmtAftDsct,N3
AmtDifPst,N3
AmtPvdNTxR,N3
AmtPvdNTxS,N3
AN,N3
AnaActive,N2
AnalysRpt,N2
ANCurrency,N2
AnlIntrst,N2
AnnInvDecR,N2
Annual_entry_exit,N1
Annual_interchanges,N1
Answer,N1
AntilockBrakeSystem,N1
AntilockBrakeSystemId,N1
ANTPTD_TMDL_SUB_DATE,N2
AOpnBlnAct,N2
APC,N3
ApCesInAcc,N2
ApCessAcc,N2
ApCgstAcc,N2
APCHist,N3
APCMAct,N3
APCMEUAct,N3
APCMFrnAct,N3
APConDiffG,N2
APConDiffL,N2
ApCsgstAcc,N3
ApDate,N2
ApDocAdRef,N2
APDocDtFrm,N2
APDocDtTo,N2
ApDocEntry,N2
ApDocOrdNo,N2
ApDocType,N2
APDueDtFrm,N2
APExpAct,N2
ApHscAcc,N3
ApHscInAcc,N3
apid,N2
ApIgstAcc,N3
ApInvAmntF,N2
ApInvAmntT,N2
AplShipPch,N3
AplyAPExhR,N3
AplyARExhR,N3
ApndxOOrP,N3
App,N2
APP_ID,N2
APP_PASS,N2
AppDocNum,N2
Appelation,N1
AppId,N2
ApplAmnt,N2
ApplAmntFC,N2
ApplAmntSC,N2
ApplDct,N2
ApplDctFc,N3
ApplDctSc,N3
ApplDrawn,N2
ApplDrawnF,N2
ApplDrawnS,N2
ApplEq,N2
ApplEqFc,N2
ApplEqSc,N2
ApplGross,N2
ApplGrossF,N2
ApplGrossS,N2
ApplGrs,N3
ApplGrsFc,N3
ApplGrsSc,N3
Applications,N1
ApplicIFRS,N2
ApplID,N2
Applied,N1
AppliedFC,N2
AppliedLC,N2
AppliedSC,N2
AppliedSys,N2
ApplNet,N2
ApplNetFc,N2
ApplNetSc,N2
ApplObj,N2
ApplRvs,N2
ApplRvsFc,N3
ApplRvsSc,N3
ApplSum,N2
ApplSumFc,N3
ApplSumSc,N3
ApplVat,N2
ApplVatFc,N3
ApplVatSc,N3
ApplVers,N2
ApplWTSum,N3
ApplyEntry,N1
ApplyLine,N1
ApplyToDoc,N1
ApplyType,N1
ApplyVAT,N2
AppObjAbs,N2
AppObjLine,N2
AppObjType,N2
Appointment,N1
AppointmentID,N1
AppOnUpd,N2
Appr,N2
AppreAcc,N2
Approve,N1
Approved,N1
approvedBy,N1
Approver,N1
ApprovNum,N2
ApprovYear,N2
Apps,N1
AppSubLine,N2
Appt_Type,N2
AppType,N2
ApSgstAcc,N3
ApSurAcc,N3
ApSurInAcc,N3
apt_booking_id,N2
apt_feature_1,N2
apt_feature_2,N2
apt_feature_3,N2
apt_id,N2
apt_number,N2
apt_type_code,N2
ApTcsInAcc,N3
ApTdsAcc,N3
ApTime,N2
APTISeries,N2
ApUserSign,N2
ApUtgstAcc,N3
ApyBsActPL,N3
ApyBsActPV,N3
ApyBsActSP,N3
ApyDRinAT,N3
ApyDRinPEC,N3
ApyIBtoACT,N3
ApyPRinAT,N3
ApyPRinPEC,N3
ApyToNewBP,N2
AqcsTax,N2
AqcsTaxFC,N3
AqcsTaxSC,N3
ARAbsEntry,N2
ArbolateSumKM,N2
ArcComp,N2
ArcEntry,N2
ArCesInAcc,N2
ArCessAcc,N2
ArCgstAcc,N3
ArchBal,N2
architect_id,N1
Archivable,N1
ArchivDate,N2
ArchJrnal,N2
ArchMethod,N2
ARCMAct,N3
ARCMEUAct,N3
ARCMExpAct,N3
ARCMFrnAct,N3
ARConDiffG,N2
ARConDiffL,N2
ArCsgstAcc,N3
ARDocDate,N2
ARDocMemo,N2
ARDocNumAb,N2
ARDocsInWT,N2
AREA,N1
area_code,N1
Area_km_2,N2
Area_size,N1
AreaAcres,N2
AreaID,N2
AreaSqKm,N2
AreaSqMeters,N2
AreaType,N1
ArePayMeth,N2
ARetSEFAZ,N3
ARExpAct,N2
ArgName,N2
ArgValue,N2
ArHscAcc,N3
ArHscInAcc,N3
ArIgstAcc,N3
ARINVAbs,N3
ARObjType,N2
Arrival,N1
arrival_date,N1
ARRMEDICAL,N2
ArSgstAcc,N3
ArsnalCode,N2
ArsnalName,N2
ArSurAcc,N2
ArSurInAcc,N2
ArTcsInAcc,N3
ArTdsAcc,N3
Artist,N1
Artist_ID,N1
artist_name,N1
ArtistId,N1
Artwork_ID,N1
ArUtgstAcc,N3
Ascending,N1
AsChild,N1
asessment_outcome_code,N1
Asian,N1
AsnBrnchBP,N2
Aspect,N1
Aspect_Var,N2
AssblValue,N2
Assessee,N1
assessment_date,N1
ASSESSMENT_METHOD,N1
AssessYear,N1
asset_acquired_date,N1
asset_details,N1
asset_disposed_date,N1
asset_id,N1
asset_make,N1
asset_model,N1
AssetAmnt1,N2
AssetAmnt2,N2
AssetClass,N1
AssetCode,N1
AssetDate,N1
AssetGroup,N1
AssetInDoc,N2
AssetItem,N1
AssetNum,N2
AssetRmk1,N2
AssetRmk2,N2
Assets_billion,N1
Assets_in_Billion,N1
AssetSerNo,N2
AssetType,N1
AsseType,N2
AssgnOBAAP,N3
AssignDate,N1
Assigned,N1
assigned_to_staff_id,N1
AssignedBy,N1
AssignedID,N1
Assignee,N1
AssigneeTy,N2
AssignName,N1
AssignTime,N1
AssignTo,N1
AssistingNurse,N1
AssngOBAAR,N3
Association_observed,N1
AsstStatus,N2
AssType,N2
AssVal4WTR,N3
AStatus,N2
AtcEntry,N2
AtchEntry,N2
AtDocType,N2
ATOMID01,N2
ATOMID02,N2
ATOMID03,N2
ATOMID04,N2
ATOMID05,N2
ATOMID06,N2
ATOMID07,N2
ATOMID08,N2
ATOMID09,N2
ATOMID10,N2
ATOMID11,N2
ATOMID12,N2
ATOMID13,N2
AToRetrNFe,N3
AttachChb,N2
AttachDAG,N2
AttachHTML,N2
Attachment,N1
AttachPath,N1
AttachPDF,N2
AttachXML,N2
attacking_work_rate,N1
attendance,N1
AttendEmpl,N2
AttendReci,N2
AttendUser,N1
AttmtNum,N2
AttNum,N2
Attorney_General,N1
Attr,N2
Attr10Abs,N3
Attr10Val,N3
Attr1Abs,N3
Attr1Val,N3
Attr2Abs,N3
Attr2Val,N3
Attr3Abs,N3
Attr3Val,N3
Attr4Abs,N3
Attr4Val,N3
Attr5Abs,N3
Attr5Val,N3
Attr6Abs,N3
Attr6Val,N3
Attr7Abs,N3
Attr7Val,N3
Attr8Abs,N3
Attr8Val,N3
Attr9Abs,N3
Attr9Val,N3
Attraction_Type_Code,N1
Attraction_Type_Description,N1
AttrGrp,N2
AttriAm48,N3
AttriAm49,N3
AttriAm50,N3
AttriAm51,N3
AttriAm52,N3
AttriAm53,N3
AttriAm54,N3
attribute_data_type,N1
attribute_id,N1
attribute_name,N1
attribute_value,N1
AttributeAccuracyreport,N1
Attributes,N1
AttributeT,N2
AttrID,N2
AttriDt43,N3
AttriDt44,N3
AttriDt45,N3
AttriDt46,N3
AttriDt47,N3
AttriInt33,N3
AttriInt34,N3
AttriInt35,N3
AttriInt36,N3
AttriInt37,N3
AttriInt38,N3
AttriInt39,N3
AttriInt40,N3
AttriInt41,N3
AttriInt42,N3
AttriPr55,N3
AttriPr56,N3
AttriPr57,N3
AttriPr58,N3
AttriPr59,N3
AttriQTY60,N3
AttriQTY61,N3
AttriQTY62,N3
AttriQTY63,N3
AttriQTY64,N3
AttriTxt1,N3
AttriTxt10,N3
AttriTxt11,N3
AttriTxt12,N3
AttriTxt13,N3
AttriTxt14,N3
AttriTxt15,N3
AttriTxt16,N3
AttriTxt17,N3
AttriTxt18,N3
AttriTxt19,N3
AttriTxt2,N3
AttriTxt20,N3
AttriTxt21,N3
AttriTxt22,N3
AttriTxt23,N3
AttriTxt24,N3
AttriTxt25,N3
AttriTxt26,N3
AttriTxt27,N3
AttriTxt28,N3
AttriTxt29,N3
AttriTxt3,N3
AttriTxt30,N3
AttriTxt31,N3
AttriTxt32,N3
AttriTxt4,N3
AttriTxt5,N3
AttriTxt6,N3
AttriTxt7,N3
AttriTxt8,N3
AttriTxt9,N3
AttrName,N2
AttrValue,N2
AuImpRates,N2
AUTH_TOKEN,N2
AuthCode,N1
AuthedCNPJ,N3
AuthFathrN,N2
AuthFName,N2
AUTHGRPCD,N2
AUTHGRPID,N2
AUTHGRPN,N2
authID,N2
AuthLName,N2
AuthName,N2
Author,N1
Author_email,N1
author_id,N1
Author_or_Editor,N1
Author_org,N2
Author_org_name,N2
Author_phone,N1
author_tutor_ATB,N2
authOrder,N1
authorId,N1
Authority,N1
authorName,N1
AuthPwd,N2
AuthRelat,N2
AuthrID,N2
AuthType,N1
AuthUpdDat,N2
AuthUpdTim,N2
AuthUser,N2
AutoAddPkg,N2
AutoAddUoM,N2
AutoAsnBPL,N2
AutoATP,N2
AutoBatch,N1
AutoCalBCG,N2
autoCreate,N1
AutoCrIns,N2
AutoCrtFlw,N2
AutoIssMtd,N2
AutoITW,N2
AutoKey,N1
AutomaticCrashNotification,N1
AutomaticCrashNotificationId,N1
AutoPedestrianAlertingSound,N1
AutoPedestrianAlertingSoundID,N1
AutoPost,N1
AutoRecvMd,N2
AutoResWhs,N2
AutoReverseSystem,N1
AutoReverseSystemId,N1
AutoRmk,N2
AutoStorno,N2
AutoTAAppr,N2
AutoUpdate,N1
AutoUpdt,N2
AutoVat,N2
AutoWT,N2
AVAIL,N2
available_yn,N2
Average,N1
Average_Attendance,N1
AvgPrice,N1
AvrageLate,N2
Award,N1
award_id,N1
Away_team,N1
AxleConfiguration,N1
AxleConfigurationId,N1
AxlesCount,N1
B1BuzzEb,N2
B1iTimeOut,N2
B1MobileAp,N2
B1SalesApp,N2
B1Server,N2
B1SgtEb,N3
B1SrvcApp,N3
B1Task,N2
B1Ver,N3
B1Version,N2
B1WFInstId,N3
BA_AP_From,N3
BA_AP_To,N3
BA_AR_From,N3
BA_AR_To,N3
BACKBPILL,N2
BACKLIGHT,N1
BackOrder,N1
BackOrdr,N2
BACKPICKUP,N1
BACKTRUNK,N1
Backup_prompt_exit,N1
Backup_prompt_startup,N1
BackupCamera,N1
BackupCameraID,N1
BackwardLabel,N1
BAFrom,N2
BAGDAMAGE,N1
BAGDAMSOURCE,N2
BAGDEPLOY,N1
BAGDVBES,N3
BAGDVENERGY,N2
BAGDVEST,N2
BAGDVLAT,N3
BAGDVLONG,N3
BAGDVRANK,N2
BAGDVSPEED,N2
BAGDVTOTAL,N2
BAGFLAPSDAM,N2
BAGFLAPSOPEN,N1
BAGLOCATION,N1
BAGMALFUNCTION,N1
BAGNO,N2
BAGSTATUS,N1
BAGTYPE,N1
Balance,N1
BalanceA,N2
BalanceAcc,N2
BalanceAct,N2
BalanceBef,N2
BalanceFC,N2
BalanceSys,N2
BalanRefF,N2
BalanTemp,N2
BalanUdfF,N3
BalaType,N2
BalCurr,N2
BalDirect,N2
BalDueCred,N2
BalDueDeb,N2
BalDueSC,N2
BalFcCred,N2
BalFcDeb,N2
balIndSet,N2
BalInvntAc,N2
ball_control,N1
ballots,N1
BalScCred,N2
BalScDeb,N2
BalTrnsfrd,N2
BanckAcct,N2
Bandmate,N1
BandmateId,N1
BankAcc,N2
BankAccou,N2
BankAcct,N2
bankAcount,N1
BankActKey,N1
bankBranch,N1
bankBranNo,N2
BankCode,N1
BankCollec,N2
BankCountr,N2
BankCtlKey,N2
BankDet,N2
BankDiscou,N2
BankFrom,N1
BankKey,N1
BankMatch,N1
BankName,N1
BankNum,N2
BankTo,N1
BankTransf,N2
BAOpAcctng,N2
baopp,N3
BAOpPDN,N3
BAOpPOR,N3
BarCode,N1
BarcodeNum,N2
BarcodeRep,N2
BareGround,N1
Base,N1
BASE_NUM,N2
BASE_REF,N2
BaseAbs,N2
BaseAbsEnt,N2
BaseAbsId,N2
BaseAmnt,N2
BaseAmntFC,N2
BaseAmntSC,N2
BaseAmt,N2
BaseApldFC,N2
BaseApldSC,N2
BaseAppld,N2
BaseArrTyp,N2
BaseAtCard,N1
BaseCard,N1
BaseChildN,N2
BaseCode,N1
BaseCurr,N2
BaseDate,N1
BaseDct,N2
BaseDctFc,N2
BaseDctSc,N2
BaseDecl,N2
BaseDisc,N2
BaseDiscFc,N2
BaseDiscPr,N2
BaseDiscSc,N2
BaseDLN,N2
BaseDocDat,N2
BaseDocEn,N2
BaseDocNum,N2
BaseDocObj,N2
BaseDocTyp,N2
BaseDue,N1
BaseEntry,N1
BaseEq,N2
BaseEqFc,N2
BaseEqSc,N2
BasEffDate,N2
BaseFld,N2
BaseGross,N1
BaseGrossF,N2
BaseGrossS,N2
BaseGroup,N1
BaseGrpNum,N2
BaseGrs,N2
BaseGrsFc,N3
BaseGrsSc,N3
BaseId,N1
BaseLine,N1
BaseLineId,N1
BaseLinNum,N2
BaseLnNum,N2
BaseLogEnt,N2
BaseMethod,N1
BaseMin,N2
BaseMinFc,N2
BaseMinSc,N2
BaseNet,N2
BaseNetFc,N2
BaseNetSc,N2
BaseNetSum,N2
BaseNum,N2
BaseObj,N2
BaseObjArr,N2
BaseObject,N2
BaseObjTyp,N2
BaseOn,N2
BaseOpnQty,N1
BasePaid,N1
BasePaidFC,N2
BasePaidSC,N2
BasePLNum,N2
BasePrice,N1
BaseQty,N2
BaseQtyDen,N2
BaseQtyNum,N2
BaseQUT,N2
BaseRate,N1
BaseRDN,N2
BaseRDR,N2
BaseRef,N2
BaseResINV,N2
BaseRmrk,N2
BaseRowNum,N2
BaseSeq,N2
BaseSum,N2
BaseSumFc,N2
BaseSumFrg,N2
BaseSumSc,N2
BaseSumSys,N2
BaseTotal,N1
BaseTrans,N2
BaseType,N1
BaseUnit,N1
BaseUom,N2
BaseVat,N2
BaseVatFc,N2
BaseVatSc,N2
BaseVatSum,N2
BaseVtAt,N2
BaseVtAtFC,N2
BaseVtAtSC,N2
BasNumAtCr,N2
BasRvsChrg,N2
BasRvsFc,N3
BasRvsSc,N3
BasTaxDate,N2
BatAttr1F,N2
BatAttr1T,N2
BatAttr2F,N2
BatAttr2T,N2
BatchFrom,N1
BatchNum,N1
BatchQt,N2
BatchSerPr,N2
BatchTo,N1
bathroom_count,N1
BATo,N3
bats,N1
BatteryA_from,N2
BatteryA_to,N2
BatteryCellsPerModule,N1
BatteryKWh_from,N2
BatteryKWh_to,N2
BatteryModulesPerPack,N1
BatteryPacksPerVehicle,N1
BatteryType,N1
BatteryTypeId,N1
BatteryV_from,N2
BatteryV_to,N2
bb,N3
bba,N3
BblWidth,N2
bbref_id,N2
BC,N3
BC_P_0,N3
BC_P_5,N3
BCACode,N2
BcdCode,N2
BcdEntDft,N3
BcdEntry,N2
BcdName,N2
BcgPcnt,N3
BcgPmnt,N3
BcgPmntFc,N3
BcgPmntSc,N3
BcgSum,N3
BcgSumFC,N3
BcgSumSy,N3
BcgTaxAmt,N2
BcgTaxSum,N2
BcgTaxSumF,N3
BcgTaxSumS,N3
BcgVatGrp,N3
BcgVatPcnt,N3
BcIcms,N3
BcIcmsSc,N3
BCodeDateV,N2
BCStandard,N2
Bdate,N2
BDEnabled,N2
BdgtAcctng,N2
BdgtDflt,N2
BdgtPDNDoc,N3
BdgtPORDoc,N3
BdgtPRQDOC,N3
BdgtScenar,N2
bedroom_count,N1
beds,N1
bedType,N1
BefAppl,N2
BeforeVat,N2
BeforVatFC,N3
BefScript,N2
BeginningDate,N1
BeginStr,N2
BeginTime,N1
Behavior,N1
Below_Permanent_Identifier,N1
BELTANCHOR,N1
BELTANCHORINSP,N2
BELTAVAIL,N2
BELTAVAILINSP,N2
BELTGUIDE,N1
BELTGUIDEINSP,N2
BELTLAPPOS,N2
BELTMALF,N2
BELTMALFUNCTIONINSP,N2
BELTPOSDEVPRES,N3
BELTPOSDEVPRESINSP,N2
BELTPOSDEVUSE,N3
BELTPRETENSIONINSP,N2
BELTRETYPE,N2
BELTROUT,N1
BELTSHLPOS,N3
BELTUSE,N1
BELTUSEINSP,N2
BELTUSESRC,N3
BenSampID,N2
Benthos_SampleArea_m2,N2
Benthos_SampleType,N1
BENTHOS_TotalAreaSampled_m2,N2
BenthosQAQCID,N2
Best_Finish,N1
best_of,N1
BeverGrpC,N2
BeverTblC,N2
BeverTM,N2
BExpVal,N2
BfDcntSum,N2
BfDcntSumF,N3
BfDcntSumS,N3
BfNetDcnt,N2
BfNetDcntF,N3
BfNetDcntS,N3
bfp,N3
BFParams,N2
BFRetry,N2
BFType,N2
BGBlue,N2
BgdCode,N2
BgdName,N2
BgdTotal,N2
BGEnabled,N2
BGGreen,N2
BGRed,N2
BgtBlock,N2
BgtClass,N2
BgtCleVAT,N3
BgtWarning,N2
BHeight1,N2
BHeight2,N2
BHght1Unit,N2
BHght2Unit,N2
bid,N1
Big_Game,N1
Big_Silver,N1
BIK,N3
bike_id,N1
bikes_available,N1
Bill,N1
BillableHr,N2
BillableTm,N2
BillAmount,N1
BillDate,N1
billing_address,N1
billing_city,N1
billing_country,N1
billing_postal_code,N1
billing_state,N1
BillingAddress,N1
BillingCity,N1
BillingCountry,N1
BillingPostalCode,N1
BillingState,N1
BillNo,N2
BillOfLad,N2
BillToDef,N2
BillToOW,N2
BillType,N1
BinAbs,N2
BinActivat,N2
BinActTyp,N2
BinAllocSe,N2
BinAttr10F,N3
BinAttr10T,N3
BinAttr1F,N3
BinAttr1To,N3
BinAttr2F,N3
BinAttr2To,N3
BinAttr3F,N3
BinAttr3To,N3
BinAttr4F,N3
BinAttr4To,N3
BinAttr5F,N3
BinAttr5To,N3
BinAttr6F,N3
BinAttr6To,N3
BinAttr7F,N3
BinAttr7To,N3
BinAttr8F,N3
BinAttr8To,N3
BinAttr9F,N3
BinAttr9To,N3
BinCode,N1
Bind,N1
BindField,N1
BinEntry,N1
BinLocFrom,N2
BinLocTo,N2
BinNegQty,N2
BinSbl1F,N3
BinSbl1To,N3
BinSbl2F,N3
BinSbl2To,N3
BinSbl3F,N3
