text,category,label
NNSBCUAMNT,N3,2
CPI13,N3,2
MODIF10,N3,2
other_product_details,N1,0
deffilter,N2,1
BOEABS,N3,2
ITM10,N3,2
ThinnerCode,N1,0
PurchOfsAc,N2,1
tpimemo,N3,2
C1,N3,2
cestrel,N3,2
OP_5,N3,2
VATAPPLDSY,N3,2
DpsVouch,N2,1
CPI27,N3,2
CPRFSHENBL,N3,2
pbed,N3,2
TxAmntInAd,N3,2
size_description,N1,0
DME,N3,2
WASQTY,N2,1
beginstr,N2,1
ige23,N3,2
products_in_events,N1,0
TaxOnExpFc,N2,1
gnis_id,N3,2
PRESTAB,N3,2
NewFormSrf,N2,1
LIKES,N1,0
DecAcc,N2,1
FROMDATE4,N1,0
OINS,N3,2
phone_brand_device_model2,N1,0
OBSINITS,N2,1
doctype,N2,1
Orchestra_ID,N1,0
day_to3,N1,0
OAT1,N3,2
ClearAct,N2,1
oprs,N3,2
ITMTO,N3,2
op_5,N3,2
docloccurr,N2,1
birth_state,N1,0
arc9,N3,2
ACCOUNTCHK,N2,1
RNDTOTDEC,N2,1
phase,N1,0
ITMORCRD,N3,2
area_code,N1,0
Param_5,N3,2
glblocnumb,N2,1
openamtlc,N2,1
truck,N1,0
G_DEFENSE,N2,1
works,N1,0
LinkAct_17,N2,1
hse_feature_1,N2,1
rdn20,N3,2
CashDifBal,N2,1
nhdpointc_shape_index,N2,1
SpltPmtVAT,N3,2
FREXPENSAC,N3,2
AutoKey,N1,0
UPDATED_DATE,N1,0
DOCTRANSID,N2,1
ogfl,N3,2
BaseAppld,N2,1
keyseg7,N3,2
series_post,N1,0
BENTHOS_TotalAreaSampled_m2,N2,1
OICC,N3,2
GLAZTYPE,N2,1
ITM5,N3,2
UDFTABLE4,N3,2
CASES,N1,0
status_date,N1,0
chanceCreationPassingClass,N1,0
adpa,N3,2
number_cities,N1,0
OBPP,N3,2
NHDLINEC_SHAPE_INDEX,N2,1
streetnoh,N2,1
citation_num,N1,0
numevnts,N2,1
unit_name,N1,0
according,N1,0
MSN1,N3,2
cpfdlvryp,N3,2
connector,N1,0
tpsid,N3,2
cin15,N3,2
CgsOcrCod,N3,2
REPTMETHOD,N2,1
attr9abs,N3,2
INCLUDE,N1,0
DATE_OF_LATEST_REVISION,N1,0
cnclmaxday,N2,1
EngineElectrificationLevel,N1,0
verfvatact,N3,2
CROSSWALK_NOTES,N1,0
DlvrNotes,N2,1
rpc15,N3,2
TrsAdjtNum,N2,1
ipcconf1,N3,2
MENUPATH,N1,0
indescala,N3,2
CtActTax,N2,1
OBJECTC21,N3,2
DELTAACCT,N2,1
TrnsfrAct,N2,1
PaidFC,N3,2
alctestresult,N2,1
ITEMTAXCAT,N2,1
MTH2V,N3,2
start_min,N2,1
ONINVNT,N2,1
SUMMAYFLD,N2,1
TanypodPctScP,N3,2
CPI3,N3,2
INSUROP347,N3,2
method,N1,0
CIN24,N3,2
stkintnact,N3,2
CABASSUM,N2,1
MALE,N1,0
subscription_type,N1,0
InstDesc,N2,1
crd12,N3,2
SubLineNum,N1,0
Ref_Calendar,N1,0
BOEDISCNT,N2,1
OFBT,N3,2
REMIND,N1,0
ICTCARD,N2,1
INTMAG,N3,2
PAYBNKBISR,N3,2
TaxComId,N2,1
POR28,N3,2
Fax,N1,0
RoundRule,N1,0
COMMONNAME,N1,0
BUISNESDSC,N2,1
JOURNALIST_ID,N1,0
FrgnPhone1,N2,1
GRANTS,N1,0
GAWRFRONT,N3,2
mailaddrty,N2,1
Intrastat,N2,1
BTWDECPROV,N2,1
ITMSTYPCOD,N2,1
PYMGLACCT,N3,2
lstbydssum,N2,1
damagerr,N2,1
BATTERYPACKSPERVEHICLE,N1,0
HASWATERNRSA,N2,1
OBSERVATION_ID,N1,0
NEGATIVE,N1,0
SORT2UP,N1,0
CPYBOMATC,N3,2
CURRCOST,N2,1
skintype,N1,0
FldAbs,N2,1
Message,N1,0
useprodwip,N3,2
FCEPmnMean,N3,2
circuitId,N1,0
fixed_by,N1,0
pymglacct,N3,2
RpcName,N2,1
BsPstDate,N2,1
OBNH,N3,2
wbdhu12,N3,2
durtype,N2,1
hiredate,N1,0
APUSERSIGN,N2,1
effecthr,N2,1
CredVend,N2,1
RDN10,N3,2
VPM8,N3,2
Undergoes,N1,0
SequenceNo,N1,0
equvatper,N3,2
PayDate,N1,0
AccOpAmAR,N3,2
JEREF,N3,2
hospgcstime,N3,2
FROM_PERMANENT_IDENTIFIER,N1,0
SCHOOL_COLORS,N1,0
SERIE4CB,N2,1
PURCHASEORDERDETAIL,N1,0
IGN2,N3,2
basenum,N2,1
MINBASEDOC,N2,1
course_id,N1,0
SEATROWSCOUNT,N1,0
MANRMKTYPE,N2,1
keyfld_5,N3,2
period,N1,0
HIGHLOW,N1,0
JKWGT27,N3,2
prevactvty,N2,1
TEMPLATES,N1,0
ExRateDate,N2,1
family_name,N1,0
ReconNum,N2,1
TO_FC,N3,2
PhoneGIP,N2,1
HEIGHT1,N1,0
OSVT,N3,2
ACTIVATE,N1,0
Registered,N1,0
OJST,N3,2
gridid,N2,1
filterexe,N2,1
allowences,N1,0
nnsbcuamnt,N3,2
WFINSTID,N2,1
vrw1,N3,2
invmapenty,N2,1
logentry,N1,0
BPBILLCODE,N2,1
UpdateBy,N1,0
MONEND,N2,1
appid,N2,1
DAYTIMERUNNINGLIGHT,N1,0
curmonamnt,N2,1
OSCS,N3,2
VariancAct,N2,1
charset,N2,1
VOLLEYS,N1,0
RCPTLINEID,N2,1
summary_benthosoe_events,N2,1
TLU_SPECIES_CRLA,N2,1
CANCELABS,N2,1
TransName,N2,1
DpsitPrcnt,N2,1
CDIC,N3,2
PkgCodeDft,N2,1
ChkRefBP,N2,1
COMBINEDSHUTOUTS,N1,0
clnzeropln,N3,2
t_refdate,N2,1
WTSumSC,N3,2
BACKUPCAMERAID,N1,0
vision,N1,0
isorigmeth,N2,1
MerchantID,N1,0
TTLOPNINFC,N3,2
random_selected,N1,0
crc,N3,2
obj_classes,N2,1
ADDITNUM,N2,1
frozencomm,N2,1
length,N1,0
PRIACCCODE,N2,1
tblParkStatus_LU,N2,1
product_characteristics,N1,0
RATEBASE,N1,0
CONVERTED,N1,0
SEQUENCEID,N1,0
CheckOut,N1,0
TAAS,N3,2
ItemGrp,N2,1
injury,N1,0
RESIDENCYDETAILS,N1,0
checkact,N1,0
RA,N3,2
PYMREASON,N2,1
WTNAME,N2,1
VPICBODYCLASS,N3,2
grsfc,N3,2
booked_amount,N1,0
ResKey,N2,1
FrgnExpAcc,N3,2
convertto,N1,0
WTCODE,N2,1
RlsDate,N2,1
loan,N1,0
LevelPathID,N1,0
hospgcsverb,N3,2
USRN,N3,2
JOB,N1,0
PARTIES,N1,0
EquVatSum,N2,1
prr13,N3,2
height,N1,0
CUMF,N3,2
ICFINALBODY,N2,1
DORM_NAME,N1,0
mdc2,N3,2
AmntLC,N3,2
playlistid,N1,0
pqt15,N3,2
GEO_SOURCE,N2,1
trseqoinm,N3,2
finalsum,N1,0
prodname,N2,1
MARKING,N1,0
cntctname,N2,1
FINISHTIME,N1,0
TOTALDED,N2,1
CARDVALID,N1,0
UserChaVat,N2,1
rounddiffc,N2,1
BLENGTH2,N2,1
WDueDtTo,N2,1
eccno,N3,2
WLS4,N3,2
DEBRSTOTAL,N2,1
RIT1,N3,2
info2file,N1,0
BINDFIELD,N1,0
international_passengers,N1,0
EMPLOYEEPAYHISTORY,N1,0
UseCode,N1,0
RDN8,N3,2
ESTREET,N1,0
PARAM_7,N3,2
PRIORITYID,N1,0
excrefdate,N2,1
dpi28,N3,2
handledby,N1,0
booked_count,N1,0
authgrpn,N2,1
pymcode,N2,1
balIndSet,N2,1
REFUNDACCT,N2,1
InvDiff,N2,1
DatasetInfo2,N1,0
PEOPLE_ADDRESSES,N1,0
StdCost2,N2,1
NHDWaterbodyC_Shape_Index,N2,1
EMSCARE,N2,1
DATE_CLAIM_MADE,N1,0
BALANCEACC,N2,1
DSPBUOM,N3,2
useimport,N1,0
OBAL,N3,2
program_id,N1,0
DaysFwrd,N2,1
defaults,N1,0
SAMPLE_STATION_NAME,N1,0
Snatch,N1,0
DescStr,N2,1
cogsambycc,N3,2
ACTIONT,N2,1
INSTOTALSY,N2,1
PayNoBased,N2,1
other_order_item_details,N1,0
PymCode,N2,1
year_join,N1,0
STATEPROVINCE,N1,0
ain5,N3,2
BcgSumSy,N3,2
floor_exercise_points,N1,0
MOVE_IN_YEAR,N1,0
CHKWRDONLY,N2,1
FINEACCT,N2,1
IGN22,N3,2
pertransou,N2,1
infocode,N1,0
chkpaper,N2,1
pymntgroup,N2,1
CUSTOFFC,N2,1
clnpdate,N3,2
Wdth2Unit,N2,1
apt_type_code,N2,1
SLEN1UNIT,N2,1
seq,N2,1
CONTESTANTS,N1,0
nondedct,N2,1
postoffbnk,N2,1
cin17,N3,2
RIN3,N3,2
BA_AP_From,N3,2
STUDENT_ENROLMENT_ID,N1,0
oboe,N3,2
repfname,N2,1
date_left,N1,0
paiddpmf,N3,2
FACTOR3,N1,0
READ,N1,0
POSCashN,N2,1
OBDC,N3,2
BMARGIN,N2,1
sillheight,N1,0
PRESCRIBES,N1,0
OBCD,N3,2
PARENT_IMP_DESC,N2,1
DOCK_COUNT,N1,0
draft_copies,N1,0
buytax,N1,0
ArcEntry,N2,1
haswateretc,N2,1
OARG,N3,2
STEERINGLOCATIONID,N1,0
ALTERNATE_NAME,N1,0
cpi10,N3,2
OPLN,N3,2
ADDRESS,N1,0
ACC EM Chronic Absenteeism,N2,1
NUMBER KILLED,N1,0
SpDprKey1,N3,2
role,N1,0
freetxt4,N2,1
ISEXLDOCAM,N3,2
vboepayble,N3,2
VatGroupPu,N2,1
charge_id,N1,0
OCNA,N3,2
IMGLG,N3,2
STRID06,N3,2
created,N1,0
ALIAS,N1,0
ECM3,N3,2
DIRECTDPR,N2,1
ICS_TYPE,N2,1
LGL1,N3,2
fld_feature_2,N2,1
bisbnkacky,N3,2
editblectl,N2,1
attriqty62,N3,2
gstrelevt,N3,2
hero_attribute,N1,0
SHOWNEWMSG,N1,0
BaseAmntSC,N2,1
include,N1,0
DPAPPLEQFC,N3,2
avt1,N3,2
VENDOR_REQUESTED_PRICE,N1,0
DAMOTHPILLAR,N3,2
owner,N1,0
ValidateBa,N2,1
ZTolerance,N2,1
MGR_START_DATE,N2,1
StkOffsAct,N3,2
FreeChrgFC,N2,1
refobjkey1,N2,1
DPOSTORNAM,N2,1
UtgstBAmtS,N3,2
RDR4,N3,2
spmaxamnt,N2,1
StockRvAct,N2,1
Scores,N1,0
tovalue,N1,0
EnActDura,N2,1
MIDGEPCT,N3,2
UNITCODE1,N1,0
AIN5,N3,2
cond4,N2,1
otherinam,N2,1
BASEEQFC,N2,1
itmblncfrc,N3,2
igstrate,N3,2
ualkeepday,N2,1
SHOW_ID,N1,0
LSTHNDLMSG,N2,1
HBISCM,N3,2
PAYMENT_METHOD_CODE,N1,0
cogsocrco2,N3,2
OWTT,N3,2
formatname,N1,0
gp,N3,2
ACCPHBUDG,N3,2
ExeLine,N2,1
DATE_CLAIM_SETTLED,N1,0
QWZ2,N3,2
Ref2Date,N2,1
LOGINSTANE,N2,1
CRASHMONTH,N1,0
DOCAMOUNT,N2,1
customer_contact_channels,N1,0
crdmthd,N2,1
ActWorkCod,N2,1
position,N1,0
STGENTRY,N2,1
PODOCNUM,N2,1
cpi12,N3,2
RecvUpTo,N2,1
CRITEVENT,N2,1
statproc,N2,1
FACTNOCUST,N2,1
Soil_Dist,N2,1
TopID,N1,0
totalout,N2,1
maxrejreqr,N2,1
MInvDate,N2,1
state,N1,0
REPORTS_TO,N1,0
OEI25,N3,2
CURMONAMNT,N2,1
IPD2,N3,2
LEN1UNIT,N2,1
ELGOODSFMT,N2,1
tridprod,N2,1
CRDRSTOTAL,N2,1
AREA,N1,0
prq26,N3,2
WEIGHT2,N1,0
AirPlane,N1,0
POR8,N3,2
apytonewbp,N2,1
CLASS,N1,0
PAIDEQFC,N3,2
START_STATION_NAME,N1,0
review_date,N1,0
Attorney_General,N1,0
PymNumTo,N2,1
EditSize,N1,0
jobhanconf,N2,1
ITEMSMMRY,N2,1
emsgcs,N3,2
INVDOCDATE,N2,1
HIERCHDDCT,N3,2
INTEGRITY,N1,0
PYMDATE,N2,1
NODEDSUM,N2,1
stock,N1,0
objectc9,N3,2
acctdesc,N2,1
ratingdate,N1,0
pch1,N3,2
IEI5,N3,2
ISCREDIT,N1,0
EXPOPTYPE,N3,2
PACKENTRY,N1,0
altitem,N2,1
observer_lu,N2,1
EXPORTDATE,N1,0
endfliban,N3,2
QRCorrLvl,N2,1
ratetotal,N1,0
month4,N1,0
pages,N1,0
TrigParams,N2,1
param_1,N3,2
EMPLOYERRF,N2,1
SUMMTHCURR,N2,1
VIEW_UNIT_STATUS,N1,0
PAIDDCTSC,N3,2
dateto,N1,0
votes,N1,0
ActualDur,N2,1
EXPDPQUOTA,N3,2
Service_Type_Description,N1,0
contact_notes,N1,0
TMP_JE,N3,2
CogsAmByCC,N3,2
dpi4,N3,2
plannedqty,N1,0
WBDHU12_SHAPE_INDEX,N2,1
usgtaxcorr,N3,2
descow,N3,2
QLASTDATE,N2,1
updttime,N2,1
FormFinSt,N2,1
ochd,N3,2
lstbydssc,N3,2
lotnumber,N1,0
FUEL_PROPULSION,N1,0
OPENTG,N2,1
cif1,N3,2
ToDate3,N2,1
ExtDocNum,N2,1
SERVICE_DETAILS,N1,0
IndProc,N2,1
RESGRPNAM,N2,1
iweight2,N2,1
GenRegNo,N2,1
SizeOfSeg2,N2,1
ATTRIBUTET,N2,1
genregno,N2,1
BOXTYPE,N1,0
refentry1,N2,1
NumRepArs,N2,1
SORTFIELD3,N1,0
InternlKey,N2,1
BUILDUPPLAYSPEEDCLASS,N1,0
ocup,N3,2
TRANSID,N2,1
TractionControlId,N1,0
StockOffst,N2,1
CONFIRMED4,N1,0
EfctDate,N2,1
CompCity,N2,1
IGE21,N3,2
IsUnique,N1,0
truck_id,N1,0
romn_otu_id_previous,N3,2
ExpandedSO,N2,1
REVRESVCLR,N2,1
TBLNHDAREA_ORW,N3,2
PLABalance,N2,1
nextdate,N1,0
semester_id,N1,0
OnHandQty,N2,1
ParentCode,N1,0
date_of_notes,N1,0
edrsumm,N2,1
OTPL,N3,2
poscode347,N2,1
vatwodpm,N3,2
codeshare,N1,0
acr11,N3,2
ldisctotal,N2,1
transfdoc,N2,1
POR9,N3,2
BinAttr7To,N3,2
PaymDraf,N2,1
CUSTOMNAME,N1,0
TIMEFROM,N1,0
DOCROUND,N2,1
trafdev,N3,2
KpiValue12,N3,2
legacydata,N1,0
DPI12,N3,2
roller_coaster,N1,0
POSEQUIPNO,N2,1
fault_log_entry_datetime,N1,0
OTTR,N3,2
ViewStyle,N1,0
ROYAL_FAMILY_ID,N1,0
VatExmpt_O,N3,2
BALTRNSFRD,N2,1
ADO8,N3,2
ENTREPRENEUR_ID,N1,0
IsSMS,N3,2
Lat_final,N2,1
DpmPosted,N3,2
TITLE,N1,0
omdp,N3,2
ACTSEGNUM,N2,1
@,N3,2
AMD1,N3,2
CSI10,N3,2
composer,N1,0
jkwgt9,N3,2
SMTPENCODE,N2,1
ADNF,N3,2
Pres_Num,N2,1
Plays_Games,N1,0
ET_303D,N3,2
LayerOutQ,N2,1
fgblue,N3,2
consolidat,N2,1
KpiValue4,N3,2
IsReconcld,N2,1
middlename,N1,0
shop,N1,0
taxamount,N1,0
PAYBNKIBAN,N3,2
DEPT_STORE_CHAIN_ID,N2,1
rsc1,N3,2
destline,N2,1
STUDIO,N1,0
homeCity,N1,0
DATE_FIRST_REGISTERED,N1,0
StartLon,N2,1
legalities,N1,0
EXCBASAMNT,N2,1
HWY Mile Marker,N2,1
prereq_id,N1,0
WBDHU4,N3,2
resrevenue,N2,1
TOTALEXPSC,N2,1
hideval,N2,1
accountability levels,N1,0
rolee,N1,0
trnscode,N2,1
RFNDAMNTFC,N3,2
incident_type_code,N1,0
origtype,N2,1
RIN15,N3,2
customer_policies,N1,0
negtax,N2,1
wtcurrency,N2,1
TOSYSDATE,N2,1
street_markets,N1,0
TRAIL,N1,0
ItemSpec,N2,1
airport,N1,0
Teachers,N1,0
WBDHU12_Shape_Index,N2,1
otpl,N3,2
Est_H_Error,N3,2
por4,N3,2
enblexrenh,N3,2
INSTITUTION_ID,N1,0
AssigneeTy,N2,1
ISVATREGEX,N3,2
HABITAT,N1,0
GrossSc,N2,1
event_attendance,N1,0
ASSET_DISPOSED_DATE,N1,0
Aircraft,N1,0
price_in_dollar,N1,0
OcrCode4,N3,2
bandmateid,N1,0
LASTSSRDAT,N3,2
AccNotes,N2,1
SONNAME,N2,1
contestants,N1,0
qwz2,N3,2
LEN2UNIT,N2,1
cpv20,N3,2
RIN14,N3,2
CredLTotal,N2,1
FREE,N1,0
PARTICIPATES_IN,N1,0
GNIS_Name,N2,1
AUTOCREATE,N1,0
INVNTSYSTM,N2,1
IgstRate,N3,2
TPW4,N3,2
ATSH,N3,2
rndtotdec,N2,1
SubObjNam3,N2,1
IHSAA_Class,N3,2
isigstact,N3,2
DVANGTHIS,N3,2
wine,N1,0
smtpname,N2,1
VATRESCODE,N2,1
DRGINV,N3,2
Board #,N1,0
FORENAME,N1,0
EnblStAgRp,N3,2
paval,N3,2
LICSRVR,N2,1
Doc5Type,N2,1
customers,N1,0
ISLAND,N1,0
reports_to,N1,0
ActDurType,N2,1
CRDC,N3,2
cardpyname,N2,1
BODY_BUILDER,N1,0
biodatashortname,N1,0
LFOCCSIZE,N3,2
GoaliesShootout,N1,0
CLEARED,N1,0
BSValuDate,N2,1
ProductVendor,N1,0
FACTOR3,N1,0
BPLName,N3,2
Instrument,N1,0
OAOB,N3,2
ISDfNTEx,N3,2
EVENTNAMEOLD,N1,0
PriceSour,N1,0
authfname,N2,1
ige3,N3,2
sf,N3,2
qualifier,N1,0
EnblActTtl,N3,2
STUDENT_COURSE_ID,N1,0
GRSSPROFSC,N3,2
tcd3,N3,2
archbal,N2,1
TXBLCURR,N2,1
CITIZENSHP,N2,1
dorm_name,N1,0
Subjects,N1,0
max_dew_point_f,N2,1
fdebamnt1,N3,2
headofstate,N1,0
MODIF04,N3,2
VIEWSYN,N2,1
acsdsbldbp,N3,2
OWTR,N3,2
brakesystemdesc,N2,1
invtqty,N2,1
sortfield,N1,0
CHARSET,N2,1
applvat,N2,1
feeprofit4,N1,0
WheelSizeFrontIN,N2,1
TANWARDNO,N2,1
fldvalue,N2,1
EDOCPMNFMT,N3,2
TRIBREGCOD,N2,1
schools,N1,0
LineNum,N2,1
CSV1,N3,2
BcgPmnt,N3,2
soi5,N3,2
pmx1,N3,2
PYMAMNT,N2,1
wfileform2,N2,1
CAPFACTOR2,N2,1
payment_method_description,N1,0
ErrorCode,N1,0
INFOA2,N2,1
OTHER_PROPERTY_DETAILS,N1,0
Group1,N1,0
expnstype,N2,1
ChkLontitu,N2,1
defertaxin,N2,1
Accountability Levels,N1,0
ACC_ROAD,N2,1
EnblExpns,N3,2
ISExlDocAm,N3,2
SerCode,N2,1
map2,N1,0
DnLevelPathID,N2,1
UPDTDATE,N2,1
census_ranking,N1,0
CUSTIDNUM,N2,1
isaqcuistn,N2,1
RECVUPTO,N2,1
ADDRTYPE,N2,1
PeriodID,N1,0
OBVL,N3,2
RefObjType,N2,1
stkoffsact,N3,2
doccurr,N2,1
ics,N3,2
PrdDate,N2,1
SAVINGS,N1,0
AccStIden,N2,1
ENVTYPENFE,N2,1
hero_power,N1,0
TPS1,N3,2
AnalysRpt,N2,1
StreetF,N2,1
SIZEOFSEG6,N2,1
ENUPDBPADR,N3,2
userclassid,N2,1
vatAppldSy,N3,2
OthIncAcct,N2,1
MODIF07,N3,2
VRW2,N3,2
ATTRIQTY61,N3,2
MaxDays4DD,N2,1
Subst,N2,1
bid,N1,0
Lab_ID_Previous,N1,0
school_colors,N1,0
TRACKINTLN,N2,1
META_MID,N3,2
DocText,N2,1
mtolerance,N2,1
ENBINITIQI,N3,2
acctno,N2,1
acest,N3,2
loadpath1_alt,N1,0
Rpd,N3,2
RESIDSTATE,N2,1
amountsc,N2,1
Form1099,N1,0
WBDLine,N2,1
ConFldID,N2,1
txblamnt,N2,1
visinform,N2,1
bc,N3,2
individual_last_name,N1,0
PONumber,N2,1
grossvehicleweightratingfrom,N1,0
FONTNAME,N1,0
taxabsentr,N2,1
homeZip,N1,0
AEXD,N3,2
resultmemo,N1,0
ORDERS,N1,0
SortField3,N1,0
NHDREACHCODEMAINTENANCE,N2,1
BalDueDeb,N2,1
AMNTSONHLD,N2,1
ODWFreq,N3,2
ARetSEFAZ,N3,2
CITY_AREA,N1,0
NCP2,N3,2
date_contact_to,N1,0
Spec,N2,1
SRCLOCCODE,N2,1
competition,N1,0
ToFRNAmnt,N3,2
WBDHU8_SHAPE_INDEX,N2,1
MAXDVLONG,N2,1
ALLTOTALFC,N2,1
FREE84,N1,0
TBL_STATIONS_UPDATES,N2,1
DATE_ASSIGNED_TO,N1,0
tlu_Species,N2,1
ADDQUANTIT,N2,1
ROUTE,N1,0
ICD1,N3,2
Collection_Notes,N1,0
TRIM,N1,0
FRC1,N3,2
citedpaperid,N1,0
vertebrates,N1,0
TEAM_ID,N1,0
OTSP,N3,2
IPC_2ND,N3,2
incCustom,N2,1
goaliesshootout,N1,0
TOTALFEE,N1,0
ENBREPOMO,N3,2
death_day,N1,0
STORE_PHONE,N1,0
customers_cards,N1,0
MIVZEXPSTS,N3,2
CHARACTERISTIC_ID,N1,0
CURDEBIT,N2,1
LINEITEM,N1,0
COMPNYGUID,N2,1
rcr2,N3,2
MLTPBRNCHS,N2,1
housbnkcry,N2,1
WTBlocked,N2,1
BOX1099,N1,0
Reservations,N1,0
~TMPCLP650861,N3,2
FAMILY,N1,0
overstory_id,N1,0
PJT2,N3,2
DLLNAME,N2,1
oreq,N3,2
UDQPH,N3,2
NONINSPCT,N3,2
FINEAMNT,N2,1
Cond1,N2,1
