native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
AccPoPhAmt,column,SBODemoUS,N3,accumulated_potential_subproject_amount,accum_pot_subproj_amt,AccPoPhAmt
Accepted,column,SBODemoUS,N1,Accepted,Accptd,Accptd
Account,column,SBODemoUS,N1,Account,Acct,Acct
AccountChk,column,SBODemoUS,N2,account_check_digit,AccountChk,AcctChk
AcctDtn,column,SBODemoUS,N3,account_determination,acct_det,AcctDtn
AcctFltr,column,SBODemoUS,N3,account_filter_enabled,acct_filter_enabled,AcctFltr
AccTotAP,column,SBODemoUS,N3,accumulated_total_ap,accum_total_ap,AccTotAP
AccTotAR,column,SBODemoUS,N3,accumulated_total_ar,accum_tot_ar,AccTotAR
AcctStrLe,column,SBODemoUS,N3,account_structure_level,acct_strct_lvl,AcctStrLe
AccTVarAP,column,SBODemoUS,N3,accumulated_total_variance_ap,accum_total_var_ap,AccTVarAP
AccTVarAR,column,SBODemoUS,N3,accumulated_total_variance_ar,accum_total_var_ar,AccTVarAR
AccumDbCr,column,SBODemoUS,N3,accumulated_debit_credit,accum_deb_cred,AccumDbCr
AccVPercAP,column,SBODemoUS,N3,accumulated_variance_percentage_ap,accum_var_pct_ap,AccVPercAP
AccVPercAR,column,SBODemoUS,N3,accumulated_variance_percentage_ar,accum_var_pct_ar,AccVPercAR
ARConDiffG,column,SBODemoUS,N2,accounts_receivable_realized_conversion_diff_gain,ARConDiffG,ACDG
ARConDiffL,column,SBODemoUS,N2,accounts_receivable_realized_conversion_diff_loss,ARConDiffL,ACDL
ACEM,table,SBODemoUS,N3,cost_element_table_history,Cst_Elm_Tbl_hist,ACEM
AutoCrtFlw,column,SBODemoUS,N2,auto_create_followup_document,AutoCrtFlw,ACF
AltCrdName,column,SBODemoUS,N2,alternative_business_partner_name,AltCrdName,ACN
AltCrdNamB,column,SBODemoUS,N2,alternative_business_partner_name_B,AltCrdNamB,ACNB
AccntntCod,column,SBODemoUS,N2,external_code,AccntntCod,ACod
ACPR,table,SBODemoUS,N3,contact_persons_history,cntct_prsn_hist,ACPR
ACQ1,table,SBODemoUS,N3,capitalization_rows,cap_rows,ACQ1
ACQ2,table,SBODemoUS,N3,capitalization_area_journal_transactions,cap_area_jrn_trans,ACQ2
ACQ3,table,SBODemoUS,N3,capitalization_item_areas,cap_item_areas,ACQ3
AcqPRTyp,column,SBODemoUS,N3,type_of_prt_acquisition,Typ_of_Prt_Acq,AcqPRTyp
ACTR,table,SBODemoUS,N2,service_contracts,svc_cntrcts,ACR
ACR1,table,SBODemoUS,N3,business_partner_addresses_history,bp_addr_hist,ACR1
ACR2,table,SBODemoUS,N3,business_partners_payment_methods_history,bus_part_pay_mth_hist,ACR2
ACRB,table,SBODemoUS,N3,business_partner_bank_accounts_history,bp_bnk_accnts_hist,ACRB
ACRD,table,SBODemoUS,N3,business_partners_history,bus_part_hist,ACRD
AccCritria,column,SBODemoUS,N2,accrued_criteria,AccCritria,ACrtr
AccrualTyp,column,SBODemoUS,N2,accrual_type,AccrualTyp,AcrTyp
ACS1,table,SBODemoUS,N3,asset_classes_depreciation_areas,Asst_Cls_Dep_Areas,ACS1
AcsDsbldBP,column,SBODemoUS,N3,access_disabled_business_partner,acc_dis_biz_partner,AcsDsbldBP
Action,column,SBODemoUS,N1,Action,Actn,Act
Active,column,SBODemoUS,N1,Active,Actv,Actv
ACT1,table,SBODemoUS,N3,service_contract_items_ACT,svc_cntrct_items_ACT,ACT1
ACT2,table,SBODemoUS,N3,service_contract_recurring_transactions_ACT,svc_cntrct_rcrrng_trans,ACT2
Activated,column,SBODemoUS,N1,Activated,Actvtd,Actvtd
AcqDate,column,SBODemoUS,N2,acquisition_date,AcqDate,Aqdt
AssignDate,column,SBODemoUS,N1,AssignDate,AsnDate,AsDt
AssetDate,column,SBODemoUS,N1,AssetDate,AstDt,AsstDt
Address3,column,SBODemoUS,N2,address_name_3,Address3,Ad3
Address3B,column,SBODemoUS,N2,address_name_3B,Address3B,Ad3B
Address3S,column,SBODemoUS,N2,address_name_3S,Address3S,Ad3S
ApDocAdRef,column,SBODemoUS,N2,appr_doc_additional_reference,ApDocAdRef,ADA
ActDelDate,column,SBODemoUS,N2,actual_delivery_date,ActDelDate,ADD
Addition,column,SBODemoUS,N1,Addition,Addtn,Addn
AddQuantit,column,SBODemoUS,N2,additional_quantity,AddQuantit,AddQty
Address,column,SBODemoUS,N1,Address,Addr,Addr
APDocDtTo,column,SBODemoUS,N2,ap_document_date_to,APDocDtTo,ADDT
AddressFr,column,SBODemoUS,N2,address_foreign,AddressFr,AdFr
ADMC,table,SBODemoUS,N3,general_ledger_account_determination_criteria_inventory_history,gl_acc_det_crit_inv_hist,ADMC
AppDocNum,column,SBODemoUS,N2,applied_document_number,AppDocNum,ADN
ADO1,table,SBODemoUS,N3,ar_invoice_rows_history,ar_inv_rows_hist,ADO1
ADO12,table,SBODemoUS,N3,ar_invoice_tax_extension_history,ar_inv_tax_ext_hist,ADO12
ADO4,table,SBODemoUS,N3,documents_tax_history,doc_tax_hist,ADO4
ADO6,table,SBODemoUS,N3,documents_history_installments,docs_hist_instlmts,ADO6
ADOC,table,SBODemoUS,N3,invoice_history,inv_hist,ADOC
ApDocEntry,column,SBODemoUS,N2,approved_document_key,ApDocEntry,ADocEnt
ApDocOrdNo,column,SBODemoUS,N2,appr_doc_ordinal_number,ApDocOrdNo,ADON
ActDurType,column,SBODemoUS,N2,actual_duration_uom,ActDurType,ActDT
ApDocType,column,SBODemoUS,N2,approved_document_type,ApDocType,ApDT
AtDocType,column,SBODemoUS,N2,at_document_type,AtDocType,AtDT
ADT1,table,SBODemoUS,N3,depreciation_types_rows_history,deprctn_typs_rows_hist,ADT1
ADTP,table,SBODemoUS,N3,fixed_assets_depreciation_types_history,fxd_ast_dep_types_hist,ADTP
ActualDur,column,SBODemoUS,N2,actual_duration,ActualDur,ADur
Advance,column,SBODemoUS,N1,Advance,Advnc,Adv
AbsEntry,column,SBODemoUS,N2,id_internal_number,AbsEntry,AbsE
AllocatEnt,column,SBODemoUS,N2,allocate_document_entry,AllocatEnt,AllE
ApplyEntry,column,SBODemoUS,N1,ApplyEntry,ApplEntry,ApplE
AtcEntry,column,SBODemoUS,N2,attachmentEntry,AtcEntry,AtcE
AtchEntry,column,SBODemoUS,N2,attachment_entry,AtchEntry,AtchE
AttendEmpl,column,SBODemoUS,N2,dealt_by_employee,AttendEmpl,AttnE
AddExpLC,column,SBODemoUS,N2,additional_expenses_lc,AddExpLC,AELC
AExcBasSum,column,SBODemoUS,N3,ad_valorem_excise_base_amount,ad_vlrms_exc_base_amt,AExcBasSum
AlloweFrom,column,SBODemoUS,N1,AlloweFrom,AlwdFrom,AF
ActFrmtCod,column,SBODemoUS,N2,account_format_code,ActFrmtCod,ActFC
AppliedFC,column,SBODemoUS,N2,paid_in_functional_currency,AppliedFC,AplFC
Affiliate,column,SBODemoUS,N1,Affiliate,Affl,Affl
AFPR,table,SBODemoUS,N3,posting_period_log,pstng_prd_log,AFPR
AlgnFooter,column,SBODemoUS,N2,align_footer_to_bottom,AlgnFooter,AFtr
AssetGroup,column,SBODemoUS,N1,AssetGroup,AsstGrp,AsstG
AG,column,SBODemoUS,N3,contacts_employer,ctct_emplr,AG
AUTHGRPCD,column,SBODemoUS,N2,authorized_group_code,AUTHGRPCD,AGC
AGCurrency,column,SBODemoUS,N2,employer_currency,AGCurrency,AGCur
AUTHGRPID,column,SBODemoUS,N2,query_authorization_group_id,AUTHGRPID,AGID
AUTHGRPN,column,SBODemoUS,N2,authorized_group_description,AUTHGRPN,AGN
Agent,column,SBODemoUS,N1,Agent,Agt,Agnt
AttrGrp,column,SBODemoUS,N2,attribute_group,AttrGrp,AGrp
AHE1,table,SBODemoUS,N3,absence_information_history,abs_info_hist,AHE1
AHE2,table,SBODemoUS,N3,education_table_history,edu_tbl_hist,AHE2
AHE3,table,SBODemoUS,N3,employee_reviews_table_history,empl_rev_tbl_hist,AHE3
AHE4,table,SBODemoUS,N3,previous_employment_table_history,prev_empl_tbl_hist,AHE4
AHE6,table,SBODemoUS,N3,employee_roles_table_history,empl_roles_tbl_hist,AHE6
AHE7,table,SBODemoUS,N3,savings_payments_history,savings_pymnts_hist,AHE7
AHEM,table,SBODemoUS,N3,employees_history,empl_hist,AHEM
AbsId,column,SBODemoUS,N2,abstract_id,AbsId,AbI
AddtnlId,column,SBODemoUS,N2,additional_id,AddtnlId,AddI
AllItems,column,SBODemoUS,N1,AllItems,AllItms,AllI
AltItem,column,SBODemoUS,N2,alternative_item_no,AltItem,AltI
AssetItem,column,SBODemoUS,N1,AssetItem,AsstItm,AsstI
ApInvAmntF,column,SBODemoUS,N2,ap_invoice_amount_from,ApInvAmntF,AIAF
ApInvAmntT,column,SBODemoUS,N2,ap_invoice_amount_to,ApInvAmntT,AIAmtT
ActICCost,column,SBODemoUS,N2,actual_item_component_cost,ActICCost,AICCost
AccountId,column,SBODemoUS,N1,AccountId,AcctId,AccId
ActId,column,SBODemoUS,N2,activity_id,Act_Id,AtId
AddID,column,SBODemoUS,N1,AddID,AdID,AID
ApplID,column,SBODemoUS,N2,item_number,ApplID,ApID
AreaID,column,SBODemoUS,N2,area_number,AreaID,ArID
AttrID,column,SBODemoUS,N2,attribute_id,AttrID,AttID
AnnInvDecR,column,SBODemoUS,N2,annual_inv_declaration_ref,AnnInvDecR,AIDR
AutoIssMtd,column,SBODemoUS,N2,auto_issue_method,AutoIssMtd,AIM
AddIdNum,column,SBODemoUS,N2,additional_id_number,AddIdNum,AIN
ArchJrnal,column,SBODemoUS,N2,archiving_journal,ArchJrnal,AJ
ApplyLine,column,SBODemoUS,N1,ApplyLine,ApplLn,ALn
AvrageLate,column,SBODemoUS,N2,average_payment_delay_in_days,AvrageLate,AL
AllocateLn,column,SBODemoUS,N2,allocate_document_line,AllocateLn,AlcLn
AllocateTp,column,SBODemoUS,N2,allocate_document_type,AllocateTp,AlcTp
Allocation,column,SBODemoUS,N1,Allocation,Alctn,Alloc
AgrLnNum,column,SBODemoUS,N2,agreement_item_row_number,AgrLnNum,ALNum
Alerted,column,SBODemoUS,N1,Alerted,Alrted,Altd
Allowences,column,SBODemoUS,N1,Allowences,Alwncs,Alwncs
AllowedTo,column,SBODemoUS,N1,AllowedTo,AlwdTo,AlwTo
AmendedTo,column,SBODemoUS,N1,AmendedTo,AmnddTo,AmdTo
Amount,column,SBODemoUS,N1,Amount,Amt,Amt
AssetAmnt1,column,SBODemoUS,N2,asset_amount_1,AssetAmnt1,Amt1
AmountCat,column,SBODemoUS,N2,category_to_apply_amount_from_total,AmountCat,AmtCat
AmountDiff,column,SBODemoUS,N2,amount_differences,AmountDiff,AmtDiff
AmtDifPst,column,SBODemoUS,N3,amount_diffs_posting_date,amt_diff_post_date,AmtDifPst
AcctName,column,SBODemoUS,N2,bank_account_name,AcctName,AcctN
AddrName,column,SBODemoUS,N2,address_name,AddrName,AdrN
AliasName,column,SBODemoUS,N1,AliasName,AlisNm,Anm
ArgName,column,SBODemoUS,N2,argument_name,ArgName,Arnm
AttrName,column,SBODemoUS,N2,attribute_name,AttrName,atNm
AN,column,SBODemoUS,N3,contacts_employee,empl,AN
ANCurrency,column,SBODemoUS,N2,employee_currency,ANCurrency,ANCy
AgrNo,column,SBODemoUS,N2,AgreementNumber,AgrNo,ANo
Answer,column,SBODemoUS,N1,Answer,Ansr,Ans
AcctNum,column,SBODemoUS,N2,account_number,AcctNum,accNum
AddNum,column,SBODemoUS,N2,number_of_additional,AddNum,adNum
AgreeNum,column,SBODemoUS,N2,agreement_number,AgreeNum,agrNum
AgrNum,column,SBODemoUS,N2,blanket_agreement_number,AgrNum,blAgrNum
AttNum,column,SBODemoUS,N2,number_of_attachments,AttNum,ANum
ApplObj,column,SBODemoUS,N2,applied_object,ApplObj,AO
AppObjAbs,column,SBODemoUS,N2,applied_object_internal_id,AppObjAbs,AOA
AOC1,table,SBODemoUS,N3,distribution_rule_rows_history,dist_rule_rows_hist,AOC1
AOCR,table,SBODemoUS,N3,distribution_rule_table_history,dist_rule_tbl_hist,AOCR
AppObjLine,column,SBODemoUS,N2,applied_object_line,AppObjLine,AOL
AOPR,table,SBODemoUS,N3,opportunity_table_history,opp_tbl_hist,AOPR
AppObjType,column,SBODemoUS,N2,applied_object_type,AppObjType,AOT
AutoPost,column,SBODemoUS,N1,AutoPost,AutoPst,AutP
AvgPrice,column,SBODemoUS,N1,AvgPrice,AvgPrc,avP
AddPrice1,column,SBODemoUS,N1,AddPrice1,AddPrc1,AP1
AddPrice2,column,SBODemoUS,N1,AddPrice2,AddPrc2,AP2
approvedBy,column,SBODemoUS,N1,approvedBy,apprvdBy,apBy
ActPrCost,column,SBODemoUS,N2,actual_product_cost,ActPrCost,APrCs
APC,column,SBODemoUS,N3,apc_value,apc_val,APC
APConDiffG,column,SBODemoUS,N2,accounts_payable_realized_conversion_diff_gain,APConDiffG,APCDG
APConDiffL,column,SBODemoUS,N2,accounts_payable_realized_conversion_diff_loss,APConDiffL,APCDL
APCHist,column,SBODemoUS,N3,historical_apc,hist_apc,APCHist
APCMAct,column,SBODemoUS,N3,purchase_credit_account,purch_credit_acct,APCMAct
APCMEUAct,column,SBODemoUS,N3,purchase_credit_account_eu,purch_cred_acct_eu,APCMEUAct
APCMFrnAct,column,SBODemoUS,N3,purchase_credit_account_foreign,purch_cred_acct_foreign,APCMFrnAct
APDocDtFrm,column,SBODemoUS,N2,ap_document_date_from,APDocDtFrm,APDDFrm
APDueDtFrm,column,SBODemoUS,N2,ap_due_date_from,APDueDtFrm,APDDF
AttachPDF,column,SBODemoUS,N2,attach_exported_pdf_to_doc,AttachPDF,APDF
APH1,table,SBODemoUS,N3,project_management_stages_history_PH,proj_mngmnt_stg_hist_PH,APH1
APH8,table,SBODemoUS,N3,project_management_summary_history_PH,proj_mgmt_sum_hist_PH,APH8
APHA,table,SBODemoUS,N3,project_management_subproject_history,proj_mngt_subproj_hist,APHA
ArePayMeth,column,SBODemoUS,N2,payment_terms,ArePayMeth,APM
APM1,table,SBODemoUS,N3,project_management_stages_history,proj_mngmnt_stg_hist,APM1
APM2,table,SBODemoUS,N3,project_management_stages_open_issues_history,pm_stages_open_issues_hist,APM2
APM4,table,SBODemoUS,N3,project_management_stages_documents_history,proj_mngmnt_stgs_docs_hist,APM4
APM6,table,SBODemoUS,N3,project_management_stages_activities_history,proj_mngmnt_stgs_act_hist,APM6
APM8,table,SBODemoUS,N3,project_management_summary_history,proj_mgmt_sum_hist,APM8
APMG,table,SBODemoUS,N3,project_management_document_history,proj_mngt_doc_hist,APMG
AccuPriorP,column,SBODemoUS,N2,accumulated_depreciation_prior_periods,AccuPriorP,APP
Appr,column,SBODemoUS,N2,appreciation,Appr,Apr
APRC,table,SBODemoUS,N3,cost_center_table_history,Cst_Cntr_Tbl_hist,APRC
Approver,column,SBODemoUS,N1,Approver,Aprvr,Aprvr
AddPmntSum,column,SBODemoUS,N2,each_additional_payment,AddPmntSum,APS
AccQty,column,SBODemoUS,N2,quantity_in_accumulator,AccQty,AcQ
AdditQty,column,SBODemoUS,N2,AdditionalQuantity,AdditQty,AdlQty
AltQty,column,SBODemoUS,N2,alternative_quantity,AltQty,AQ
AqcsTaxFC,column,SBODemoUS,N3,acquisition_tax_functional_currency,acq_tax_fc,AqcsTaxFC
AqcsTaxSC,column,SBODemoUS,N3,acquisition_tax_sc,Acq_Tax_Sc,AqcsTaxSC
AllocQty,column,SBODemoUS,N2,allocated_quantity,AllocQty,AQty
AcctReq,column,SBODemoUS,N2,account_verification_required,AcctReq,AR
AssetRmk1,column,SBODemoUS,N2,asset_remark_1,AssetRmk1,AR1
AdvRulCol,column,SBODemoUS,N2,advanced_rules_column,AdvRulCol,ARC
ARCMAct,column,SBODemoUS,N3,sales_credit_account,sles_crdt_acct,ARCMAct
ARCMEUAct,column,SBODemoUS,N3,sales_credit_account_eu,sles_crdt_acct_eu,ARCMEUAct
ARCMExpAct,column,SBODemoUS,N3,tax_exempt_credit_account,tx_exmpt_crdt_acct,ARCMExpAct
ARCMFrnAct,column,SBODemoUS,N3,sales_credit_account_foreign,sles_crdt_acct_frgn,ARCMFrnAct
ActRCCost,column,SBODemoUS,N2,actual_resource_component_cost,ActRCCost,ARCst
AutoRecvMd,column,SBODemoUS,N2,auto_receipt_method,AutoRecvMd,ARMd
AutoStorno,column,SBODemoUS,N2,use_auto_reverse,AutoStorno,AS
AltSortCod,column,SBODemoUS,N2,alternative_sort_code,AltSortCod,Asrt_Cd
AltSrtCodF,column,SBODemoUS,N2,alternative_sort_code_from,AltSrtCodF,Asrt_cdF
ASC3,table,SBODemoUS,N3,service_call_travel_labor_expenses_history_3,sctle_history_3,ASC3
ASC4,table,SBODemoUS,N3,service_call_travel_labor_expenses_history_4,sctle_history_4,ASC4
ASC5,table,SBODemoUS,N3,service_call_activities_history,svc_call_act_hist,ASC5
ASC6,table,SBODemoUS,N3,service_call_scheduling_history,svc_call_sched_hist,ASC6
AltSrtCodT,column,SBODemoUS,N2,alternative_sort_code_to,AltSrtCodT,Asrt_CdT
ASCL,table,SBODemoUS,N3,history_table,hist_tbl,ASCL
ASGP,table,SBODemoUS,N3,service_group_brazil_history,svc_grp_brz_hist,ASGP
AppSubLine,column,SBODemoUS,N2,applied_subrow_number,AppSubLine,ASL
AssetSerNo,column,SBODemoUS,N2,asset_serial_number,AssetSerNo,AsstSN
Assignee,column,SBODemoUS,N1,Assignee,Assgn,Asn
AssetRmk2,column,SBODemoUS,N2,asset_remark_2,AssetRmk2,AsRk2
AssVal4WTR,column,SBODemoUS,N3,assessable_value_for_wtr,Assess_Val_Wtr,AssVal4WTR
AsstStatus,column,SBODemoUS,N2,asset_status,AsstStatus,AstSts
AppliedSys,column,SBODemoUS,N2,paid_in_system_currency,AppliedSys,ASys
AccTotal,column,SBODemoUS,N2,total_accumulator,AccTotal,AccTl
AccumType,column,SBODemoUS,N2,accumulator_type,AccumType,AcmTy
ActionType,column,SBODemoUS,N1,ActionType,ActnType,ActTy
AddrType,column,SBODemoUS,N2,AddressType,AddrType,AdTy
AdjTran,column,SBODemoUS,N2,adjusting_transaction,AdjTran,AdjTr
AdjTrans,column,SBODemoUS,N2,adjustment_transactions,AdjTrans,AdjTrs
AdresType,column,SBODemoUS,N2,address_type,AdresType,AdrTy
ApplyType,column,SBODemoUS,N1,ApplyType,ApplType,ApTy
AreaType,column,SBODemoUS,N1,AreaType,AreaTyp,ArTy
AssignTime,column,SBODemoUS,N1,AssignTime,AsnTime,AsTm
AsseType,column,SBODemoUS,N2,assessee_type,AsseType,AsTy
AssetType,column,SBODemoUS,N1,AssetType,AstTyp,AstTy
AddrTypeB,column,SBODemoUS,N2,address_typeB,AddrTypeB,ATB
AddrTypeBS,column,SBODemoUS,N2,address_typeBS,AddrTypeBS,ATBS
AttachDAG,column,SBODemoUS,N2,attach_dag,AttachDAG,AtcDAG
AddrTypeH,column,SBODemoUS,N2,home_address_type,AddrTypeH,ATH
AltTaxId,column,SBODemoUS,N2,alternative_tax_id,AltTaxId,ATI
AltTaxIdB,column,SBODemoUS,N2,alternative_tax_id_B,AltTaxIdB,ATIB
AddTotalLC,column,SBODemoUS,N2,additional_total_lc,AddTotalLC,ATLC
AttendReci,column,SBODemoUS,N2,attend_recipient,AttendReci,AtndRci
Attr,column,SBODemoUS,N2,attribute,Attr,atrb
Author,column,SBODemoUS,N1,Author,Authr,Atr
AddrTypeS,column,SBODemoUS,N2,address_typeS,AddrTypeS,ATS
ATT1,table,SBODemoUS,N3,bom_components_history_table,bom_comp_hist_tbl,ATT1
Attachment,column,SBODemoUS,N1,Attachment,Attchmnt,Attch
AttachHTML,column,SBODemoUS,N2,attach_html,AttachHTML,AttHTML
Attr10Abs,column,SBODemoUS,N3,attribute_10_internal_number,attr_10_int_num,Attr10Abs
Attr10Val,column,SBODemoUS,N3,attribute_10_value,attr_10_val,Attr10Val
Attr1Abs,column,SBODemoUS,N3,attribute_1_internal_number,attr_1_int_num,Attr1Abs
Attr1Val,column,SBODemoUS,N3,attribute_1_value,attr_1_val,Attr1Val
Attr2Abs,column,SBODemoUS,N3,attribute_2_internal_number,attr_2_int_num,Attr2Abs
Attr2Val,column,SBODemoUS,N3,attribute_2_value,attr_2_val,Attr2Val
Attr3Abs,column,SBODemoUS,N3,attribute_3_internal_number,attr_3_int_num,Attr3Abs
Attr3Val,column,SBODemoUS,N3,attribute_3_value,attr_3_val,Attr3Val
Attr4Abs,column,SBODemoUS,N3,attribute_4_internal_number,attr_4_int_num,Attr4Abs
Attr4Val,column,SBODemoUS,N3,attribute_4_value,attr_4_val,Attr4Val
Attr5Abs,column,SBODemoUS,N3,attribute_5_internal_number,attr_5_int_num,Attr5Abs
Attr5Val,column,SBODemoUS,N3,attribute_5_value,attr_5_val,Attr5Val
Attr6Abs,column,SBODemoUS,N3,attribute_6_internal_number,attr_6_int_num,Attr6Abs
Attr6Val,column,SBODemoUS,N3,attribute_6_value,attr_6_val,Attr6Val
Attr7Abs,column,SBODemoUS,N3,attribute_7_internal_number,attr_7_int_num,Attr7Abs
Attr7Val,column,SBODemoUS,N3,attribute_7_value,attr_7_val,Attr7Val
Attr8Abs,column,SBODemoUS,N3,attribute_8_internal_number,attr_8_int_num,Attr8Abs
Attr8Val,column,SBODemoUS,N3,attribute_8_value,attr_8_val,Attr8Val
Attr9Abs,column,SBODemoUS,N3,attribute_9_internal_number,attr_9_int_num,Attr9Abs
Attr9Val,column,SBODemoUS,N3,attribute_9_value,attr_9_val,Attr9Val
AttriAm48,column,SBODemoUS,N3,attribute_48,Attr_48,AttriAm48
AttriAm49,column,SBODemoUS,N3,attribute_49,Attr_49,AttriAm49
AttriAm50,column,SBODemoUS,N3,attribute_50,Attr_50,AttriAm50
AttriAm51,column,SBODemoUS,N3,attribute_51,attr_51,AttriAm51
AttriAm52,column,SBODemoUS,N3,attribute_52,Attr_52,AttriAm52
AttriAm53,column,SBODemoUS,N3,attribute_53,Attr_53,AttriAm53
AttriAm54,column,SBODemoUS,N3,attribute_54,Attr_54,AttriAm54
AttriDt43,column,SBODemoUS,N3,attribute_43_date,attr_43_dt,AttriDt43
AttriDt44,column,SBODemoUS,N3,attribute_44_date,attr_44_dt,AttriDt44
AttriDt45,column,SBODemoUS,N3,attribute_45_date,attr_45_dt,AttriDt45
AttriDt46,column,SBODemoUS,N3,attribute_46_date,attr_46_dt,AttriDt46
AttriDt47,column,SBODemoUS,N3,attribute_47_date,attr_47_dt,AttriDt47
AttriInt33,column,SBODemoUS,N3,attribute_33,attr_33,AttriInt33
AttriInt34,column,SBODemoUS,N3,attribute_34,Attr_34,AttriInt34
AttriInt35,column,SBODemoUS,N3,attribute_35,Attr_35,AttriInt35
AttriInt36,column,SBODemoUS,N3,attribute_36,Attr_36,AttriInt36
