native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
ParkCode,column,ASIS_20161108_HerpInv_Database,N1,ParkCode,PrkCd,P_Cd
PARKNAME,column,ASIS_20161108_HerpInv_Database,N1,PARKNAME,Prk_Nm,P_Nm
ParkStatus,column,ASIS_20161108_HerpInv_Database,N1,ParkStatus,Prk_Sts,PS
ParkStatusID,column,ASIS_20161108_HerpInv_Database,N1,ParkStatusID,PSts_ID,PSID
ParkStatusText,column,ASIS_20161108_HerpInv_Database,N1,ParkStatusText,ParkStatTxt,PS_Tx
PARKTYPE,column,ASIS_20161108_HerpInv_Database,N1,PARKTYPE,PType,P_Tp
pH,column,ASIS_20161108_HerpInv_Database,N2,pH,pH,pH
Plastron_Length,column,ASIS_20161108_HerpInv_Database,N1,Plastron_Length,Plstrn_Lngth,PLL
Plastron_Width,column,ASIS_20161108_HerpInv_Database,N1,Plastron_Width,Plstrn_Wdth,PW
Precipitation,column,ASIS_20161108_HerpInv_Database,N1,Precipitation,Precip,Pcp
principal_id,column,ASIS_20161108_HerpInv_Database,N1,principal_id,prncpl_id,p_id
Project,column,ASIS_20161108_HerpInv_Database,N1,Project,Prjct,Pjt
Rain,column,ASIS_20161108_HerpInv_Database,N1,Rain,Rn,Rn
Recapture,column,ASIS_20161108_HerpInv_Database,N1,Recapture,Recap,Rcp
RecordID,column,ASIS_20161108_HerpInv_Database,N1,RecordID,RecID,Rc_ID
Residency,column,ASIS_20161108_HerpInv_Database,N1,Residency,Resdncy,R
ResidencyID,column,ASIS_20161108_HerpInv_Database,N1,ResidencyID,ResID,Rs_ID
ResidencyText,column,ASIS_20161108_HerpInv_Database,N1,ResidencyText,ResdncyTxt,R_Tx
Salinity,column,ASIS_20161108_HerpInv_Database,N1,Salinity,Slnity,Slt
SampleZone,column,ASIS_20161108_HerpInv_Database,N1,SampleZone,Smpl_Zone,S_Zn
Scientific_Name,column,ASIS_20161108_HerpInv_Database,N1,Scientific_Name,Sci_Name,Sci_Nm
PointID,column,ASIS_20161108_HerpInv_Database,N2,sequential_number_of_points,PointID,PID
Sex,column,ASIS_20161108_HerpInv_Database,N1,Sex,Sx,Sx
SiteDescription,column,ASIS_20161108_HerpInv_Database,N1,SiteDescription,SiteDesc,StDsc
SiteID,column,ASIS_20161108_HerpInv_Database,N1,SiteID,StID,SID
Slope,column,ASIS_20161108_HerpInv_Database,N1,Slope,Slop,Slp
SnakeID,column,ASIS_20161108_HerpInv_Database,N1,SnakeID,Snk_ID,SnID
SVL,column,ASIS_20161108_HerpInv_Database,N3,snout_to_vent_length,Snout_Vnt_Len,SVL
SortID,column,ASIS_20161108_HerpInv_Database,N1,SortID,SrtID,SrID
SortOrder,column,ASIS_20161108_HerpInv_Database,N1,SortOrder,SrtOrd,SO
Species_Code,column,ASIS_20161108_HerpInv_Database,N1,Species_Code,Spc_Code,Spc_C
SSMA_TimeStamp,column,ASIS_20161108_HerpInv_Database,N3,SSMA_TimeStamp,SSMA_TmStmp,SSMA_TimeStamp
Stage,column,ASIS_20161108_HerpInv_Database,N1,Stage,Stg,Sg
StageCode,column,ASIS_20161108_HerpInv_Database,N1,StageCode,StgCode,SC
StartLat,column,ASIS_20161108_HerpInv_Database,N2,start_latitude,StartLat,StLat
StartLon,column,ASIS_20161108_HerpInv_Database,N2,start_longitude,StartLon,StLon
StartUTMX,column,ASIS_20161108_HerpInv_Database,N3,start_universal_transverse_mercator_x_coordinate,Start_Univ_Trans_Merc_X,StartUTMX
StartUTMY,column,ASIS_20161108_HerpInv_Database,N3,start_universal_transverse_mercator_y_coordinate,Start_Univ_Trans_Merc_Y,StartUTMY
StartDate,column,ASIS_20161108_HerpInv_Database,N1,StartDate,StartDt,StDt
StartTime,column,ASIS_20161108_HerpInv_Database,N1,StartTime,StartTm,StTm
State,column,ASIS_20161108_HerpInv_Database,N1,State,Stat,St
StopLat,column,ASIS_20161108_HerpInv_Database,N2,StopLatitude,StopLat,StpLat
StopLon,column,ASIS_20161108_HerpInv_Database,N2,StopLongitude,StopLon,StpLon
Substrate,column,ASIS_20161108_HerpInv_Database,N1,Substrate,Substrt,Sbtrt
Substrate_Temperature,column,ASIS_20161108_HerpInv_Database,N1,Substrate_Temperature,SubstrateTemp,Sub_Temp
sysdiagrams,table,ASIS_20161108_HerpInv_Database,N1,sysdiagrams,sysdiagrms,s_dgm
tblAbundance_LU,table,ASIS_20161108_HerpInv_Database,N2,table_abundance_lookup,tblAbundance_LU,Abd_LU
tblCultivation_LU,table,ASIS_20161108_HerpInv_Database,N2,table_cultivation_lookup,tblCultivation_LU,tblCult_LU
tblEventDataHerps,table,ASIS_20161108_HerpInv_Database,N2,table_event_data_herps,tblEventDataHerps,tblEvtDataHrps
tblEvents,table,ASIS_20161108_HerpInv_Database,N2,table_events,tblEvents,Evs
tblFieldDataAmphibianCallCounts,table,ASIS_20161108_HerpInv_Database,N2,table_field_data_amphibian_call_counts,tblFieldDataAmphibianCallCounts,FldDataAmphCallCnts
tblFieldDataCoverBoard,table,ASIS_20161108_HerpInv_Database,N2,table_field_data_coverboard_surveys,tblFieldDataCoverBoard,FldDtCvrBrd
tblFieldDataGreenCardObservations,table,ASIS_20161108_HerpInv_Database,N2,table_field_data_green_card_observations,tblFieldDataGreenCardObservations,FDGCO
tblFieldDataMinnowTrapSurveys,table,ASIS_20161108_HerpInv_Database,N2,table_field_data_minnow_trap_surveys,tblFieldDataMinnowTrapSurveys,TFDMinTrapSurveys
tblFieldDataSnakeDataCollection,table,ASIS_20161108_HerpInv_Database,N2,table_field_data_snake_survey,tblFieldDataSnakeDataCollection,TFDSC
tblFieldDataTimeConstrainedSearches,table,ASIS_20161108_HerpInv_Database,N2,table_field_data_time_constrained_search_surveys,tblFieldDataTimeConstrainedSearches,FDTS
tblFieldDataTurtleMeasurements,table,ASIS_20161108_HerpInv_Database,N2,table_field_data_turtle_measurement_field_data,tblFieldDataTurtleMeasurements,TFD_TrtlMsr
tblFieldDataTurtleTrapSurveys,table,ASIS_20161108_HerpInv_Database,N2,table_field_data_turtle_trap_surveys,tblFieldDataTurtleTrapSurveys,FldDataTtlTrpSrvys
tblFieldDataWaterProperties,table,ASIS_20161108_HerpInv_Database,N2,table_field_data_water_properties,tblFieldDataWaterProperties,FDWP
tlinkObservers,table,ASIS_20161108_HerpInv_Database,N2,table_link_observers_sampling_events,tlinkObservers,tlnkObs
tblLocations,table,ASIS_20161108_HerpInv_Database,N2,table_locations,tblLocations,Locs
tblLocationsPoints,table,ASIS_20161108_HerpInv_Database,N2,table_locations_points,tblLocationsPoints,LctnPts
tluWindSpeed,table,ASIS_20161108_HerpInv_Database,N2,table_lookup__wind_speed_categories,tluWindSpeed,tWS
tluBehavior,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_AnimalBehavior,tluBehavior,tluBhv
tluCallIndex,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_call_index,tluCallIndex,tCI
tluCaptureMethod,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_capture_methods,tluCaptureMethod,tluCapMthd
tluEggMassStages,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_egg_mass_stages,tluEggMassStages,tEMStages
tluEvidenceCode,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_evidence_code,tluEvidenceCode,TEC
tluHabitat,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_habitat_types,tluHabitat,tHbt
tluProject,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_herpetological_survey_projects,tluProject,tluProj
tluStage,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_life_stage,tluStage,TS
tluMicroHabitat,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_microhabitat_types,tluMicroHabitat,tluMH
tluParkCode,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_park_code,tluParkCode,TPC
tluSampleZone,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_Sample_Zone,tluSampleZone,TSZ
tluSpecies,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_Species,tluSpecies,tSp
tluSubstrate,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_substrate_types,tluSubstrate,tluSubst
tluWeather,table,ASIS_20161108_HerpInv_Database,N2,table_lookup_weather,tluWeather,tWthr
tblNativity_LU,table,ASIS_20161108_HerpInv_Database,N2,table_nativity_lookup,tblNativity_LU,NLU
tblParkStatus_LU,table,ASIS_20161108_HerpInv_Database,N2,table_park_status_lookup,tblParkStatus_LU,PS_LU
tblResidency_LU,table,ASIS_20161108_HerpInv_Database,N2,table_residency_lookup,tblResidency_LU,Res_LU
Tag#,column,ASIS_20161108_HerpInv_Database,N1,Tag#,Tg,Tg
TSN,column,ASIS_20161108_HerpInv_Database,N3,TaxonomicSerialNumber,Taxon_Ser_Num,TSN
TempC,column,ASIS_20161108_HerpInv_Database,N2,TemperatureCelsius,TempC,TC
Text,column,ASIS_20161108_HerpInv_Database,N1,Text,Txt,Tx
TLength,column,ASIS_20161108_HerpInv_Database,N2,TotalLength,TLength,TLn
Trap_#,column,ASIS_20161108_HerpInv_Database,N1,Trap_#,Trp,Tr
Trap_Type,column,ASIS_20161108_HerpInv_Database,N1,Trap_Type,Trp_Type,TT
TripReport,column,ASIS_20161108_HerpInv_Database,N1,TripReport,TripRpt,TRpt
Type,column,ASIS_20161108_HerpInv_Database,N1,Type,Typ,T
UTMX,column,ASIS_20161108_HerpInv_Database,N3,universal_transverse_mercator_XCoordinate,Univ_Trans_Merc_X,UTMX
UTMY,column,ASIS_20161108_HerpInv_Database,N3,universal_transverse_mercator_YCoordinate,Univ_Trans_Merc_Y,UTMY
UtmZone,column,ASIS_20161108_HerpInv_Database,N2,universal_transverse_mercator_zone,UtmZone,UZ
StopUTMX,column,ASIS_20161108_HerpInv_Database,N2,UTM_X_Coordinate_Ending,StopUTMX,StpUTMX
StopUTMY,column,ASIS_20161108_HerpInv_Database,N2,UTM_Y_Coordinate_Ending,StopUTMY,StpUTMY
version,column,ASIS_20161108_HerpInv_Database,N1,version,ver,vsn
WaterTemp,column,ASIS_20161108_HerpInv_Database,N2,WaterTemperature,WaterTemp,WtTp
Weather,column,ASIS_20161108_HerpInv_Database,N1,Weather,Wthr,Wth
Weight,column,ASIS_20161108_HerpInv_Database,N1,Weight,Wght,Wt
WindCode,column,ASIS_20161108_HerpInv_Database,N1,WindCode,WndCd,WdCd
WindDirection,column,ASIS_20161108_HerpInv_Database,N1,WindDirection,WndDir,WdDr
WindSpeed,column,ASIS_20161108_HerpInv_Database,N1,WindSpeed,WndSpd,WdSp
WorkExtension,column,ASIS_20161108_HerpInv_Database,N1,WorkExtension,WrkExt,W_Ext
WorkPhone,column,ASIS_20161108_HerpInv_Database,N1,WorkPhone,WrkPhn,W_Phn
Year,column,ASIS_20161108_HerpInv_Database,N1,Year,Yr,Y
ZipCode,column,ASIS_20161108_HerpInv_Database,N1,ZipCode,ZipCd,ZC
