native_identifier,table_or_column,source_database,native_naturalness,N1_identifier,N2_identifier,N3_identifier
County,column,ATBI,N1,County,Cnty,Cty
tlu_Cover_Cls,table,ATBI,N2,cover_class_lookup,tlu_Cover_Cls,CvCls
Cover,column,ATBI,N1,Cover,Covr,Cvr
Data_ID,column,ATBI,N1,Data_ID,Dta_ID,D_ID
Database_title,column,ATBI,N1,Database_title,DB_Title,DB_Ttl
DBH,column,ATBI,N3,diameter_breast_height,Diam_Brst_Ht,DBH
DClass1,column,ATBI,N3,Diameter_Class1,DiamClass1,DClass1
DClass2,column,ATBI,N3,Diameter_Class2,DiamClass2,DClass2
DClass3,column,ATBI,N3,Diameter_Class3,DiamClass3,DClass3
DClass4,column,ATBI,N3,Diameter_Class4,DiamClass4,DClass4
DecayStage_Descr,column,ATBI,N2,decay_stage_description,DecayStage_Descr,DcStgDescr
Decay,column,ATBI,N1,Decay,Decy,Dcy
tlu_DecayStage,table,ATBI,N2,DecayStage_lookup,tlu_DecayStage,DcyStg
definition,column,ATBI,N1,definition,defn,def
diagram_id,column,ATBI,N1,diagram_id,dgrm_id,DgId
Directions,column,ATBI,N1,Directions,Dirctns,Dir
Datum,column,ATBI,N1,Datum,Dtm,Dm
Density,column,ATBI,N1,Density,Dnsty,Dns
DecayStage_ID,column,ATBI,N1,DecayStage_ID,DcyStg_ID,DS_ID
dest,column,ATBI,N2,destination,dest,Dst
tbl_Deadwood,table,ATBI,N2,table_deadwood,tbl_Deadwood,DWood
Event_Date,column,ATBI,N1,Event_Date,Evt_Dt,E_Dt
Event_ID,column,ATBI,N1,Event_ID,Evt_ID,E_ID
Event_Notes,column,ATBI,N1,Event_Notes,Evt_Notes,E_Nts
Est_H_Error,column,ATBI,N3,estimated_horizontal_error,EstHError,Eherr
Elevation,column,ATBI,N1,Elevation,Elev,Elv
Eco_Notes,column,ATBI,N2,ecological_notes,Eco_Notes,ENotes
tbl_Events,table,ATBI,N2,table_events,tbl_Events,Evs
Fire,column,ATBI,N1,Fire,Fr,F
File_name,column,ATBI,N1,File_name,File_nm,F_nm
Found_by,column,ATBI,N1,Found_by,Fnd_by,Fnd_by
Fixed_by,column,ATBI,N1,Fixed_by,Fxd_by,Fxd_by
Fix_date,column,ATBI,N1,Fix_date,Fx_dt,FxDt
Fix_details,column,ATBI,N1,Fix_details,Fix_det,FxDtls
GIS_Location_ID,column,ATBI,N2,Geographic_Information_System_Location_ID,GIS_Location_ID,GLocID
genus,column,ATBI,N1,genus,gnus,gns
Hogs,column,ATBI,N1,Hogs,Hgs,Hg
ID,column,ATBI,N2,identifier,ID,ID
Litter_depth,column,ATBI,N1,Litter_depth,Ltr_Depth,L_Dp
Location_ID,column,ATBI,N1,Location_ID,Loc_ID,L_ID
Loc_Notes,column,ATBI,N2,location_notes,Loc_Notes,L_Notes
Logging,column,ATBI,N1,Logging,Lggng,Lgg
Link_file_path,column,ATBI,N1,Link_file_path,Lnk_file_path,Lk_Fp
Length,column,ATBI,N1,Length,Len,Ln
tbl_Locations,table,ATBI,N2,table_locations,tbl_Locations,Locs
ListedName,column,ATBI,N1,ListedName,Lstd_Nm,LstNm
tlu_Live_Dead,table,ATBI,N2,Live_Dead_lookup,tlu_Live_Dead,Lv_Dd
Layer,column,ATBI,N1,Layer,Layr,Lyr
Module,column,ATBI,N1,Module,Modl,Mdl
tlu_Mod_Num,table,ATBI,N2,module_number_lookup,tlu_Mod_Num,MdNm
Mod_Num,column,ATBI,N2,model_number,Mod_Num,MN
MPD,column,ATBI,N3,Midpoint_Diameter,Midpt_Diam,MPD
Nest_ID,column,ATBI,N1,Nest_ID,Nst_ID,N_ID
Name,column,ATBI,N1,Name,Nam,Nm
tbl_Nests,table,ATBI,N2,table_nests,tbl_Nests,Nsts
notes,column,ATBI,N1,notes,Nots,Nts
Other_Disturbance,column,ATBI,N1,Other_Disturbance,Oth_Disturb,O_Dist
Overstory_ID,column,ATBI,N1,Overstory_ID,Ovrstry_ID,O_ID
oldPlot,column,ATBI,N1,oldPlot,oldPlt,oPlt
tbl_Overstory,table,ATBI,N2,table_overstory,tbl_Overstory,Ovrstry
Plot,column,ATBI,N1,Plot,Plt,P
Plot_Azimuth,column,ATBI,N1,Plot_Azimuth,Plt_Azim,P_Az
Pine_beetle,column,ATBI,N1,Pine_beetle,Pn_Btl,P_Btl
Presence_First,column,ATBI,N1,Presence_First,Pres_Frst,P_Fst
Plot_ID,column,ATBI,N1,Plot_ID,Plt_ID,Pl_ID
principal_id,column,ATBI,N1,principal_id,prncpl_id,pr_id
Presence_Second,column,ATBI,N1,Presence_Second,Prsnc_Sec,P_Sec
Project,column,ATBI,N1,Project,Prjct,Pjt
Park,column,ATBI,N1,Park,Prk,Pk
tlu_PlaceNames,table,ATBI,N2,place_names_lookup,tlu_PlaceNames,PlNm
tlu_PlantSpecies,table,ATBI,N2,plant_species_lookup,tlu_PlantSpecies,PltSpc
PlaceNameID,column,ATBI,N1,PlaceNameID,PlcNmID,PNID
Pres_Num,column,ATBI,N2,presence_number,Pres_Num,PNum
tlu_Presence,table,ATBI,N2,presence_lookup,tlu_Presence,Prsnc
Pres_Text,column,ATBI,N2,presence_description,Pres_Text,PTxt
QuadName,column,ATBI,N2,quadrant_name,QuadName,QN
Release_date,column,ATBI,N1,Release_date,Rls_Date,R_Dt
Release_ID,column,ATBI,N1,Release_ID,Rls_ID,R_ID
Release_notes,column,ATBI,N1,Release_notes,Rls_Notes,R_Notes
R1,column,ATBI,N3,presence_class_species_rest_plot_R1,Pres_Clss_Spec_R1,R1
tlu_R1_RestOfPlot,table,ATBI,N2,R1_rest_of_plot_lookup,tlu_R1_RestOfPlot,R1ROP
R2,column,ATBI,N3,cover_class_R2,Covr_Clss_R2,R2
tlu_Roads_and_Trails,table,ATBI,N2,roads_and_trails_lookup,tlu_Roads_and_Trails,RdsTrl
Release_by,column,ATBI,N1,Release_by,Rls_by,Rls_by
Report_details,column,ATBI,N1,Report_details,Rpt_Dtls,Rpt_det
Report_date,column,ATBI,N1,Report_date,Rpt_date,Rpt_dt
Reported_by,column,ATBI,N1,Reported_by,Rptd_by,RptBy
sysdiagrams,table,ATBI,N1,sysdiagrams,sysdiagrms,s_dgm
Seedlings_ID,column,ATBI,N1,Seedlings_ID,Seedlgs_ID,Sdl_ID
Saplings_ID,column,ATBI,N1,Saplings_ID,Splngs_ID,Spl_ID
SpeciesNotes,column,ATBI,N1,SpeciesNotes,SpecNotes,S_Notes
Slope_shape,column,ATBI,N1,Slope_shape,Slp_Shp,S_Shp
SpeciesCode,column,ATBI,N1,SpeciesCode,Sp_Code,SC
SiteDescription,column,ATBI,N1,SiteDescription,SiteDesc,SD
tbl_Seedlings,table,ATBI,N2,table_seedlings,tbl_Seedlings,Sdlg
subgenus,column,ATBI,N1,subgenus,subgnus,sg
Shape,column,ATBI,N1,Shape,Shap,Shp
Slope,column,ATBI,N1,Slope,Slp,Sl
tlu_Slope_Shape,table,ATBI,N2,slope_shape_lookup,tlu_Slope_Shape,Slp_Shp
spcode,column,ATBI,N2,species_code,spcode,SPC
species,column,ATBI,N1,species,spec,spcs
tbl_Saplings,table,ATBI,N2,table_saplings,tbl_Saplings,Splg
SSMA_TimeStamp,column,ATBI,N3,ssma_timestamp,SSMA_TmStmp,SSMA_TimeStamp
subspecies,column,ATBI,N1,subspecies,subspec,ssp
State,column,ATBI,N1,State,Stat,St
Tag,column,ATBI,N1,Tag,Tg,T
tsys_App_Defaults,table,ATBI,N2,application_table,tsys_App_Defaults,TADef
tsys_App_Releases,table,ATBI,N2,application_table_application_release_history,tsys_App_Releases,TARel
tsys_Bug_Reports,table,ATBI,N2,application_bug_reports,tsys_Bug_Reports,TBugRpts
TreeCond_Text,column,ATBI,N2,tree_condition_description,TreeCond_Text,TC_Text
TreeCond_Num,column,ATBI,N2,tree_condition_identifier,TreeCond_Num,TCN
tblTimes,table,ATBI,N2,table_times,tblTimes,Tb_Tms
times,column,ATBI,N1,times,tms,tms
tlu_topo_position,table,ATBI,N2,topographic_position_lookup,tlu_topo_position,TopPos
Topo_Position,column,ATBI,N2,topographic_position,Topo_Position,Tp_Pos
TopoPosition,column,ATBI,N2,topographical_position,TopoPosition,TpPos
Trail,column,ATBI,N1,Trail,Trl,Tr
tlu_Tree_Cond,table,ATBI,N2,tree_condition_lookup,tlu_Tree_Cond,TrCnd
TreeCond,column,ATBI,N2,tree_condition,TreeCond,TrCond
TreeTag,column,ATBI,N1,TreeTag,TrTag,TT
tbl_Tree_Tags,table,ATBI,N2,table_tree_tags,tbl_Tree_Tags,Ttgs
Tree_Tag_ID,column,ATBI,N2,tree_tag_identifier,Tree_Tag_ID,TTID
tlu_Yes_No,table,ATBI,N2,yes_no_lookup,tlu_Yes_No,tYN
Unit_Code,column,ATBI,N1,Unit_Code,Unt_Cd,U_Cd
Updated_Date,column,ATBI,N1,Updated_Date,Updtd_Dt,U_Date
User_name,column,ATBI,N1,User_name,Usr_nm,U_nm
UTM_Zone,column,ATBI,N2,Universal_Transverse_Mercator_zone,UTM_Zone,UTM_Zn
utmE,column,ATBI,N3,Universal_Transverse_Mercator_easting_coordinate,utmEasting,utmE
utmN,column,ATBI,N3,Universal_Transverse_Mercator_northing_coordinate,utmNorthing,utmN
ValidName,column,ATBI,N1,ValidName,Vld_Nm,V_Nm
Version_number,column,ATBI,N1,Version_number,Vrsn_Num,V_Num
Verify_links_startup,column,ATBI,N1,Verify_links_startup,Vrfy_lnk_strtup,VLS
version,column,ATBI,N1,version,ver,vsn
Witness_Azimuth,column,ATBI,N1,Witness_Azimuth,Wtns_Azmt,W_Az
Witness_stake,column,ATBI,N1,Witness_stake,Wtnss_Stk,W_Stk
Windstorm,column,ATBI,N1,Windstorm,Wndstrm,WdStm
Witness_DBH,column,ATBI,N3,diameter_breast_height_witness_tree,Wtnss_Diam_Brst_Ht,Witness_DBH
Witness_SpCode,column,ATBI,N2,witness_species_code,Witness_SpCode,WitSpCd
WitnessTree_ID,column,ATBI,N1,WitnessTree_ID,WtnssTree_ID,WT_ID
tbl_WitnessTrees,table,ATBI,N2,table_WitnessTrees,tbl_WitnessTrees,WtnsTrs
X_coord,column,ATBI,N2,x_coordinate,X_coord,X_c
Xcoord,column,ATBI,N2,Xcoordinate,Xcoord,Xc
Y_coord,column,ATBI,N2,y_coordinate,Y_coord,Y_c
Yes_No,column,ATBI,N1,Yes_No,ys_no,Y_N
Ycoord,column,ATBI,N2,Ycoordinate,Ycoord,Yc
