text,category,label
CIN5,N3,2
CIN6,N3,2
CIN9,N3,2
Circulation_History,N1,0
city,N1,0
Claim_Headers,N1,0
Claims_Documents,N1,0
Claims_Processing_Stages,N1,0
Class,N1,0
classification,N1,0
classroom,N1,0
CLG1,N3,2
CLG2,N3,2
Clients,N1,0
climber,N1,0
Club,N1,0
club_rank,N1,0
Code,N1,0
college,N1,0
Companies,N1,0
competition,N1,0
competition_record,N1,0
competition_result,N1,0
constructorResults,N1,0
CONTESTANTS,N1,0
copyright,N1,0
country,N1,0
county,N1,0
COURSE,N1,0
course_arrange,N1,0
CPI11,N3,2
CPI12,N3,2
CPI13,N3,2
CPI15,N3,2
CPI16,N3,2
CPI19,N3,2
CPI21,N3,2
CPI22,N3,2
CPI23,N3,2
CPI24,N3,2
CPI25,N3,2
CPI26,N3,2
CPI27,N3,2
CPI3,N3,2
CPI4,N3,2
CPI5,N3,2
CPI8,N3,2
CPL1,N3,2
CPN1,N3,2
CPN2,N3,2
CPN3,N3,2
CPRF,N3,2
CPT1,N3,2
CPV10,N3,2
CPV13,N3,2
CPV17,N3,2
CPV2,N3,2
CPV20,N3,2
CPV22,N3,2
CPV25,N3,2
CPV26,N3,2
CPV27,N3,2
CPV3,N3,2
CPV6,N3,2
CPV8,N3,2
CRD2,N3,2
CRD3,N3,2
CRD5,N3,2
CRD6,N3,2
CRD7,N3,2
CRD8,N3,2
CSI1,N3,2
CSI10,N3,2
CSI13,N3,2
CSI14,N3,2
CSI15,N3,2
CSI16,N3,2
CSI19,N3,2
CSI2,N3,2
CSI20,N3,2
CSI22,N3,2
CSI23,N3,2
CSI24,N3,2
CSI3,N3,2
CSI4,N3,2
CSI5,N3,2
CSI6,N3,2
CSI8,N3,2
CSI9,N3,2
CSPI,N3,2
CSV10,N3,2
CSV12,N3,2
CSV14,N3,2
CSV15,N3,2
CSV16,N3,2
CSV17,N3,2
CSV18,N3,2
CSV2,N3,2
CSV24,N3,2
CSV25,N3,2
CSV26,N3,2
CSV27,N3,2
CSV28,N3,2
CSV6,N3,2
CSV7,N3,2
CSV9,N3,2
CTBR,N3,2
CTNS,N3,2
CTR1,N3,2
CTR2,N3,2
CUDC,N3,2
CUFD,N3,2
CUL1,N3,2
CULG,N3,2
culture_company,N1,0
CUPC,N3,2
Customer,N1,0
Customer_Addresses,N1,0
Customer_Events,N1,0
Customer_Policies,N1,0
Customers,N1,0
CUVV,N3,2
DAB1,N3,2
DADB,N3,2
DAL1,N3,2
DAR1,N3,2
DDT1,N3,2
debate,N1,0
Degree_Programs,N1,0
degrees,N1,0
Delivery_Route_Locations,N1,0
Delivery_Routes,N1,0
DEPARTMENT,N1,0
Department_Stores,N1,0
Departments,N1,0
dependent,N1,0
Detention,N1,0
DGP1,N3,2
DGP2,N3,2
DGP3,N3,2
DGP4,N3,2
directed_by,N1,0
director,N1,0
discipline_enrollments,N1,0
DISTRACT,N1,0
district,N1,0
DLN10,N3,2
DLN12,N3,2
DLN13,N3,2
DLN14,N3,2
DLN15,N3,2
DLN16,N3,2
DLN17,N3,2
DLN18,N3,2
DLN19,N3,2
DLN20,N3,2
DLN21,N3,2
DLN24,N3,2
DLN26,N3,2
DLN3,N3,2
DLN5,N3,2
DLN6,N3,2
DLN7,N3,2
DLN8,N3,2
DLN9,N3,2
DMW1,N3,2
DOC24,N3,2
DOC28,N3,2
Document_Drafts,N1,0
Document_Sections,N1,0
Document_Types,N1,0
Documents_Mailed,N1,0
Documents_to_be_Destroyed,N1,0
Dogs,N1,0
domain,N1,0
domain_journal,N1,0
domain_keyword,N1,0
Dorm,N1,0
DPI1,N3,2
DPI10,N3,2
DPI11,N3,2
DPI12,N3,2
DPI13,N3,2
DPI15,N3,2
DPI17,N3,2
DPI19,N3,2
DPI21,N3,2
DPI22,N3,2
DPI23,N3,2
DPI25,N3,2
DPI26,N3,2
DPI27,N3,2
DPI28,N3,2
DPI3,N3,2
DPI5,N3,2
DPI6,N3,2
DPI8,N3,2
DPO10,N3,2
DPO11,N3,2
DPO13,N3,2
DPO14,N3,2
DPO17,N3,2
DPO18,N3,2
DPO19,N3,2
DPO2,N3,2
DPO20,N3,2
DPO21,N3,2
DPO26,N3,2
DPO4,N3,2
DPO6,N3,2
DPO8,N3,2
DPO9,N3,2
DPS1,N3,2
Drama_Workshop_Groups,N1,0
DRF1,N3,2
DRF10,N3,2
DRF11,N3,2
DRF12,N3,2
DRF15,N3,2
DRF17,N3,2
DRF18,N3,2
DRF19,N3,2
DRF2,N3,2
DRF20,N3,2
DRF21,N3,2
DRF22,N3,2
DRF23,N3,2
DRF24,N3,2
DRF25,N3,2
DRF26,N3,2
DRF27,N3,2
DRF3,N3,2
DRF6,N3,2
DRF9,N3,2
driver,N1,0
drivers,N1,0
DRN2,N3,2
DSC1,N3,2
DTP1,N3,2
DWZ3,N3,2
DWZ5,N3,2
EBL1,N3,2
ECM1,N3,2
ECM2,N3,2
ECM3,N3,2
ECM4,N3,2
ECM5,N3,2
ECM7,N3,2
editor,N1,0
EDREVENT,N2,1
EDRPRECRASH,N2,1
EDRREST,N2,1
EDRSUMM,N2,1
EJB1,N3,2
EJB2,N3,2
EJECT,N2,1
election,N1,0
Electoral_Register,N1,0
Elimination,N1,0
Employee,N1,0
Employee,N1,0
Employees,N1,0
EMSCARE,N2,1
endowment,N1,0
Engineer_Visits,N1,0
ENROLL,N1,0
ENT1,N3,2
enzyme,N1,0
EOY1,N3,2
ERX1,N3,2
ET_303d,N3,2
ET_Park,N2,1
exhibition,N1,0
ExternalCrosswalk,N1,0
FAA1,N3,2
FAC1,N3,2
FAM1,N3,2
FAR1,N3,2
farm_competition,N1,0
FCT1,N3,2
fielding,N1,0
files,N1,0
film,N1,0
film_actor,N1,0
film_category,N1,0
film_market_estimation,N1,0
Finances,N1,0
FIX1,N3,2
flight,N1,0
flights,N1,0
FlowlineC,N2,1
FLR1,N3,2
FML1,N3,2
FNS1,N3,2
follows,N1,0
Forms,N1,0
FRC1,N3,2
Friend,N1,0
FTR2,N3,2
FTT1,N3,2
FUEL,N1,0
furniture_manufacte,N2,1
GBI10,N3,2
GBI16,N3,2
GBI2,N3,2
GBI3,N3,2
GBI4,N3,2
GBI5,N3,2
GBI8,N3,2
GDB_DatabaseLocks,N2,1
GDB_ItemRelationships,N2,1
GDB_ItemRelationshipTypes,N2,1
GDB_Items_Shape_Index,N2,1
GDB_ItemTypes,N2,1
GDB_ReplicaLog,N2,1
GDP1,N3,2
GDP2,N3,2
genres,N1,0
GEOGRAPHIC,N1,0
GFL2,N3,2
GLAZING,N1,0
GPA1,N3,2
GPA2,N3,2
GPA3,N3,2
GPA5,N3,2
GPA6,N3,2
GPA9,N3,2
Gradeconversion,N1,0
Grants,N1,0
GTI1,N3,2
GTM1,N3,2
GV,N3,2
gymnast,N1,0
HABITAT CODES,N1,0
hall_of_fame,N1,0
happy_hour,N1,0
Has_Allergy,N1,0
HEM1,N3,2
HEM4,N3,2
HEM7,N3,2
HET1,N3,2
HFC1,N3,2
HFC2,N3,2
highlow,N1,0
Highschooler,N1,0
hiring,N1,0
HMM3,N3,2
Hotels,N1,0
HTM1,N3,2
HYDRO_NET_BUILDERR,N1,0
ICD1,N3,2
ICD10,N3,2
ICD11,N3,2
ICD2,N3,2
ICD4,N3,2
ICD7,N3,2
ICD8,N3,2
ICD9,N3,2
IEI13,N3,2
IEI15,N3,2
IEI16,N3,2
IEI18,N3,2
IEI19,N3,2
IEI20,N3,2
IEI23,N3,2
IEI25,N3,2
IEI26,N3,2
IEI28,N3,2
IEI4,N3,2
IEI6,N3,2
IEI8,N3,2
IEI9,N3,2
IER1,N3,2
IGE11,N3,2
IGE12,N3,2
IGE13,N3,2
IGE14,N3,2
IGE19,N3,2
IGE2,N3,2
IGE20,N3,2
IGE23,N3,2
IGE26,N3,2
IGE28,N3,2
IGE4,N3,2
IGE6,N3,2
IGE7,N3,2
IGE9,N3,2
IGN1,N3,2
IGN11,N3,2
IGN12,N3,2
IGN13,N3,2
IGN16,N3,2
IGN17,N3,2
IGN19,N3,2
IGN2,N3,2
IGN21,N3,2
IGN23,N3,2
IGN24,N3,2
IGN25,N3,2
IGN26,N3,2
IGN27,N3,2
IGN28,N3,2
IGN4,N3,2
IGN7,N3,2
IGN9,N3,2
ILM1,N3,2
ILM2,N3,2
Images,N1,0
IMGDT,N3,2
IMGLG,N3,2
IMGP1,N3,2
IMQSG,N3,2
IMT1,N3,2
IMT11,N3,2
INC1,N3,2
INC11,N3,2
INC12,N3,2
INC2,N3,2
INC3,N3,2
INC5,N3,2
INC6,N3,2
INC7,N3,2
INC9,N3,2
INJURY,N1,0
INS1,N3,2
Institution,N1,0
instructor,N1,0
Instruments,N1,0
INTERIOR,N1,0
INTRUSION,N1,0
INV11,N3,2
INV13,N3,2
INV16,N3,2
INV17,N3,2
INV18,N3,2
INV19,N3,2
INV2,N3,2
INV22,N3,2
INV25,N3,2
INV28,N3,2
INV3,N3,2
INV4,N3,2
INV6,N3,2
INV8,N3,2
INV9,N3,2
Invert Family,N2,1
Invert Order,N2,1
Investors,N1,0
Invoice,N1,0
Invoice_Items,N1,0
invoice_lines,N1,0
InvoiceLine,N1,0
IOD1,N3,2
IOD2,N3,2
IOD3,N3,2
IPD3,N3,2
IPF2,N3,2
IQI3,N3,2
IQR2,N3,2
IQR3,N3,2
IQR4,N3,2
IRI1,N3,2
IRR1,N3,2
ISC1,N3,2
ISD2,N3,2
ISW1,N3,2
ISW2,N3,2
ISW3,N3,2
ITL1,N3,2
ITM10,N3,2
ITM12,N3,2
ITM13,N3,2
ITM2,N3,2
ITM4,N3,2
ITM5,N3,2
ITM7,N3,2
ITM8,N3,2
ITM9,N3,2
ITT1,N3,2
ITT2,N3,2
ITW1,N3,2
IVL1,N3,2
IVLG,N3,2
IVM1,N3,2
IVRU,N3,2
IWB2,N3,2
IWR1,N3,2
IWZ3,N3,2
JKCOEFF,N2,1
JKWGT,N3,2
job_history,N1,0
jobs,N1,0
journalist,N1,0
JST1,N3,2
keyphrase,N1,0
KPI1,N3,2
KPI4,N3,2
KPS1,N3,2
lake,N1,0
language,N1,0
lapTimes,N1,0
League,N1,0
Lessons,N1,0
Likes,N1,0
list,N1,0
Lives_in,N1,0
LIVI1,N3,2
loan,N1,0
LOCATION,N1,0
Locations,N1,0
Lots,N1,0
LTF1,N3,2
MAB1,N3,2
machine,N1,0
made_by,N1,0
Mailshot_Customers,N1,0
Maintenance_Engineers,N1,0
management,N1,0
manager,N1,0
manager_award,N1,0
manufacturer,N1,0
MAP1,N1,0
market,N1,0
Marketing_Regions,N1,0
match_result,N1,0
matches,N1,0
MDP1,N3,2
MDP2,N3,2
MDR1,N3,2
Medication,N1,0
medicine,N1,0
medicine_enzyme_interaction,N1,0
member,N1,0
member_attendance,N1,0
Member_of,N1,0
Member_of_club,N1,0
mill,N1,0
MIN2,N3,2
MIN3,N3,2
Minor_in,N1,0
MIV2,N3,2
MIV3,N3,2
Month,N1,0
movie,N1,0
MPO1,N3,2
MRV1,N3,2
MRV4,N3,2
MSN2,N3,2
MSN3,N3,2
MSN4,N3,2
MSN5,N3,2
MTH1V,N3,2
MTH2V,N3,2
MTH3V,N3,2
museum,N1,0
Museums,N1,0
music_festival,N1,0
musical,N1,0
N_1_ETopo,N2,1
N_1_FloDir,N2,1
N_1_JTopo2,N2,1
NCP1,N3,2
NCP2,N3,2
neighbourhood,N1,0
news_report,N1,0
NFN1,N3,2
NFN2,N3,2
NFN4,N3,2
NFN5,N3,2
NHDAreaC,N2,1
NHDAreaC_Shape_Index,N2,1
NHDAreaEventFC_Shape_Index,N2,1
NHDFCode,N2,1
NHDFeatureToMetadata,N2,1
NHDFlow,N2,1
NHDFlowline,N2,1
NHDLine_Shape_Index,N2,1
NHDLineC,N2,1
NHDLineEventFC,N2,1
NHDLineEventFC_Shape_Index,N2,1
NHDPoint,N2,1
NHDPointC,N2,1
NHDProcessingParameters,N2,1
NHDReachCodeMaintenance,N2,1
NHDSourceCitation,N2,1
NHDVerticalRelationship,N2,1
NHDWaterbody,N2,1
NHDWaterbodyC_Shape_Index,N2,1
NHDWaterbodySL,N2,1
NHDWaterbodySL_SHAPE_Index,N2,1
NNM1,N3,2
NNM2,N3,2
NNM3,N3,2
NNM4,N3,2
NNM5,N3,2
nomination,N1,0
Nurse,N1,0
OACG,N3,2
OACQ,N3,2
OACS,N3,2
OADF,N3,2
OADG,N3,2
OADP,N3,2
OADT,N3,2
OAGM,N3,2
OAGP,N3,2
OAGS,N3,2
OALI,N3,2
OALR,N3,2
OALT,N3,2
OAMD,N3,2
OAOB,N3,2
OARI,N3,2
OASC,N3,2
OASG,N3,2
OAT2,N3,2
OAT3,N3,2
OAT4,N3,2
OATC,N3,2
OBAL,N3,2
OBAT,N3,2
OBBQ,N3,2
OBCD,N3,2
OBCG,N3,2
OBDC,N3,2
OBFI,N3,2
OBGD,N3,2
OBNI,N3,2
OBNK,N3,2
OBOB,N3,2
OBOD,N3,2
OBOE,N3,2
OBOI,N3,2
OBOS,N3,2
OBOX,N3,2
OBST,N3,2
OBTA,N3,2
OBTC,N3,2
OBTD,N3,2
OBTF,N3,2
OBTN,N3,2
OBTQ,N3,2
OCBI,N3,2
OCCD,N3,2
OCCONTACT,N2,1
OCCS,N3,2
OCDP,N3,2
OCEST,N3,2
OCFL,N3,2
OCFP,N3,2
OCFT,N3,2
OCHD,N3,2
OCHH,N3,2
OCHO,N3,2
OCIG,N3,2
OCIN,N3,2
OCIP,N3,2
OCLA,N3,2
OCLC,N3,2
OCLG,N3,2
OCLO,N3,2
OCLS,N3,2
OCMN,N3,2
OCMT,N3,2
OCNA,N3,2
OCOG,N3,2
OCPL,N3,2
OCPT,N3,2
OCPV,N3,2
OCQG,N3,2
OCRB,N3,2
OCRC,N3,2
OCRG,N3,2
OCRH,N3,2
OCRP,N3,2
OCRT,N3,2
OCRY,N3,2
OCSC,N3,2
OCSI,N3,2
OCSN,N3,2
OCST,N3,2
OCTG,N3,2
OCUC,N3,2
OCUP,N3,2
OCYC,N3,2
ODAL,N3,2
ODAR,N3,2
ODBW,N3,2
ODCC,N3,2
ODCR,N3,2
ODDG,N3,2
ODDT,N3,2
ODGL,N3,2
ODLL,N3,2
ODNF,N3,2
ODOR,N3,2
ODOW,N3,2
ODOX,N3,2
ODPA,N3,2
ODPH,N3,2
ODPP,N3,2
ODPS,N3,2
ODPT,N3,2
ODPV,N3,2
ODRC,N3,2
ODRF,N3,2
ODRN,N3,2
ODSC,N3,2
ODSL,N3,2
ODSW,N3,2
ODTP,N3,2
ODW1,N3,2
ODWZ,N3,2
OECDW,N3,2
OECM,N3,2
OECP,N3,2
OEDT,N3,2
OEFDW,N3,2
OEI10,N3,2
OEI11,N3,2
OEI12,N3,2
OEI14,N3,2
OEI15,N3,2
OEI17,N3,2
OEI18,N3,2
OEI19,N3,2
OEI20,N3,2
OEI24,N3,2
OEI26,N3,2
OEI3,N3,2
OEI4,N3,2
OEI7,N3,2
OEML,N3,2
OENC,N3,2
OEOY,N3,2
OEPE,N3,2
OERT,N3,2
OERX,N3,2
OETC,N3,2
OEUT,N3,2
OEVT,N3,2
OEXD,N3,2
OFAC,N3,2
OFAI,N3,2
OFAR,N3,2
OFBT,N3,2
OFCT,N3,2
Office_locations,N1,0
OFIX,N3,2
OFLR,N3,2
OFML,N3,2
OFNS,N3,2
OFPC,N3,2
OFPR,N3,2
OFRC,N3,2
OFRM,N3,2
OFTA,N3,2
OFUS,N3,2
OGAR,N3,2
OGBI,N3,2
OGDP,N3,2
OGPA,N3,2
OGPC,N3,2
OGRS,N3,2
OGTI,N3,2
OHEM,N3,2
OHET,N3,2
OHFC,N3,2
OHMM,N3,2
OHST,N3,2
OHSV,N3,2
OHTM,N3,2
OIBQ,N3,2
OICC,N3,2
OICD,N3,2
OIDX,N3,2
OIEI,N3,2
OIER,N3,2
OIGE,N3,2
OIGN,N3,2
OIGW,N3,2
OILM,N3,2
OIMT,N3,2
OIND,N3,2
OINS,N3,2
OIOD,N3,2
OIPD,N3,2
OIPF,N3,2
OIPO,N3,2
OIQI,N3,2
OIRC,N3,2
OIRI,N3,2
OIRR,N3,2
OIRT,N3,2
OISD,N3,2
OISR,N3,2
OISW,N3,2
OITB,N3,2
OITG,N3,2
OITL,N3,2
OITR,N3,2
OITT,N3,2
OIVE,N3,2
OIVM,N3,2
OIWZ,N3,2
OJDT,N3,2
OJET,N3,2
OJST,N3,2
OKPF,N3,2
OKPI,N3,2
OKPS,N3,2
OLCD,N3,2
OLGL,N3,2
OLGT,N3,2
OLLR,N3,2
OLNK,N3,2
OLTF,N3,2
OLTI,N3,2
OMDC,N3,2
OMDR,N3,2
OMGP,N3,2
OMIN,N3,2
OMLP,N3,2
OMLT,N3,2
OMRC,N3,2
OMRL,N3,2
OMRV,N3,2
OMSG,N3,2
OMSN,N3,2
OMTC,N3,2
OMTH,N3,2
ONCG,N3,2
ONCM,N3,2
ONCP,N3,2
ONFN,N3,2
ONFT,N3,2
ONNM,N3,2
OOAT,N3,2
OODW,N3,2
OOEI,N3,2
OOIN,N3,2
OOND,N3,2
OOPR,N3,2
OORL,N3,2
OOST,N3,2
OPBD,N3,2
OPCH,N1,0
OPCT,N3,2
OPDN,N3,2
operate_company,N1,0
OPEX,N3,2
OPFS,N3,2
OPFT,N3,2
OPID,N3,2
OPJT,N3,2
OPKG,N3,2
OPLN,N3,2
OPPA,N3,2
OPPT,N3,2
OPQN,N3,2
OPQT,N3,2
OPR3,N3,2
OPRA,N3,2
OPRC,N3,2
OPRF,N3,2
OPRJ,N3,2
OPRO,N3,2
OPRQ,N3,2
OPRR,N3,2
OPRS,N3,2
OPRT,N3,2
OPSG,N3,2
OPST,N3,2
OPTF,N3,2
OPTR,N3,2
OPWB,N3,2
OPYD,N3,2
OPYM,N3,2
OQAG,N3,2
OQCN,N3,2
OQRC,N3,2
OQUT,N3,2
orchestra,N1,0
ORCJ,N3,2
ORCM,N3,2
ORCT,N3,2
Orders,N1,0
OREA,N3,2
OREQ,N3,2
ORER,N3,2
Organisations,N1,0
organization,N1,0
Organization_Contact_Individuals,N1,0
Organizations,N1,0
ORIT,N3,2
ORLD,N3,2
ORLS,N3,2
ORMK,N3,2
ORPC,N3,2
ORPT,N3,2
ORSC,N3,2
ORSG,N3,2
ORST,N3,2
ORTI,N3,2
ORTL,N3,2
ORTM,N3,2
ORTS,N3,2
ORVC,N3,2
OSAB,N3,2
OSAC,N3,2
OSAL,N3,2
OSCG,N3,2
OSCL,N3,2
OSCO,N3,2
OSCS,N3,2
OSDL,N3,2
OSEC,N3,2
OSES,N3,2
OSFC,N3,2
OSFI,N3,2
OSGP,N3,2
OSHP,N3,2
OSHR,N3,2
OSLP,N3,2
OSLR,N3,2
OSLT,N3,2
OSOI,N3,2
OSPP,N3,2
OSRA,N3,2
OSRC,N3,2
OSRL,N3,2
OSRW,N3,2
OSSG,N3,2
OSST,N3,2
OSTA,N3,2
OSTC,N3,2
OSTG,N3,2
OSTT,N3,2
OSUC,N3,2
OSUL,N3,2
OSVR,N3,2
OSVT,N3,2
OSWA,N3,2
OTAX,N3,2
OTCD,N3,2
OTCN,N3,2
OTCX,N3,2
OTER,N3,2
OTFC,N3,2
Other_Available_Features,N1,0
Other_Property_Features,N1,0
OTNC,N3,2
OTNL,N3,2
OTNN,N3,2
OTOF,N3,2
OTPI,N3,2
OTPL,N3,2
OTPR,N3,2
OTPS,N3,2
OTRA,N3,2
OTRN,N3,2
OTRO,N3,2
OTRS,N3,2
OTRX,N3,2
OTSI,N3,2
OTSM,N3,2
OTTP,N3,2
OTWS,N3,2
OTXD,N3,2
OUAL,N3,2
OUDG,N3,2
OUDO,N3,2
OUDV,N3,2
OUGP,N3,2
OUKD,N3,2
OULA,N3,2
OUNCL,N3,2
OUPT,N3,2
OUQR,N3,2
OUSR,N3,2
OUTB,N3,2
OVEB,N3,2
OVEC,N3,2
OVET,N3,2
OVMC,N3,2
OVRT,N3,2
OVRW,N3,2
OVTP,N3,2
OVTR,N3,2
OWDBD,N3,2
OWDT,N3,2
OWFER,N3,2
OWFLT,N3,2
OWGT,N3,2
OWHC,N3,2
OWHS,N3,2
OWHT,N3,2
OWIN,N3,2
OWLBT,N3,2
OWMG,N3,2
OWNOT,N3,2
OWPK,N3,2
OWST,N3,2
OWTA,N3,2
OWTC,N3,2
OWTD,N3,2
OWTI,N3,2
OWTM,N3,2
OWTQ,N3,2
OWTR,N3,2
OWTS,N3,2
OWTT,N3,2
OWTX,N3,2
OWUAC,N3,2
OWUPR,N3,2
OWVG,N3,2
OWVT,N3,2
OWWT,N3,2
OWXT,N3,2
OZRD,N3,2
PACT,N3,2
PACT3,N3,2
paperKeyphrase,N1,0
Papers,N1,0
Paragraphs,N1,0
park,N1,0
Parking_Fines,N1,0
Participates_in,N1,0
Parties,N1,0
Parties_in_Events,N1,0
party,N1,0
party_events,N1,0
Party_Forms,N1,0
Party_Services,N1,0
Paste Errors,N1,0
Patient,N1,0
PCH11,N3,2
PCH13,N3,2
PCH14,N3,2
PCH16,N3,2
PCH17,N3,2
PCH18,N3,2
PCH19,N3,2
PCH2,N3,2
PCH21,N3,2
PCH22,N3,2
PCH23,N3,2
PCH26,N3,2
PCH27,N3,2
PCH28,N3,2
PCH3,N3,2
PCH4,N3,2
PCH5,N3,2
PCH6,N3,2
PCH8,N3,2
PCH9,N3,2
PCI1,N3,2
PDF4,N3,2
PDF5,N3,2
PDF7,N3,2
PDF8,N3,2
PDN1,N3,2
PDN11,N3,2
PDN13,N3,2
PDN15,N3,2
PDN16,N3,2
PDN18,N3,2
PDN19,N3,2
PDN20,N3,2
PDN22,N3,2
PDN24,N3,2
PDN25,N3,2
PDN26,N3,2
PDN27,N3,2
PDN28,N3,2
PDN4,N3,2
PDN5,N3,2
PDN7,N3,2
people,N1,0
