prompt,completion
BatteryPacksPerVehicle +^++^+++^++++^++^+^++^,N1
BatteryType +^++^+++++^,N1
BatteryV_from +^++^+++$++^+,N2
BenthosQAQCID +^+++^++^++^+,N2
Benthos_SampleType +^+++^+$+^+++^+++^,N1
Big Game +^+*+^+^,N1
BiodataShortName +^^+^+^++^+++^+^,N1
BlindSpotIntervention ++^++++^+^++^++^++^^+,N1
BlindSpotWarning ++^++++^++^++^++,N1
BrakeSystemDesc ++^+^++++^++^++,N2
BrakeSystemType ++^+^++++^++++^,N1
Breed ++^^+,N1
BrrwrTaxPctScM ++++++^+++++++,N3
Bug_ID +^+$^+,N1
BusFloorConfigurationType +^+++^^++^++^+^+^+^^++++^,N1
BusFloorConfigurationTypeId +^+++^^++^++^+^+^+^^++++^^+,N1
BusTypeId +^++++^^+,N1
C2 +#,N3
C3 +#,N3
C4 +#,N3
C5 +#,N3
CAIS +^^+,N3
CARDIOCOND +^++^^+^++,N2
CASEID +^+^^+,N1
CASENO +^+^+^,N1
CASENUMBER +^+^+^++^+,N1
CAUSE1 +^^+^#,N1
CAUSE2 +^^+^#,N1
CAUSE3 +^^+^#,N1
CDC +++,N3
CDCDISTRIB ++++^+++^+,N2
CDCEXTENT +++^++^++,N2
CDCFORDEPLOY ++++^++^++^+,N2
CDCLONGLAT ++++^+++^+,N3
CDCPLANE +++++^+^,N2
CDRVERCOLL ++++^++^++,N3
CDRVERREPT ++++^++^++,N3
CHILDMAKE ++^+++^+^,N2
CHILDMANUF ++^+++^+^+,N2
CHILDMODEL ++^+++^+^+,N2
CHILDMODELNO ++^+++^+^++^,N2
CHILDSEATUSE ++^+++^^+^+^,N1
CINJSEV +^+++^+,N2
CINJURED +^++^+^+,N2
CITY +^++,N1
CLASS ++^++,N1
CLASS1 ++^++#,N2
CLASS2 ++^++#,N2
CMAX ++^+,N3
CONTACT +^++^++,N1
CO_MMI_OTU1 +^$++^$^+^#,N3
CO_MMI_OTU2 +^$++^$^+^#,N3
CRASHCAT ++^+++^+,N2
CRASHMONTH ++^+++^+++,N1
CRITCAT ++^++^+,N3
CTREAT +++^^+,N2
CURBSRC +^+++++,N2
CURBWT +^++++,N2
CanPos +^++^+,N3
CanPos_Name +^++^+$+^+^,N2
Canopy_Comp +^+^++$+^++,N1
Canopy_Height +^+^++$+^^+++,N1
Capture Method +^++^+^*+^++^+,N1
Carapace Width +^+^+^+^*+^+++,N1
Ceritified_Data_Update +^+^+^+^^+$+^+^$^++^+^,N1
Certified +^++^+^^+,N1
Certified_date +^++^+^^+$+^+^,N1
ChargerLevel ++^++^++^+^+,N1
ChargerPowerKW ++^++^++^+^+++,N2
City +^++,N1
CollMeth +^+++^++,N2
Collection_Location +^++^++^^+$+^+^+^^+,N1
CommentsROMN +^++^++++^++,N3
CommentsRhithron +^++^+++++^+++^+,N1
CommonName +^++^++^+^,N1
Common_Name +^++^+$+^+^,N1
Cond_Num +^++$+^+,N2
Cond_Text +^++$+^++,N2
Condition +^++^+^^+,N1
Conductivity +^++^++^+^++,N1
ContactID +^++^++^+,N1
Coord_Syst +^^++$++++,N2
Coord_System +^^++$++++^+,N2
Coord_Units +^^++$^+^++,N2
Coord_upd +^^++$^++,N2
Count +^^++,N1
County +^^+++,N1
CoverClass_Num +^+^+++^++$+^+,N2
CoverClass_Text +^+^+++^++$+^++,N1
CoverPercent +^+^++^++^++,N1
CrashImminentBraking ++^++^++^+^++++^+^++,N1
CrashImminentBrakingID ++^++^++^+^++++^+^++^+,N1
Crosswalk_Notes ++^+++^++$+^+^+,N1
CrusMolPctScLV ++^++^++++++++,N3
Cultivation +^++^+^+^^+,N1
CurbWeightLB +^+++^^+++++,N2
Current_Lab_ID +^++^++$+^+$^+,N1
CustomMotorcycleType +^++^++^+^+++++^+++^,N1
CustomMotorcycleTypeId +^++^++^+^+++++^+++^^+,N1
DAMAGELR +^+^+^++,N2
DAMAGERF +^+^+^++,N2
DAMAGERR +^+^+^++,N2
DAMAPILLAR +^+^+^++^+,N3
DAMBPILLAR +^+++^++^+,N3
DAMCPILLAR +^+++^++^+,N3
DAMOTHPILLAR +^+^+++^++^+,N3
DAMPLANE +^+++^+^,N2
DAMSEV +^++^+,N3
DB_Meta_ID ++$+^+^$^+,N2
DClass2 +++^++#,N3
DClass3 +++^++#,N3
DClass4 +++^++#,N3
DEATH +^^++,N1
DEPLOYEVENT +^++^+^+^++,N1
DIRECTL +^+^+++,N3
DIRECTLOCATION +^+^+++^+^+^^+,N1
DIRECTWIDTH +^+^+++^+++,N1
DISTRACT +^+++^++,N2
DISTRACTN +^+++^+++,N2
DRGINV +++^++,N3
DRPRESENT ++++^+^++,N2
DRVWHEELS +++++^^++,N2
DSC_GUID +++$+^^+,N3
DVANGOTH ++^++^++,N3
DVANGTHIS ++^++++^+,N3
DVCONF +++^++,N2
DVENERGY ++^+^+++,N2
DVLAT +++^+,N3
DVLONG +++^++,N3
DVMOMENT +++^+^++,N2
DVSPEED ++++^^+,N2
DVTOTAL +++^+^+,N2
DataAccessLevel +^+^^++^+++^+^+,N1
Date +^+^,N1
DateNum +^+^+^+,N1
Date_Added +^+^$^++^+,N1
Date_Change +^+^$++^++^,N1
DaytimeRunningLight +^++^+^+^++^+++^+++,N1
DaytimeRunningLightId +^++^+^+^++^+++^+++^+,N1
Db_Desc ++$+^++,N2
Db_Meta_ID ++$+^+^$^+,N2
Deciduous +^+^+^^^+,N1
Definition +^+^+^+^^+,N1
Density +^++^++,N1
Density_ID +^++^++$^+,N1
Description +^+++^++^^+,N1
DesiredSummaryName +^+^+^++^++^+++^+^,N1
DestinationMarketId +^++^+^+^^++^++^+^+,N1
Detection +^+^++^^+,N1
Detection_ID +^+^++^^+$^+,N1
Directions +^+^++^^++,N1
DisplacementCC +^+++^+^+^++++,N2
DriveTypeId ++^+^+++^^+,N1
DynamicBrakeSupport +++^+^+++^+^+^++^++,N1
EDGEDISTZ ^++^+^+++,N2
EDRMETHOD ^+++^++^+,N2
EDROBTAINED ^++^++^^+^+,N2
EJECTAREA ^+^++^+^^,N2
EJECTMED ^+^+++^+,N2
EJECTMEDSTAT ^+^+++^+++^+,N2
EJECTNO ^+^+++^,N2
EMSDATA ^+++^+^,N2
EMSDIASTOLIC ^+++^^++^+^+,N2
EMSGCS ^+++++,N3
EMSGCSEYE ^+++++^+^,N3
EMSGCSTIME ^++++++^+^,N3
EMSNO ^+++^,N2
EMSRESPRATE ^+++^+++^+^,N2
EMSTYPE ^+++++^,N2
ENDSHIFT ^++++^++,N1
ENG_CYL ^++$+++,N3
EPE ^+^,N3
EPTPctScM ^++++++++,N3
EPTTax ^+++^+,N3
EPTnoHBPct ^+++^+++++,N3
ETHNICITY ^+++^+^++,N1
EVDriveUnitId ^+++^+^^+^+^+,N2
EVENT1TO2 ^+^++#+^#,N3
EVENTDESC ^+^+++^++,N2
EVIDENCE ^+^+^++^,N1
EYEWEAR ^+^+^^+,N1
E_P_0 ^$+$*,N3
Eco_Notes ^+^$+^+^+,N2
ElectronicStabilityControl ^+^+++^+^+++^+^+^+++^+++^+,N1
ElectronicStabilityControlId ^+^+++^+^+++^+^+^+++^+++^+^+,N1
EmailAddress ^+^^+^+++^++,N1
Email_Address ^+^^+$^+++^++,N1
EndDate ^+++^+^,N1
EngineBrakeHP_to ^++^+^++^+^++$+^,N2
EngineConfiguration ^++^+^+^++^+^+^+^^+,N1
EngineElectrificationLevel ^++^+^^+^+++^+^+^+^^++^+^+,N1
EngineElectrificationLevelId ^++^+^^+^+++^+^+^+^^++^+^+^+,N1
EngineManufacturer ^++^+^+^+^+^++^+^+,N1
EngineModel ^++^+^+^+^+,N1
EngineStrokeCycles ^++^+^+++^+^++++^+,N1
EngineTurboId ^++^+^+^++^^+,N1
EngineValveTrainDesignId ^++^+^+^++^++^^++^+^++^+,N1
EnteredBy ^++^+^+++,N1
EntertainmentSystemId ^++^++^^++^++++++^+^+,N1
Enum_Code ^+^+$+^+^,N2
Enum_Description ^+^+$+^+++^++^^+,N2
EphemTax ^++^++^+,N3
EstHError ^+++^++^+,N3
EstVError ^+++^++^+,N2
Est_H_Error ^++$+$^++^+,N3
EventDataRecorderId ^+^+++^+^+^+^++^+^+,N1
EventName ^+^+++^+^,N1
EventQAQCComment ^+^+++^+++^++^++,N2
Event_ID ^+^++$^+,N1
Evergreen ^+^+++^^+,N1
ExploitConcern ^+++^^++^++^++,N1
ExploitConcernDetails ^+++^^++^++^+++^+^^++,N1
FACTOR1 +^++^+#,N1
FACTOR3 +^++^+#,N1
FACTOR4 +^++^+#,N1
FACTOR5 +^++^+#,N1
FETALMORT +^+^++^++,N3
FIELDLD +^^++++,N2
FILEREC +^+^+^+,N2
FILLCAP +^+++^+,N1
FRNTBUMP +++++^++,N2
FUELNO +^^++^,N2
FUELTYPE +^^++++^,N1
Family +^+^++,N1
FaxNumber +^++^++^+,N1
Field +^^++,N1
Field1 +^^++#,N2
Field2 +^^++#,N2
File_name +^+^$+^+^,N1
FiltCollPct +^+++^+++++,N2
Fire +^+^,N1
First_Name +^+++$+^+^,N1
Fixed_by +^+^+$++,N1
Form +^++,N1
ForwardCollisionWarning +^++^+++^++^+^^++^++^++,N1
ForwardCollisionWarningId +^++^+++^++^+^^++^++^++^+,N1
Found_by +^^++$++,N1
FuelDeliveryInjectionType +^^++^+^+^++^++^++^^++++^,N1
FuelTypePrimary +^^++++^++^+^++,N1
FuelTypePrimaryId +^^++++^++^+^++^+,N1
FuelTypeSecondary +^^++++^+^+^++^++,N1
FuelTypeSecondaryId +^^++++^+^+^++^++^+,N1
GAD1 +^+#,N3
GLAZINGCONT ++^+^+++^++,N2
GLAZLOC ++^++^+,N2
GLAZPRE ++^+++^,N2
GLAZTYPE ++^++++^,N2
GPSUnit +++^+^+,N2
Genus +^+^+,N1
Genus species +^+^+*++^+^^+,N1
Geo_Datum +^^$+^+^+,N2
GrossCombWeightRatingFromId ++^+++^+++^^++++^+^++++^+^+,N1
GrossCombWeightRatingToId ++^+++^+++^^++++^+^+++^^+,N1
GrossVehicleWeightRatingFrom ++^+++^+^++^+^^++++^+^++++^+,N1
GrossVehicleWeightRatingFromId ++^+++^+^++^+^^++++^+^++++^+^+,N1
Gust +^++,N1
HARNESSDESIGN +^++^+++^+^++,N1
HBI ++^,N3
HBIScM ++^+++,N3
HDOP ++^+,N3
HEADANGLECAT +^^+^+++^+^+,N2
HEADINGANG +^^+^++^++,N2
HEADRESTDAM +^^++^+++^+,N2
HEADRESTYPE +^^++^++++^,N2
HEIGHT +^^+++,N1
HOSPDIASTOLIC +^+++^^++^+^+,N2
HOSPGCS +^+++++,N3
HOSPGCSEYE +^+++++^+^,N3
HOSPGCSLOC +^++++++^+,N3
HOSPGCSMOTOR +^++++++^+^+,N3
HOSPPULSE +^+++^++^,N2
HOSPRESPRATE +^+++^+++^+^,N2
HOSPSYSTOLIC +^++++++^+^+,N2
HOSPVITALSRC +^+++^+^++++,N2
HOWUSED +^+^+^+,N1
Habitat_ID +^+^+^+$^+,N1
HeadlampLightSourceID +^^++^+++^++++^^++^^+,N1
Herb +^++,N1
HomePhone +^+^++^+^,N1
Hydrology ++++^+^++,N1
ICSCONFIDENCE ^+++^++^+^++^,N2
ICSNOTE ^+++^+^,N3
ICS_TYPE ^++$+++^,N2
ID ^+,N2
IGCYCDOWN ^+++++^++,N3
IGCYCRASH ^+++++^++,N3
IMPAIREDCOAG ^++^^+^++^^+,N2
IMPLANTFUS ^+++^+++^+,N3
IMPORT_benthos_OE_OE_P_5 ^++^++$+^+++^+$^^$^^$+$#,N3
INITOBJCLASS ^+^+^++++^++,N2
INJNO ^+++^,N2
INJNUM ^+++^+,N2
INJSTATUS ^++++^+^+,N2
INSPTYPE ^++++++^,N2
INTDIRECT ^+++^+^++,N2
INTEGRITY ^++^++^++,N1
INTMAG ^+++^+,N3
INTRESTRAINT ^+++^+++^^++,N2
INTRUSION ^+++^+^^+,N1
IPC1_ALT ^++#$^++,N3
IPC2 ^++#,N3
IPC2_ALT ^++#$^++,N3
IPC3 ^++#,N3
IPCAREA1 ^++^+^^#,N2
IPCAREA2 ^++^+^^#,N2
IPCAREA3 ^++^+^^#,N2
IPCAREA3_ALT ^++^+^^#$^++,N2
IPCAREA_2ND ^++^+^^$#++,N2
IPCAREA_3RD ^++^+^^$#++,N2
IPCCONF1 ^+++^++#,N3
IPCCONF2_ALT ^+++^++#$^++,N2
IPCCONF3 ^+++^++#,N3
IPCCONF3_ALT ^+++^++#$^++,N2
IPCCONF_2ND ^+++^++$#++,N3
IPC_2ND ^++$#++,N3
ISS ^++,N3
ITIS_MatchCode ^+^+$+^++++^+^,N3
ITIS_TSN ^+^+$+++,N3
In_protocol ^+$++^+^+^+,N2
Infraorder ^+++^^++^+,N1
Invert Family ^++^++*+^+^++,N2
IsActive ^+^++^+^,N1
JKCOEFFICIENT +++^^++^+^^++,N3
JKWGT1 +++++#,N3
JKWGT11 +++++##,N3
JKWGT12 +++++##,N3
JKWGT15 +++++##,N3
JKWGT16 +++++##,N3
JKWGT17 +++++##,N3
JKWGT18 +++++##,N3
JKWGT19 +++++##,N3
JKWGT2 +++++#,N3
JKWGT21 +++++##,N3
JKWGT24 +++++##,N3
JKWGT26 +++++##,N3
JKWGT28 +++++##,N3
JKWGT29 +++++##,N3
JKWGT30 +++++#*,N3
JKWGT31 +++++##,N3
JKWGT32 +++++##,N3
JKWGT5 +++++#,N3
JKWGT9 +++++#,N3
KeylessIgnition +^++^++^++^+^^+,N1
KeylessIgnitionId +^++^++^++^+^^+^+,N1
LATCHPLATE +^+++++^+^,N1
LATCHTETHER +^++++^++^+,N1
LATCHUSE +^+++^+^,N1
LDEF ++^+,N3
LF2STAGEDEP ++#++^+^+^+,N3
LFBC ++++,N3
LFBELT +++^++,N2
LFCURTDEPTIME +++^+++^++^+^,N3
LFOCCSIZE ++^+++^+^,N3
LFSWITCH ++++^+++,N2
LFTRACKPOS ++++^+++^+,N2
LIGHTCOND +^++++^++,N2
LINELEFT +^+^+^++,N1
LOADPATH1_ALT +^^++^++#$^++,N1
LOADPATH2 +^^++^++#,N1
LOADPATH3 +^^++^++#,N1
LOADPATH_2ND +^^++^++$#++,N1
LOCALNO +^+^++^,N2
Lab +^+,N1
LabQAQCSampleName +^++^+++^+++^+^+^,N2
Label +^+^+,N1
LandUse +^++^+^,N1
LaneDepartureWarningId +^+^+^+^++^+^+^++^++^+,N1
LaneKeepingAssistanceID +^+^+^^+^++^++^++^++^^+,N1
Large/Rare +^++^*+^+^,N1
LatY +^++,N3
Lat_Dir +^+$+^+,N2
Lat_final +^+$+^+^+,N2
ListedName +^++^++^+^,N1
Litter +^++^+,N1
Litter_depth +^++^+$+^+++,N1
Loc_Name +^+$+^+^,N2
Loc_Notes +^+$+^+^+,N2
Loc_Type +^+$+++^,N2
LocationID +^+^+^^+^+,N2
Logging +^++^++,N1
Long_Dir +^++$+^+,N2
LowValIndex +^++^+^++^+,N2
MAIS +^^+,N3
MAKE +^+^,N1
MANCOLL +^++^++,N3
MAXDVLAT +^++++^+,N2
MAXDVLATTIME +^++++^++^+^,N2
MAXDVRESTIME +^++++^++^+^,N2
MOBILITY +^+^+^++,N1
MODELYR +^+^+++,N1
MORTALITY +^++^+^++,N1
MPD +++,N3
MT_MMI_OTU ++$++^$^+^,N3
MT_RIVPACS_2011_OTU ++$+^++^++$#*##$^+^,N3
Make +^+^,N1
MakeId +^+^^+,N1
ManufacturerFullNameId +^+^+^++^+^++^+++^+^^+,N1
Meta_File_Name +^+^$+^+^$+^+^,N1
Meta_MID +^+^$+^+,N3
Metals +^+^++,N1
Metric +^++^+,N1
MgmtPriorityDetails ++++++^^+^+++^+^^++,N2
MicroHab +^++^+^+,N2
MiddleInit +^+++^^+^+,N2
MidgePctScLV +^++^+++++++,N3
Mod_Num +^+$+^+,N2
ModelId +^+^+^+,N1
ModelTest +^+^++^++,N1
ModelYear +^+^++^^+,N1
MotorcycleChassisType +^+^+++++^++^++^++++^,N1
MotorcycleChassisTypeId +^+^+++++^++^++^++++^^+,N1
MotorcycleSuspensionType +^+^+++++^+^++^++^^++++^,N1
MotorcycleSuspensionTypeId +^+^+++++^+^++^++^^++++^^+,N1
MtnIndex +++^++^+,N3
NUMEVENTS +^+^+^+++,N2
Name +^+^,N1
NativityDetails +^+^+^+++^+^^++,N1
NativityID +^+^+^++^+,N1
NativityText +^+^+^+++^++,N1
Nest_ID +^++$^+,N1
Network_Code +^++^++$+^+^,N1
NoJars +^+^++,N1
NoTransectsSampled +^++^++^++++^+++^+,N1
NonInsPct +^+^+++++,N3
NonInsPctScM +^+^++++++++,N3
Notch Code +^+++*+^+^,N1
Note +^+^,N1
Notes +^+^+,N1
OBJCONT ^+++^++,N3
OBS TYPE ^++*+++^,N2
OCCNO ^+++^,N2
OCLOCK ^++^++,N2
OE_P_0 ^^$+$*,N3
OE_P_5 ^^$+$#,N3
OPENRF ^+^+++,N2
OPENRR ^+^+++,N2
OPENTG ^+^+++,N2
ORIENTATION ^+^^++^+^^+,N1
OSTEOCOND ^++^^+^++,N2
OVERHANG_REAR ^+^++^++$+^^+,N1
O_P_0 ^$+$*,N3
ObsInits ^++^+^++,N2
Obs_Code ^++$+^+^,N2
Observation_ID ^++^++^+^^+$^+,N1
Observer ^++^++^+,N1
OldPlot ^++++^+,N1
One_half_meter ^+^$+^++$+^+^+,N1
Order ^++^+,N1
Organization ^++^+^+^+^^+,N1
Origin ^+^+^+,N1
OriginalParameters ^+^+^+^++^+^+^+^++,N1
Original_Lab_Taxon ^+^+^+^+$+^+$+^+^+,N2
Original_ROMN_OTU ^+^+^+^+$+^++$^+^,N2
Orth2MidgPct ^+++#+^+++++,N3
Orth2MidgPctScP ^+++#+^++++++++,N3
OtherBatteryInfo ^++^++^++^++^++^,N1
OtherBusInfo ^++^++^+^++^,N1
OtherEngineInfo ^++^+^++^+^^++^,N1
OtherRestraintSystemInfo ^++^++^+++^^++++++^+^++^,N1
Overstory_ID ^+^+++^++$^+,N1
P1 +#,N3
P10 +#*,N3
P2 +#,N3
P3 +#,N3
P4 +#,N3
P5 +#,N3
P6 +#,N3
P7 +#,N3
P8 +#,N3
PARALCOHOL +^+^++^+^+,N2
PARDRUG +^+++^+,N2
PARINJSEV +^+^+++^+,N3
PARKCODE +^+++^+^,N1
PCODE ++^+^,N3
PERFORMANCE +^++^++^++^,N1
PLACEMENT ++^+^+^++,N1
POSTINTEGLOSS +^++^++^++^++,N2
PREEVENT ++^^+^++,N2
PREFHE ++^++^,N3
PREGNANT ++^++^++,N1
PRELOC ++^+^+,N3
PREMOVE ++^+^+^,N2
PROFILE ++^+^+^,N1
PSUSTRAT ++^+++^+,N3
PTIME ++^+^,N3
PVALUE ++^+^^,N3
Park +^++,N1
ParkAssist +^++^++^++,N1
ParkCode +^+++^+^,N1
ParkStatus +^++++^+^+,N1
ParkStatusText +^++++^+^++^++,N1
Pct Mortality +++*+^++^+^++,N2
PedestrianAutoEmergencyBraking +^+^+++^^+^^+^^+^++^+++++^+^++,N1
PedestrianAutoEmergencyBrakingID +^+^+++^^+^^+^^+^++^+++++^+^++^+,N1
Person +^++^+,N1
Phenology ++^+^+^++,N1
PlainsIndex ++^^++^++^+,N1
PlantCity ++^+++^++,N1
PlantCountry ++^+++^^++++,N1
PlantCountryId ++^+++^^++++^+,N1
Plot_Azimuth ++^+$^+^+^++,N1
Plot_ID ++^+$^+,N1
Position_Title +^+^+^^+$+^++^,N1
Precipitation ++^+^+^+^+^^+,N1
PredPctLV ++^++++++,N3
PredPctM ++^+++++,N3
PredPctScLV ++^++++++++,N3
PredatorTax ++^+^+^++^+,N2
PredatorTaxScP ++^+^+^++^++++,N2
Pres_Text ++^+$+^++,N2
Pretensioner ++^+^++^^+^+,N1
PretensionerId ++^+^++^^+^+^+,N1
ProcessOrder ++^+^++^++^+,N1
ProportionOfSampleUsed ++^+^++^^+^++^+++^^+^+,N1
Protocol_Name ++^+^+^+$+^+^,N1
PublishedTaxonLevel +^++^++^++^+^++^+^+,N2
PublishedTaxonName +^++^++^++^+^++^+^,N2
QA_notes +^$+^+^+,N3
QuadName +^^++^+^,N2
R2 +#,N3
RACE +^+^,N1
RDLANES +++^+^+,N3
REARBUMP +^^++^++,N2
RECFRONT2 +^+++^++#,N3
RECFRONT3 +^+++^++#,N3
RECFRPRESS1 +^+++++^++#,N3
RECFRPRESS3 +^+++++^++#,N3
RECREAR1 +^++^^+#,N3
RECREAR2 +^++^^+#,N3
RECREAR3 +^++^^+#,N3
RECRRPRESS1 +^+++++^++#,N3
RECRRPRESS3 +^+++++^++#,N3
REGCONTACT2 +^++^++^++#,N2
REGCONTACT3_ALT +^++^++^++#$^++,N2
REGCONTACT_2ND +^++^++^++$#++,N2
REGION +^+^^+,N1
RELTOJUNCT +^++^+^+++,N3
REPLICATE +^++^+^+^,N1
RETAINERCLIPDESIGN +^+^^+^+++^++^+^++,N1
RETAINERCLIPUSE +^+^^+^+++^+^+^,N1
RFBC ++++,N3
RFBELT +++^++,N2
RFCURTDEPTIME +++^+++^++^+^,N3
RFDISPOSAL +++^++^+^+,N2
RFOH ++^+,N3
RFSIDEDEPTIME +++^+^+^++^+^,N3
RFTRACKPOS ++++^+++^+,N2
RIMDEF +^++^+,N3
RIMDEFLOC +^++^++^+,N3
ROLE +^+^,N1
ROLLINITYP +^++^+^+++,N2
ROLLINLOC +^++^++^+,N2
ROLLOBJ +^++^++,N2
ROLLVERT +^+++^++,N2
ROMN_OTU +^++$^+^,N3
ROMN_OTU_ID_Previous +^++$^+^$^+$++^+^^^+,N3
ROWIDTH1 +^+^+++#,N2
ROWIDTH2 +^+^+++#,N2
ROWIDTH3 +^+^+++#,N2
RROH ++^+,N3
RUMBROAD +^+++^^+,N2
Rain +^^+,N1
Rating +^+^++,N1
RearAutomaticEmergencyBraking +^^+^^+^+^+^+^+^++^+++++^+^++,N1
RearAutomaticEmergencyBrakingID +^^+^^+^+^+^+^+^++^+++++^+^++^+,N1
RearCrossTrafficAlertID +^^+++^++++^++^+^+^++^+,N1
Reason +^^+^+,N1
RecordID +^+^++^+,N1
Reference_Collection +^+^+^++^$+^++^++^^+,N1
Release_ID +^+^^+^$^+,N1
Release_by +^+^^+^$++,N1
Release_date +^+^^+^$+^+^,N1
Release_notes +^+^^+^$+^+^+,N1
Repeat_Sample +^+^^+$+^+++^,N1
Report_details +^+^++$+^+^^++,N1
Reported_by +^+^++^+$++,N1
Residency +^+^+^+++,N1
ResidencyDetails +^+^+^++++^+^^++,N1
ResidencyText +^+^+^++++^++,N1
Results_ID +^+^+++$^+,N1
Review_Date +^+^^+$+^+^,N1
Revision_Contact_ID +^+^+^^+$+^++^++$^+,N1
Revision_Desc +^+^+^^+$+^++,N2
Revision_ID +^+^+^^+$^+,N1
RhithronSiteName ++^+++^++^+^+^+^,N1
Richness +^+++^++,N1
Route +^^+^,N1
SAEAutomationLevel_from +^^^^+^+^+^^++^+^+$++^+,N2
SCIENTIFIC NAME ++^^++^+^+*+^+^,N1
SEATLOC +^^++^+,N2
SEATROW +^^++^+,N1
SEQUENCE +^+^^++^,N1
SEX +^+,N1
SHLDRWIDTH ++++++^+++,N2
SIDEROOF +^+^+^^+,N1
STEERTILTADJ ++^^++^++^++,N2
STRUTYPE +++^+++^,N3
SUMMARY +^++^++,N1
SURFTYPE +^+++++^,N2
SUSPMODS +^+++^++,N2
SampleYear +^+++^+^^+,N1
SampleZone +^+++^+^+^,N1
Sample_Client_ID +^+++^$++^^++$^+,N1
Sample_Collection_Procedure ID +^+++^$+^++^++^^+$++^+^+^+^*^+,N1
Sample_Date_Collected +^+++^$+^+^$+^++^++^+,N1
Saplings_ID +^++^+++$^+,N1
ScientificName ++^^++^+^++^+^,N1
SeatBeltType +^^++^+++++^,N1
SeatBeltTypeId +^^++^+++++^^+,N1
SeatRowsCount +^^++^+++^^++,N1
SeatsCount +^^+++^^++,N1
Second_Date +^+^++$+^+^,N1
Seedlings_ID +^^++^+++$^+,N1
Segment +^++^++,N1
SemiAutoHeadlampBeamSwitching +^+^^^+^+^^++^+++^^+++^+++^++,N1
Series +^+^^+,N1
Shape ++^+^,N1
ShredderTax +++^++^++^+,N2
ShredderTaxScLV +++^++^++^+++++,N2
Shrub +++^+,N1
SiteDescription +^+^+^+++^++^^+,N1
Site_Desc +^+^$+^++,N2
